0.001215373	-2.6681158e-06
0.0020572852	-2.6507551e-06
0.0029273097	-2.6120055e-06
0.0038263852	-2.5580791e-06
0.0047554818	-2.5027667e-06
0.0057156019	-2.4558199e-06
0.0067077814	-2.4087269e-06
0.0077330908	-2.3531233e-06
0.0087926364	-2.2837173e-06
0.0098875613	-2.2008391e-06
0.011019047	-2.1096756e-06
0.012188314	-2.0092754e-06
0.013396624	-1.9037257e-06
0.014645281	-1.7906927e-06
0.015935632	-1.6753496e-06
0.017269069	-1.5564915e-06
0.018647031	-1.437712e-06
0.020071004	-1.3167084e-06
0.021542526	-1.1949615e-06
0.023063183	-1.0708836e-06
0.024634616	-9.4506847e-07
0.026258521	-8.1717275e-07
0.02793665	-6.8695825e-07
0.029670814	-5.5521883e-07
0.031462883	-4.2080741e-07
0.033314791	-2.851319e-07
0.035228536	-1.4676779e-07
0.037206184	-7.1891144e-09
0.039249867	1.3484909e-07
0.04136179	2.7820685e-07
0.043544233	4.2373114e-07
0.04579955	5.7065102e-07
0.048130175	7.1949848e-07
0.050538621	8.6974351e-07
0.053027488	1.0216786e-06
0.055599461	1.1749894e-06
0.058257315	1.3297932e-06
0.061003917	1.4858977e-06
0.063842231	1.6433079e-06
0.06677532	1.8019117e-06
0.069806347	1.9616609e-06
0.072938584	2.1224608e-06
0.076175409	2.2842606e-06
0.079520315	2.4469529e-06
0.082976911	2.6105047e-06
0.086548926	2.7747858e-06
0.090240215	2.939793e-06
0.09405476	3.1053617e-06
0.097996676	3.273094e-06
