# y+ ()         
# Time          	patch           	min             	max             	average         
88              	lowerWall	2.72019631e-01	1.36317381e+00	3.06074790e-01
89              	lowerWall	2.71149016e-01	1.36306247e+00	3.05286744e-01
90              	lowerWall	2.70293117e-01	1.36295304e+00	3.04512946e-01
91              	lowerWall	2.69451575e-01	1.36284546e+00	3.03753036e-01
92              	lowerWall	2.68624042e-01	1.36273970e+00	3.03006660e-01
93              	lowerWall	2.67810183e-01	1.36263567e+00	3.02273477e-01
94              	lowerWall	2.67009675e-01	1.36253337e+00	3.01553160e-01
95              	lowerWall	2.66222204e-01	1.36243272e+00	3.00845395e-01
96              	lowerWall	2.65447469e-01	1.36233370e+00	3.00149875e-01
97              	lowerWall	2.64685178e-01	1.36223626e+00	2.99466309e-01
98              	lowerWall	2.63935047e-01	1.36214035e+00	2.98794408e-01
99              	lowerWall	2.63196804e-01	1.36204594e+00	2.98133896e-01
100             	lowerWall	2.62470183e-01	1.36195300e+00	2.97484510e-01
101             	lowerWall	2.61754928e-01	1.36186147e+00	2.96845987e-01
102             	lowerWall	2.61050791e-01	1.36177135e+00	2.96218084e-01
103             	lowerWall	2.60357529e-01	1.36168258e+00	2.95600558e-01
104             	lowerWall	2.59674911e-01	1.36159515e+00	2.94993176e-01
105             	lowerWall	2.59002709e-01	1.36150900e+00	2.94395709e-01
106             	lowerWall	2.58340704e-01	1.36142413e+00	2.93807942e-01
107             	lowerWall	2.57688679e-01	1.36134047e+00	2.93229656e-01
108             	lowerWall	2.57046423e-01	1.36125802e+00	2.92660650e-01
109             	lowerWall	2.56413729e-01	1.36117674e+00	2.92100723e-01
110             	lowerWall	2.55790393e-01	1.36109662e+00	2.91549680e-01
111             	lowerWall	2.55176214e-01	1.36101762e+00	2.91007330e-01
112             	lowerWall	2.54570999e-01	1.36093973e+00	2.90473486e-01
113             	lowerWall	2.53974559e-01	1.36086291e+00	2.89947967e-01
114             	lowerWall	2.53386712e-01	1.36078714e+00	2.89430596e-01
115             	lowerWall	2.52807280e-01	1.36071239e+00	2.88921205e-01
116             	lowerWall	2.52236095e-01	1.36063865e+00	2.88419625e-01
117             	lowerWall	2.51672989e-01	1.36056589e+00	2.87925699e-01
118             	lowerWall	2.51117804e-01	1.36049410e+00	2.87439269e-01
119             	lowerWall	2.50570384e-01	1.36042324e+00	2.86960184e-01
120             	lowerWall	2.50030580e-01	1.36035332e+00	2.86488293e-01
121             	lowerWall	2.49498246e-01	1.36028428e+00	2.86023453e-01
122             	lowerWall	2.48973242e-01	1.36021614e+00	2.85565524e-01
123             	lowerWall	2.48455430e-01	1.36014885e+00	2.85114370e-01
