#      distance             U_x             U_y             U_z               p         epsilon               k             nut
    0.001215373      0.63626261   3.7406025e-05  -2.4383872e-20   0.00024930244      0.14027224    0.0043217922   1.5832955e-05
   0.0020572852      0.69278397   5.9626583e-05  -5.4085164e-22   0.00025010423     0.069224299    0.0042273093   2.5657888e-05
   0.0029273097      0.72915018   8.9714427e-05   2.9025386e-21   0.00025091162     0.044579693    0.0040776335   3.5244472e-05
   0.0038263852      0.75675753   0.00012347245    1.277073e-20    0.0002517464     0.032545888    0.0039502757   4.4385903e-05
   0.0047554818      0.77942942   0.00016053797   2.5795925e-20   0.00025263139     0.025422767    0.0038294774   5.2865267e-05
   0.0057156019      0.79897018   0.00020111233   1.9149378e-20   0.00025355542     0.020692151    0.0037079488    6.055526e-05
   0.0067077814      0.81637027   0.00024539637   9.6552991e-21   0.00025450386      0.01729823    0.0035819435   6.7369056e-05
   0.0077330908      0.83223035   0.00029358615   1.0366299e-20   0.00025546629     0.014722322    0.0034492249   7.3240053e-05
   0.0087926364      0.84694105   0.00034590228   -8.085461e-21   0.00025643386     0.012680086     0.003308254   7.8112922e-05
   0.0098875613      0.86076949   0.00040258721  -4.1882582e-20   0.00025739672     0.011002584    0.0031578429   8.1939393e-05
    0.011019047      0.87390481   0.00046385502  -4.6764835e-20   0.00025834289    0.0095830912    0.0029970001   8.4676289e-05
    0.012188314      0.88648365   0.00052995079  -9.7700061e-21   0.00025926012    0.0083509022    0.0028248685   8.6284818e-05
    0.013396624      0.89860507   0.00060115171    2.122856e-20    0.0002601371    0.0072574703    0.0026407148   8.6730769e-05
    0.014645281      0.91033905   0.00067761991   1.3733785e-20   0.00026096187    0.0062686747    0.0024439605   8.5985615e-05
    0.015935632      0.92173111   0.00075944947   -7.343614e-22   0.00026172008    0.0053603844    0.0022342542   8.4028826e-05
    0.017269069      0.93280368   0.00084666835  -2.6634514e-21   0.00026239477    0.0045159436    0.0020116024   8.0852124e-05
    0.018647031      0.94355444   0.00093910876               0   0.00026296794    0.0037249079    0.0017765882    7.646725e-05
    0.020071004      0.95395083     0.001036295  -3.4245504e-21   0.00026342152     0.002982729    0.0015307422    7.092054e-05
    0.021542526      0.96391874     0.001137242  -3.4245506e-21   0.00026373786    0.0022913005    0.0012771759    6.432176e-05
    0.023063183      0.97332148    0.0012401063   3.3342217e-21   0.00026390242    0.0016603217    0.0010216756   5.6904402e-05
    0.024634616      0.98192407    0.0013415817   2.6277763e-20   0.00026390553    0.0011089502   0.00077446693   4.9156552e-05
    0.026258521      0.98935244    0.0014358869    4.613153e-20   0.00026372901   0.00066474747   0.00055211722   4.2087777e-05
     0.02793665      0.99513577    0.0015138806   3.0016703e-20    0.0002633084   0.00035207914   0.00037559556   3.7584479e-05
    0.029670814      0.99898989    0.0015679114   6.8287141e-21   0.00026256874   0.00016924926   0.00025859442   3.8252355e-05
    0.031462883       1.0011466    0.0015991794   5.9141021e-21   0.00026152222   8.1073103e-05   0.00019514936   4.6073606e-05
    0.033314791       1.0022159    0.0016150158  -8.9117482e-22    0.0002602566   4.3281314e-05   0.00016547082   6.1001399e-05
    0.035228536       1.0027415    0.0016225906  -6.8052784e-21    0.0002588581   2.6798513e-05   0.00015205277   8.1278092e-05
    0.037206184       1.0030206    0.0016264129  -2.2317211e-21   0.00025738032   1.8748277e-05   0.00014564124    0.0001048255
    0.039249867       1.0031835    0.0016283535  -2.0430044e-20   0.00025585113   1.4287742e-05   0.00014234205   0.00013004625
     0.04136179       1.0032864    0.0016292617  -3.6262247e-20   0.00025427951    1.154981e-05   0.00014055253   0.00015587617
    0.043544233       1.0033554    0.0016295607  -1.8063925e-20   0.00025265916   9.7349815e-06   0.00013956348   0.00018163118
     0.04579955       1.0034036    0.0016294788               0   0.00025098223    8.460603e-06   0.00013903121   0.00020687745
    0.048130175       1.0034384    0.0016291361   -1.406726e-20   0.00024924562   7.5252762e-06   0.00013877488   0.00023134682
    0.050538621       1.0034638    0.0016285999  -2.6405893e-20   0.00024744835   6.8144905e-06    0.0001386925   0.00025488335
    0.053027488       1.0034824    0.0016279155  -1.2338633e-20   0.00024558919   6.2589304e-06   0.00013872313   0.00027740895
    0.055599461        1.003496    0.0016271138  -1.1203598e-20   0.00024366699   5.8144286e-06   0.00013882867   0.00029890121
    0.058257315       1.0035056    0.0016262187  -3.3379278e-20   0.00024168153   5.4516158e-06    0.0001389844   0.00031937791
    0.061003917       1.0035122     0.001625249  -2.5925707e-20   0.00023963439   5.1502484e-06    0.0001391737   0.00033888571
    0.063842231       1.0035165    0.0016242112   7.0387569e-21   0.00023752803   4.8959404e-06    0.0001393851   0.00035749219
     0.06677532        1.003519    0.0016231081   2.5065592e-20   0.00023536324   4.6781978e-06   0.00013961054   0.00037527977
    0.069806347       1.0035201    0.0016219398   2.4799367e-20   0.00023313765   4.4891932e-06   0.00013984427   0.00039234096
    0.072938584         1.00352    0.0016207032     1.45169e-20   0.00023084601   4.3229766e-06   0.00014008215   0.00040877457
    0.076175409        1.003519    0.0016193894   3.9943432e-21    0.0002284819   4.1749535e-06    0.0001403212   0.00042468274
    0.079520315       1.0035172    0.0016179908               0   0.00022604125   4.0415304e-06   0.00014055926   0.00044016839
    0.082976911       1.0035146    0.0016165164   5.0571482e-21   0.00022353212   3.9198697e-06   0.00014079482   0.00045533325
    0.086548926       1.0035116    0.0016149653  -2.2408438e-21   0.00022097723   3.8077148e-06   0.00014102682   0.00047027623
