#      distance             U_x             U_y             U_z               p         epsilon               k             nut
     0.11981982   1.0248897e-16   3.3156382e-19               0    0.0056298294      0.59138114    0.0079700931   1.0987458e-06
     0.12192192   1.0098321e-16   3.4037732e-19               0     0.005485649      0.64065493    0.0083501492   1.0908837e-06
     0.12402402   1.0098321e-16   3.4037732e-19               0    0.0053461664      0.68571878    0.0086902099   1.0830782e-06
     0.12612613   9.9485895e-17   3.4053159e-19               0    0.0052292986      0.71341453    0.0088903619   1.0755324e-06
     0.12822823   9.8001572e-17   3.3611828e-19               0    0.0051151323      0.73879568    0.0090732565   1.0680299e-06
     0.13033033   9.8001572e-17   3.3611828e-19               0    0.0050150644      0.75191068    0.0091656675   1.0607638e-06
     0.13243243   9.6534064e-17   3.2637665e-19               0    0.0049177571      0.76249951    0.0092402313   1.0535667e-06
     0.13453453   9.6534064e-17   3.2637665e-19               0    0.0048289822      0.76528075    0.0092596354   1.0465832e-06
     0.13663664    9.508645e-17   3.1293326e-19               0    0.0047426606      0.76611082    0.0092654267    1.039682e-06
     0.13873874    9.508645e-17   3.1293326e-19               0    0.0046624124      0.76211073      0.00923752   1.0329842e-06
     0.14084084   9.3661208e-17   2.9686698e-19               0    0.0045842319      0.75701469    0.0092018659   1.0263643e-06
     0.14294294   9.3661208e-17   2.9686698e-19               0    0.0045116169      0.74896872    0.0091453587   1.0199538e-06
     0.14504505    9.226107e-17    2.788713e-19               0    0.0044401729      0.74051389    0.0090858277    1.013599e-06
     0.14714715    9.226107e-17    2.788713e-19               0    0.0043736541      0.73033923    0.0090135776    1.007478e-06
     0.14924925   9.0889076e-17   2.5942322e-19               0     0.004307366      0.72012139    0.0089409669   1.0013715e-06
     0.15135135   9.0889076e-17   2.5942322e-19               0    0.0042455179      0.70907284    0.0088614193   9.9554347e-07
     0.15345345   9.0889076e-17   2.5942322e-19               0    0.0041836698      0.69802429    0.0087818716   9.8971548e-07
     0.15555556   8.9548854e-17   2.3887401e-19               0    0.0041253172      0.68689541    0.0087006914   9.8413931e-07
     0.15765766   8.9548854e-17   2.3887401e-19               0    0.0040676259      0.67575133    0.0086192024    9.786108e-07
     0.15975976   8.8245219e-17   2.1739744e-19               0    0.0040119625      0.66481662    0.0085385083   9.7325842e-07
     0.16186186   8.8245219e-17   2.1739744e-19               0    0.0039578633      0.65404339    0.0084584275    9.680419e-07
     0.16396396   8.6985238e-17   1.9502568e-19               0    0.0039046257      0.64341196    0.0083791231   9.6289827e-07
     0.16606607   8.6985238e-17   1.9502568e-19               0    0.0038544742      0.63328839    0.0083025991   9.5801574e-07
     0.16816817   8.6985238e-17   1.9502568e-19               0    0.0038043227      0.62316481    0.0082260752    9.531332e-07
     0.17027027   8.5779255e-17   1.7223705e-19               0    0.0037577794      0.61369031    0.0081535092   9.4853614e-07
     0.17237237   8.5779255e-17   1.7223705e-19               0    0.0037121387      0.60437819    0.0080819335    9.440105e-07
     0.17447447   8.4635993e-17   1.4967581e-19               0    0.0036678461      0.59534221    0.0080121538   9.3959919e-07
     0.17657658   8.4635993e-17   1.4967581e-19               0    0.0036265933      0.58692893    0.0079464242    9.354457e-07
     0.17867868   8.4635993e-17   1.4967581e-19               0    0.0035853406      0.57851566    0.0078806946   9.3129222e-07
     0.18078078   8.3563022e-17   1.2761585e-19               0    0.0035471889      0.57080016    0.0078197397   9.2742047e-07
     0.18288288   8.3563022e-17   1.2761585e-19               0    0.0035101384      0.56333241      0.00776048   9.2364875e-07
     0.18498498   8.2567022e-17   1.0612694e-19               0    0.0034734711      0.55595164    0.0077018424   9.1991172e-07
     0.18708709   8.2567022e-17   1.0612694e-19               0    0.0034406888      0.54945256    0.0076495099   9.1652632e-07
     0.18918919   8.2567022e-17   1.0612694e-19               0    0.0034079065      0.54295349    0.0075971774   9.1314092e-07
     0.19129129   8.1653582e-17   8.5526444e-20               0    0.0033766828      0.53680541    0.0075474553   9.0989421e-07
     0.19339339   8.1653582e-17   8.5526444e-20               0    0.0033482272      0.53128063    0.0075023687    9.068938e-07
      0.1954955   8.1653582e-17   8.5526444e-20               0    0.0033197716      0.52575586    0.0074572821    9.038934e-07
      0.1975976   8.0826688e-17   6.6257896e-20               0    0.0032937051      0.52075708     0.007416244   9.0109971e-07
      0.1996997   8.0826688e-17   6.6257896e-20               0    0.0032696183      0.51619416    0.0073785608   8.9847734e-07
      0.2018018   8.0826688e-17   6.6257896e-20               0    0.0032455315      0.51163124    0.0073408775   8.9585496e-07
      0.2039039   8.0089038e-17   4.8810063e-20               0    0.0032242489      0.50766948    0.0073079592   8.9346802e-07
     0.20600601   8.0089038e-17   4.8810063e-20               0    0.0032044962      0.50403566    0.0072776405   8.9120951e-07
     0.20810811   8.0089038e-17   4.8810063e-20               0    0.0031847435      0.50040185    0.0072473218     8.88951e-07
     0.21021021   7.9440434e-17   3.3625143e-20               0     0.003167616      0.49733933     0.007221641   8.8691504e-07
     0.21231231   7.9440434e-17   3.3625143e-20               0    0.0031518525      0.49457361      0.00719837   8.8499471e-07
     0.21441441   7.9440434e-17   3.3625143e-20               0     0.003136089      0.49180789    0.0071750989   8.8307437e-07
     0.21651652   7.8876161e-17   2.1386293e-20               0    0.0031223939      0.48948037    0.0071554499    8.813275e-07
     0.21861862   7.8876161e-17   2.1386293e-20               0    0.0031102129      0.48747365    0.0071384526   8.7970761e-07
     0.22072072   7.8876161e-17   2.1386293e-20               0     0.003098032      0.48546692    0.0071214553   8.7808772e-07
     0.22282282   7.8387432e-17   1.2635486e-20               0    0.0030871016      0.48370389    0.0071064982   8.7657011e-07
     0.22492492   7.8387432e-17   1.2635486e-20               0    0.0030780318      0.48230345    0.0070945769   8.7520467e-07
     0.22702703   7.8387432e-17   1.2635486e-20               0    0.0030689621      0.48090301    0.0070826556   8.7383923e-07
     0.22912913   7.7962469e-17   7.4182698e-21               0    0.0030601566      0.47955755    0.0070711983   8.7250008e-07
     0.23123123   7.7962469e-17   7.4182698e-21               0    0.0030531358      0.47858339    0.0070628751   8.7133845e-07
     0.23333333   7.7962469e-17   7.4182698e-21               0     0.003046115      0.47760923    0.0070545519   8.7017682e-07
     0.23543544   7.7962469e-17   7.4182698e-21               0    0.0030390942      0.47663507    0.0070462287    8.690152e-07
     0.23753754   7.7587148e-17   5.2833256e-21               0    0.0030327262      0.47583883    0.0070394122   8.6796915e-07
     0.23963964   7.7587148e-17   5.2833256e-21               0    0.0030265696      0.47510017    0.0070330834   8.6696052e-07
     0.24174174   7.7587148e-17   5.2833256e-21               0    0.0030204129      0.47436151    0.0070267546   8.6595188e-07
     0.24384384   7.7246955e-17   5.4727899e-21               0    0.0030142639      0.47364268    0.0070205918   8.6497337e-07
