#             x             U_x             U_y             U_z               k             nut           omega
   0.0015123628       5.4038259     0.007455328   2.4473534e-23     0.040671658   0.00018558106       219.15845
   0.0015881177       5.4038364    0.0074637113  -1.1649091e-23     0.040660418   0.00018557695       219.10274
   0.0016646626       5.4038471    0.0074721709  -1.0758113e-22     0.040649066   0.00018557279       219.04647
   0.0017420058       5.4038579    0.0074807075  -1.3011491e-22     0.040637603    0.0001855686       218.98965
   0.0018201557       5.4038689    0.0074893215   4.3104686e-23     0.040626026   0.00018556436       218.93227
   0.0018991205       5.4038799    0.0074980136   2.7595662e-22     0.040614335   0.00018556008       218.87431
   0.0019789089       5.4038911    0.0075067843   2.3100552e-22     0.040602529   0.00018555576       218.81579
   0.0020595294       5.4039024    0.0075156342  -6.1317269e-23     0.040590606   0.00018555139       218.75668
   0.0021409906       5.4039139    0.0075245637  -1.1353934e-22     0.040578566   0.00018554697         218.697
   0.0022233015       5.4039255    0.0075335735  -2.3125559e-23     0.040566407   0.00018554252       218.63672
   0.0023064707       5.4039372    0.0075426642   1.6652457e-24     0.040554129   0.00018553802       218.57585
   0.0023905073       5.4039491    0.0075518362  -2.0738581e-23      0.04054173   0.00018553347       218.51437
   0.0024754204        5.403961    0.0075610901  -1.3323001e-22     0.040529209   0.00018552887        218.4523
   0.0025612189       5.4039732    0.0075704265  -5.7398489e-23     0.040516565   0.00018552423       218.38961
   0.0026479123       5.4039854    0.0075798459   1.5713215e-22     0.040503796   0.00018551955        218.3263
   0.0027355098       5.4039979    0.0075893489   1.8220496e-22     0.040490903   0.00018551481       218.26237
   0.0028240209       5.4040104     0.007598936   2.7440519e-23     0.040477883   0.00018551003       218.19781
    0.002913455       5.4040231    0.0076086078  -2.0483654e-22     0.040464735    0.0001855052       218.13262
   0.0030038219        5.404036    0.0076183649   -1.432797e-22     0.040451459   0.00018550032       218.06679
   0.0030951311        5.404049    0.0076282077   1.1034026e-22     0.040438053   0.00018549539       218.00031
   0.0031873927       5.4040621    0.0076381368    1.339015e-22     0.040424515   0.00018549041       217.93318
   0.0032806164       5.4040754    0.0076481527   5.9867647e-23     0.040410845   0.00018548539       217.86539
   0.0033748124       5.4040889     0.007658256  -3.4889377e-23     0.040397042   0.00018548031       217.79693
   0.0034699907       5.4041025    0.0076684473    4.378383e-24     0.040383104   0.00018547518       217.72781
   0.0035661616       5.4041163     0.007678727    1.546656e-22      0.04036903   0.00018546999       217.65801
   0.0036633356       5.4041302    0.0076890957   9.0363077e-23     0.040354819   0.00018546476       217.58753
   0.0037615229       5.4041443     0.007699554  -1.8620403e-22      0.04034047   0.00018545947       217.51636
   0.0038607342       5.4041586    0.0077101022  -2.5272083e-22     0.040325981   0.00018545413        217.4445
   0.0039609802        5.404173     0.007720741   3.8689135e-23     0.040311351   0.00018544874       217.37193
   0.0040622717       5.4041876    0.0077314709   8.8306545e-23     0.040296578   0.00018544329       217.29866
   0.0041646195       5.4042024    0.0077422924   -8.836689e-23     0.040281663   0.00018543779       217.22467
   0.0042680347       5.4042173     0.007753206  -5.2182452e-23     0.040266602   0.00018543223       217.14996
   0.0043725284       5.4042324    0.0077642122    9.571505e-23     0.040251396   0.00018542662       217.07453
   0.0044781119       5.4042477    0.0077753114    1.493188e-22     0.040236042   0.00018542095       216.99836
   0.0045847965       5.4042632    0.0077865043  -3.2916547e-23     0.040220539   0.00018541522       216.92145
   0.0046925938       5.4042788    0.0077977912  -2.5676505e-22     0.040204887   0.00018540943        216.8438
   0.0048015152       5.4042947    0.0078091727  -1.7300092e-22     0.040189083   0.00018540359       216.76539
   0.0049115726       5.4043107    0.0078206492   9.3130563e-23     0.040173126   0.00018539769       216.68623
   0.0050227778       5.4043269    0.0078322212   2.0603905e-22     0.040157016   0.00018539173       216.60629
   0.0051351427       5.4043433    0.0078438892   1.8681619e-22      0.04014075   0.00018538571       216.52559
   0.0052486795       5.4043599    0.0078556535   5.3983731e-23     0.040124327   0.00018537963        216.4441
   0.0053634003       5.4043767    0.0078675148  -1.6183467e-22     0.040107746   0.00018537349       216.36182
   0.0054793176       5.4043937    0.0078794734  -2.5773742e-22     0.040091006   0.00018536729       216.27876
   0.0055964437       5.4044109    0.0078915297  -1.0042566e-22     0.040074105   0.00018536102       216.19489
   0.0057147914       5.4044283    0.0079036842   6.5781688e-23     0.040057041   0.00018535469       216.11021
   0.0058343733       5.4044459    0.0079159372  -1.3392074e-23     0.040039814    0.0001853483       216.02471
   0.0059552024       5.4044637    0.0079282893   2.0072968e-23     0.040022422   0.00018534185        215.9384
   0.0060772915       5.4044818    0.0079407407   1.9482457e-22     0.040004863   0.00018533533       215.85125
    0.006200654          5.4045     0.007953292   1.4778681e-22     0.039987136   0.00018532874       215.76327
   0.0063253029       5.4045185    0.0079659433  -8.5879944e-23     0.039969239    0.0001853221       215.67444
   0.0064512519       5.4045371    0.0079786952  -1.1842916e-22     0.039951171   0.00018531538       215.58476
   0.0065785143        5.404556     0.007991548   1.5259365e-22     0.039932931    0.0001853086       215.49422
    0.006707104       5.4045752     0.008004502   2.3029535e-22     0.039914518   0.00018530175       215.40281
   0.0068370347       5.4045945    0.0080175575   1.7864131e-22     0.039895928   0.00018529483       215.31053
   0.0069683205       5.4046141    0.0080307149   2.6896652e-22     0.039877162   0.00018528784       215.21737
   0.0071009754       5.4046339    0.0080439746   3.0010372e-23     0.039858217   0.00018528078       215.12332
   0.0072350138        5.404654    0.0080573366  -3.7218198e-22     0.039839093   0.00018527366       215.02837
   0.0073704501       5.4046742    0.0080708015  -4.9075872e-22     0.039819787   0.00018526646       214.93252
   0.0075072989       5.4046948    0.0080843693  -2.4231891e-22     0.039800297   0.00018525919       214.83575
   0.0076455748       5.4047156    0.0080980405   2.9301624e-22     0.039780624   0.00018525185       214.73807
   0.0077852928       5.4047366    0.0081118151   3.0192068e-22     0.039760764   0.00018524443       214.63945
    0.007926468       5.4047578    0.0081256935  -1.8937635e-22     0.039740716   0.00018523694        214.5399
   0.0080691154       5.4047794    0.0081396758  -2.9541356e-22     0.039720479   0.00018522938       214.43941
   0.0082132505       5.4048012    0.0081537622  -8.5237113e-23     0.039700051   0.00018522175       214.33796
   0.0083588888       5.4048232     0.008167953  -2.4358132e-23     0.039679431   0.00018521403       214.23555
    0.008506046       5.4048455    0.0081822481  -9.3046811e-23     0.039658617   0.00018520624       214.13218
   0.0086547378       5.4048681    0.0081966479  -4.3117814e-23     0.039637607   0.00018519838       214.02783
   0.0088049804        5.404891    0.0082111523    1.295901e-22     0.039616399   0.00018519043       213.92249
   0.0089567898       5.4049141    0.0082257615   1.9732144e-22     0.039594993   0.00018518241       213.81616
   0.0091101825       5.4049375    0.0082404756   1.2501757e-22     0.039573386   0.00018517431       213.70883
   0.0092651749       5.4049612    0.0082552945   3.6451933e-23     0.039551577   0.00018516613       213.60049
   0.0094217836       5.4049851    0.0082702184   -3.329156e-23     0.039529563   0.00018515787       213.49113
   0.0095800257       5.4050094    0.0082852472   7.1381812e-23     0.039507345   0.00018514952       213.38075
   0.0097399181       5.4050339     0.008300381   8.8380251e-23     0.039484919    0.0001851411       213.26933
    0.009901478       5.4050588    0.0083156197   -1.383955e-22     0.039462284   0.00018513259       213.15687
    0.010064723       5.4050839    0.0083309631  -1.1572541e-22     0.039439438     0.000185124       213.04336
     0.01022967       5.4051093    0.0083464113  -4.8028647e-23      0.03941638   0.00018511532       212.92878
    0.010396337       5.4051351    0.0083619641  -1.0040476e-22     0.039393108   0.00018510656       212.81314
    0.010564743       5.4051612    0.0083776214   1.6680526e-22      0.03936962   0.00018509771       212.69642
    0.010734905       5.4051875     0.008393383   5.0976494e-22     0.039345914   0.00018508877       212.57861
    0.010906842       5.4052142    0.0084092488   3.3083238e-22      0.03932199   0.00018507975        212.4597
    0.011080571       5.4052412    0.0084252183  -1.0456556e-22     0.039297844   0.00018507064        212.3397
    0.011256113       5.4052686    0.0084412915   -1.580004e-22     0.039273475   0.00018506144       212.21857
    0.011433485       5.4052962    0.0084574681  -8.9275484e-23     0.039248882   0.00018505215       212.09633
    0.011612707       5.4053242    0.0084737476  -3.2016503e-22     0.039224062   0.00018504276       211.97296
    0.011793798       5.4053526    0.0084901298  -4.0372664e-22     0.039199015   0.00018503329       211.84844
    0.011976778       5.4053813    0.0085066143  -3.2811495e-23     0.039173737   0.00018502373       211.72277
    0.012161666       5.4054103    0.0085232006   1.9606207e-22     0.039148228   0.00018501407       211.59595
    0.012348482       5.4054397    0.0085398883   -3.530018e-23     0.039122485   0.00018500431       211.46796
    0.012537247       5.4054694     0.008556677   -9.683146e-23     0.039096507   0.00018499446       211.33879
     0.01272798       5.4054995    0.0085735659    2.241011e-22     0.039070292   0.00018498452       211.20844
    0.012920702         5.40553    0.0085905547   3.1972949e-22     0.039043837   0.00018497448       211.07689
    0.013115435       5.4055608    0.0086076426  -5.1704307e-23     0.039017142   0.00018496434       210.94413
    0.013312198        5.405592    0.0086248291  -2.8626604e-22     0.038990204    0.0001849541       210.81016
    0.013511013       5.4056236    0.0086421135  -7.8638906e-23     0.038963022   0.00018494376       210.67497
    0.013711901       5.4056555     0.008659495   9.6919672e-23     0.038935593   0.00018493332       210.53854
    0.013914885       5.4056879    0.0086769728   1.1939456e-22     0.038907916   0.00018492278       210.40088
    0.014119985       5.4057206    0.0086945461   4.5648742e-24     0.038879989   0.00018491214       210.26195
    0.014327225       5.4057537    0.0087122141  -2.0623536e-22      0.03885181    0.0001849014       210.12177
    0.014536626       5.4057873    0.0087299758  -1.2299589e-22     0.038823377   0.00018489055       209.98032
     0.01474821       5.4058212    0.0087478303   1.9332068e-22     0.038794688    0.0001848796       209.83758
    0.014962002       5.4058555    0.0087657766   1.8413462e-22     0.038765742   0.00018486854       209.69356
    0.015178023       5.4058903    0.0087838137  -2.1276457e-22     0.038736535   0.00018485737       209.54823
    0.015396296       5.4059255    0.0088019404  -2.9048569e-22     0.038707068   0.00018484609       209.40159
    0.015616846       5.4059611    0.0088201555  -3.1754221e-24     0.038677337   0.00018483471       209.25364
    0.015839697       5.4059971    0.0088384579    1.055541e-23      0.03864734   0.00018482322       209.10435
    0.016064871       5.4060336    0.0088568463  -5.7685172e-23     0.038617076   0.00018481161       208.95373
    0.016292394       5.4060705    0.0088753193   1.2568651e-22     0.038586543    0.0001847999       208.80175
    0.016522289       5.4061079    0.0088938757   3.5347404e-22     0.038555739   0.00018478807       208.64841
    0.016754582       5.4061457    0.0089125139   3.4767823e-22     0.038524662   0.00018477613       208.49371
    0.016989298       5.4061839    0.0089312324   6.8355338e-23     0.038493309   0.00018476407       208.33763
    0.017226461       5.4062227    0.0089500298  -1.9658006e-22      0.03846168    0.0001847519       208.18015
