#             y             U_x             U_y             U_z               k             nut           omega
    0.016225903       5.4416272     0.032455494  -1.2223326e-23     0.035091304   0.00018283634       191.92745
    0.017245391       5.4410151     0.032173208   2.0601186e-23     0.035091934   0.00018295591       191.80544
    0.018327656       5.4403621     0.031865436   6.1654659e-23     0.035092327   0.00018305115       191.70778
    0.019476565       5.4396665     0.031530412   6.6967362e-23     0.035092524   0.00018312642       191.63005
     0.02069622       5.4389271     0.031166379  -1.9793328e-23     0.035092563   0.00018318564       191.56831
    0.021990978        5.438143      0.03077163   -2.010565e-22     0.035092477   0.00018323211       191.51925
    0.023365464       5.4373134     0.030344535  -7.5305076e-23     0.035092288   0.00018326851       191.48017
    0.024824587       5.4364382     0.029883591   1.1455578e-22     0.035092015   0.00018329701       191.44891
    0.026373559       5.4355176     0.029387457    9.152001e-23      0.03509167   0.00018331929       191.42376
    0.028017912       5.4345522     0.028855007  -3.3758753e-23     0.035091261   0.00018333671       191.40334
     0.02976352       5.4335435     0.028285367  -1.2923855e-22     0.035090794    0.0001833503       191.38661
    0.031616619       5.4324935     0.027677966  -7.2097749e-23     0.035090272   0.00018336088       191.37271
    0.033583826       5.4314047      0.02703256   4.0639616e-23     0.035089698   0.00018336911       191.36099
    0.035672168       5.4302805     0.026349276    1.378422e-22     0.035089075   0.00018337548       191.35095
    0.037889105       5.4291247     0.025628609   6.0027135e-23     0.035088404   0.00018338039       191.34217
    0.040242556       5.4279421     0.024871456   1.2814895e-22     0.035087688   0.00018338415       191.33435
    0.042740925       5.4267377      0.02407907    2.678304e-22     0.035086931   0.00018338699       191.32725
    0.045393137       5.4255174     0.023253093   6.6539929e-23     0.035086137   0.00018338912        191.3207
    0.048208665       5.4242872      0.02239545   5.0252513e-23      0.03508531   0.00018339069       191.31456
    0.051197566       5.4230537       0.0215084    1.828624e-22     0.035084457   0.00018339181       191.30874
    0.054370516       5.4218236     0.020594356   1.2551713e-22     0.035083584   0.00018339258       191.30317
    0.057738847       5.4206037     0.019655978   7.0422986e-23     0.035082697   0.00018339308       191.29781
    0.061314592       5.4194009      0.01869591   1.9067259e-22     0.035081805   0.00018339337       191.29264
     0.06511052       5.4182219     0.017716961   2.9474131e-22     0.035080916    0.0001833935       191.28766
    0.069140193       5.4170733     0.016721713   2.3388072e-23     0.035080036   0.00018339351       191.28285
    0.073418001        5.415961     0.015712859  -3.2902595e-22     0.035079174   0.00018339343       191.27823
    0.077959226       5.4148911     0.014692617  -4.1188402e-22     0.035078336   0.00018339329       191.27381
    0.082780087       5.4138688     0.013663314  -1.1525537e-22      0.03507753    0.0001833931       191.26961
    0.087897803        5.412899     0.012626492   4.3039846e-23     0.035076761   0.00018339289       191.26564
    0.093330656       5.4119859     0.011583864   1.2530919e-22     0.035076034   0.00018339266       191.26191
