#             y             U_x             U_y             U_z               k             nut           omega
   3.113662e-05      0.12394215   1.0941545e-05    6.811512e-25     0.012018446   6.3398768e-09       4021287.1
  5.3394177e-05      0.21165533   2.8766331e-05   1.0316172e-23    0.0082466951   1.3601634e-08       863193.93
  7.7022295e-05      0.30469171    5.823277e-05   6.0046841e-23     0.006690194    2.455138e-08       332193.19
  0.00010210537      0.40334195   0.00010128355   1.5762077e-22    0.0058590607   3.9770007e-08       167427.19
  0.00012873299      0.50790239   0.00016003693   8.8455052e-23    0.0053781034   6.0099342e-08       97994.425
  0.00015700027      0.61867087   0.00023706169  -7.7847106e-23    0.0051080452   8.6614201e-08       63142.512
  0.00018700818      0.73594197    0.0003352873  -1.0314257e-22    0.0049854346    1.204799e-07       43622.507
  0.00021886389      0.86000247   0.00045799717  -4.9071837e-23    0.0049779126   1.6271521e-07       31871.293
  0.00025268119      0.99112797   0.00060885755   1.4066962e-23     0.005068149   2.1390645e-07       24446.279
  0.00028858087       1.1295809   0.00079194767   4.2976918e-23    0.0052470956   2.7399012e-07       19601.447
  0.00032669115       1.2756093    0.0010117827  -2.7800489e-23    0.0055107961   3.4225614e-07       16373.457
  0.00036714817       1.4294428    0.0012733016   -1.710285e-23    0.0058588265   4.1765601e-07       14193.408
  0.00041009642       1.5913076    0.0015819051   9.0916527e-23    0.0062936317   4.9487704e-07       12706.078
  0.00045568931       1.7614606    0.0019435497  -3.2144711e-23    0.0068205586   5.6500384e-07       11679.085
  0.00050408968       1.9401417    0.0023647035  -2.0244319e-22    0.0074481937   6.3003596e-07       10954.257
  0.00055547043       2.1274283     0.002852079   1.2187778e-25    0.0081881551   7.0271788e-07       10420.512
  0.00061001506       2.3231501    0.0034123439   1.8599655e-22    0.0090544948   7.9214627e-07       9998.1387
   0.0006679184        2.526866    0.0040519386  -4.7379847e-23     0.010063182   9.0632038e-07       9628.9918
  0.00072938728       2.7377673    0.0047766753  -2.3014561e-22     0.011230911   1.0616283e-06         9270.23
  0.00079464125       2.9545015    0.0055907037  -1.4652591e-22     0.012572273    1.285659e-06       8891.2861
  0.00086391338       3.1751367    0.0064954506  -8.6504663e-26     0.014095734    1.595331e-06       8473.3524
   0.0009374511       3.3975218    0.0074897151   2.3026099e-22     0.015801843   1.9647437e-06       8007.6639
   0.0010155171       3.6195531    0.0085698909   1.9927885e-22     0.017683998   2.3767771e-06       7490.4744
   0.0010983902       3.8387921    0.0097279999  -1.9383624e-22     0.019723743   2.8744667e-06       6919.7513
   0.0011863663       4.0521409     0.010949735  -2.6803884e-22     0.021880353   3.5115202e-06       6297.1254
   0.0012797599       4.2560912     0.012214961  -1.0733393e-22     0.024083505   4.3334184e-06       5630.8962
   0.0013789043       4.4470896     0.013498409    -2.02614e-22      0.02623017    5.398956e-06       4936.7006
   0.0014841538       4.6218657     0.014770663  -1.3471478e-22     0.028186359   6.7816275e-06       4236.3615
   0.0015958843       4.7778142     0.016000833   2.5816087e-22     0.029797888    8.568831e-06       3555.2778
   0.0017144948       4.9133231     0.017159901   2.4953927e-22     0.030936472   1.0867841e-05       2918.6116
    0.001840409       5.0279305     0.018223625  -6.5994519e-23     0.031559248   1.3819321e-05       2347.4011
   0.0019740768        5.122303     0.019174708   7.7163713e-23     0.031712359   1.7599369e-05       1855.6757
   0.0021159754       5.1980836     0.020004219    2.883273e-22     0.031494462   2.2402758e-05       1449.0346
   0.0022666117       5.2576181     0.020711846   1.2380689e-22     0.031029361    2.841898e-05       1124.9398
   0.0024265239       5.3035911     0.021304625  -1.1813336e-22     0.030460091   3.5821527e-05       874.67445
    0.002596283       5.3386722     0.021794437  -1.5185061e-22     0.029927928   4.4743966e-05       686.18584
   0.0027764954        5.365274     0.022195474   6.2534174e-23     0.029523788   5.5206769e-05       546.70902
   0.0029678048       5.3854327      0.02252229   1.0856834e-22     0.029272573   6.7051454e-05       444.54805
   0.0031708945       5.4007763      0.02278835  -5.5714931e-23     0.029158509   7.9938383e-05       369.98138
     0.00338649       5.4125484     0.023005159  -6.2792916e-24     0.029150444   9.3392384e-05       315.48035
   0.0036153613       5.4216675     0.023181993   1.3066799e-22      0.02921559   0.00010687009       275.49208
   0.0038583258       5.4287982     0.023326045   4.9396807e-23     0.029325794   0.00011983166        246.0391
   0.0041162514       5.4344165     0.023442763  -6.4410515e-23     0.029459203   0.00013180234       224.30863
   0.0043900594       5.4388629     0.023536209  -5.0842418e-23     0.029599692   0.00014241657          208.31
   0.0046807278       5.4423831     0.023609399  -4.7110092e-23     0.029735717     0.000151443       196.61713
   0.0049892948       5.4451564     0.023664575   1.2152425e-23     0.029859289   0.00015879135       188.18612
   0.0053168625       5.4473175     0.023703448   8.4512268e-23     0.029965266   0.00016450262       182.23068
   0.0056646009       5.4489708     0.023727375   6.6142472e-24     0.030050906   0.00016872547       178.14023
   0.0060337521       5.4502012     0.023737519  -4.2757311e-23     0.030115577   0.00017168321       175.42869
   0.0064256347       5.4510813     0.023734986  -6.0043751e-23      0.03016049    0.0001736366       173.70477
   0.0068416484       5.4516753     0.023720902   -8.404526e-23     0.030188336   0.00017484861       172.65616
    0.007283279       5.4520414     0.023696416   3.3245783e-23     0.030202803   0.00017555676       172.04072
   0.0077521041       5.4522319     0.023662755   9.5789914e-23     0.030207988   0.00017595648       171.67892
   0.0082497982        5.452292     0.023621094   2.0200879e-23     0.030207826   0.00017619628       171.44422
    0.008778139       5.4522588     0.023572402   3.0437027e-23     0.030205629     0.000176382       171.25125
   0.0093390136         5.45216     0.023517515   2.4675404e-23     0.030203829   0.00017658456       171.04466
   0.0099344254       5.4520153     0.023456992  -2.2384435e-23     0.030203907   0.00017684608       170.79226
    0.010566501       5.4518372     0.023391089   1.7450428e-23     0.030206477    0.0001771827       170.48241
    0.011237498       5.4516321     0.023319837   3.8178381e-23     0.030211454   0.00017758755        170.1219
    0.011949813       5.4514025     0.023243041   4.1522043e-23     0.030218293   0.00017803728       169.73063
    0.012705991       5.4511482     0.023160362   4.7919261e-24     0.030226224   0.00017850147       169.33367
    0.013508733       5.4508677     0.023071354  -8.2884079e-23     0.030234463   0.00017895128       168.95402
    0.014360904        5.450559     0.022975501  -3.4788051e-23     0.030242349    0.0001793647       168.60847
    0.015265551       5.4502196     0.022872231   6.6472624e-23     0.030249416   0.00017972841       168.30649
    0.016225903       5.4498468     0.022760919   5.2963464e-23     0.030255411    0.0001800372       168.05104
    0.017245391       5.4494379     0.022640888  -1.1586128e-23     0.030260258   0.00018029202       167.84034
    0.018327656       5.4489903     0.022511403  -7.0457781e-23      0.03026401   0.00018049781       167.66973
    0.019476565       5.4485011     0.022371665  -3.1425659e-23     0.030266794   0.00018066145       167.53323
     0.02069622       5.4479676     0.022220815   3.7771897e-23     0.030268761   0.00018079021       167.42478
    0.021990978       5.4473871     0.022057928    2.798029e-23      0.03027006   0.00018089086       167.33879
    0.023365464       5.4467572     0.021882007   4.3903228e-23      0.03027082   0.00018096924       167.27051
    0.024824587       5.4460754     0.021691986   1.8078868e-23     0.030271146   0.00018103014       167.21603
    0.026373559       5.4453397     0.021486727  -5.8216241e-23      0.03027112   0.00018107741       167.17224
    0.028017912       5.4445484     0.021265018  -5.7683643e-24     0.030270806   0.00018111405       167.13668
     0.02976352       5.4437003     0.021025574   1.7667645e-23     0.030270251   0.00018114243       167.10743
    0.031616619       5.4427948      0.02076705  -1.1012497e-22     0.030269493   0.00018116436       167.08301
    0.033583826       5.4418318     0.020488027  -1.6550794e-22      0.03026856   0.00018118128       167.06227
    0.035672168       5.4408122     0.020187049   -1.257806e-22     0.030267476   0.00018119427       167.04431
    0.037889105       5.4397374     0.019862598   -4.032359e-23     0.030266259   0.00018120419       167.02844
    0.040242556       5.4386098     0.019513146   3.7269899e-23     0.030264927   0.00018121171       167.01416
    0.042740925       5.4374327     0.019137122   1.0094437e-22     0.030263495   0.00018121735       167.00106
    0.045393137       5.4362104        0.018733   1.7949701e-22     0.030261978   0.00018122151       166.98886
    0.048208665       5.4349479     0.018299234   2.7531496e-22      0.03026039   0.00018122452       166.97732
    0.051197566       5.4336511     0.017834393   3.7249329e-22     0.030258747   0.00018122662       166.96632
    0.054370516       5.4323268     0.017337042   2.8576774e-22     0.030257063   0.00018122803       166.95573
    0.057738847       5.4309824     0.016805955   9.1357932e-23     0.030255353   0.00018122888       166.94551
    0.061314592       5.4296259     0.016239902   9.8455832e-24     0.030253632   0.00018122932       166.93561
     0.06511052       5.4282656     0.015637976   6.5728176e-23     0.030251915   0.00018122944       166.92602
    0.069140193       5.4269104     0.014999223  -2.6653429e-23     0.030250216   0.00018122933       166.91675
    0.073418001       5.4255692     0.014323131  -3.1472597e-22     0.030248549   0.00018122904       166.90782
    0.077959226       5.4242511     0.013609039  -1.3744677e-22     0.030246926   0.00018122863       166.89924
    0.082780087       5.4229649     0.012856844   1.3427609e-22      0.03024536   0.00018122814       166.89105
    0.087897803       5.4217197     0.012066088  -1.1653012e-22     0.030243862    0.0001812276       166.88328
    0.093330656        5.420524     0.011236976    3.345244e-23     0.030242441   0.00018122704       166.87596
