#             y             U_x             U_y             U_z             nut               k         epsilon
   3.113662e-05     0.079111083   3.5316466e-06               0   6.1713672e-16    1.570861e-09   2.4262026e-05
  5.3394177e-05      0.13515397   9.4387752e-06               0   3.7564586e-15   5.0492107e-09   2.5401187e-05
  7.7022295e-05       0.1946314   1.9149639e-05               0   1.4129961e-14   1.2419479e-08   3.5603254e-05
  0.00010210537      0.25775172   3.3326546e-05               0   4.0071125e-14   2.5982425e-08   5.2623934e-05
  0.00012873299      0.32473512   5.2687265e-05               0   9.5664019e-14   4.9141346e-08   7.7575142e-05
  0.00015700027      0.39581388   7.8097172e-05               0   2.0480705e-13   8.7023691e-08   0.00011279177
  0.00018700818      0.47123268    0.0001105458               0   4.0798988e-13   1.4738938e-07   0.00016177799
  0.00021886389      0.55124865   0.00015115657               0   7.7351707e-13   2.4200035e-07   0.00022950393
  0.00025268119      0.63613123   0.00020120544               0   1.4162342e-12   3.8869909e-07   0.00032290895
  0.00028858087      0.72616178   0.00026214022               0   2.5288194e-12   6.1456692e-07   0.00045162898
  0.00032669115      0.82163268   0.00033560037               0   4.4340616e-12   9.6071829e-07   0.00062901051
  0.00036714817      0.92284605   0.00042343815               0   7.6721204e-12   1.4895624e-06   0.00087350306
  0.00041009642       1.0301116   0.00052774063               0   1.3145909e-11   2.2957593e-06    0.0012105491
  0.00045568931       1.1437436    0.0006508521               0   2.2362609e-11   3.5226583e-06    0.0016751151
  0.00050408968       1.2640568   0.00079539562               0   3.7833128e-11   5.3867632e-06    0.0023150236
  0.00055547043       1.3913603   0.00096429267               0   6.3728772e-11   8.2137466e-06    0.0031952372
  0.00061001506       1.5259505    0.0011607783               0   1.0695178e-10   1.2490674e-05    0.0044031833
   0.0006679184       1.6680998     0.001388409               0   1.7886155e-10   1.8940203e-05    0.0060550492
  0.00072938728       1.8180444    0.0016510589               0   2.9801897e-10   2.8623088e-05    0.0083026429
  0.00079464125       1.9759661    0.0019528992               0   4.9447182e-10   4.3074336e-05     0.011339804
  0.00086391338       2.1419713    0.0022983517               0   8.1629858e-10   6.4473907e-05     0.015406343
   0.0009374511        2.316063    0.0026920088               0   1.3393286e-09   9.5842036e-05     0.020785958
   0.0010155171       2.4981084    0.0031385057               0   2.1810983e-09   0.00014122775     0.027792594
   0.0010983902       2.6877982    0.0036423315               0   3.5200506e-09   0.00020582256     0.036737619
   0.0011863663          2.8846    0.0042075615               0    5.620436e-09   0.00029587747     0.047869421
   0.0012797599       3.0877061    0.0048374952               0   8.8615347e-09   0.00041823645     0.061280699
   0.0013789043       3.2959777    0.0055341857               0   1.3764426e-08   0.00057925256     0.076792682
   0.0014841538       3.5078902    0.0062978564               0   2.0995399e-08   0.00078289472     0.093854766
   0.0015958843       3.7214889    0.0071262177               0   3.1297737e-08    0.0010281263      0.11153013
   0.0017144948       3.9343656    0.0080137315               0   4.5288074e-08    0.0013063135       0.1286156
    0.001840409       4.1436727    0.0089509083               0   6.3145728e-08    0.0016003913      0.14382421
   0.0019740768       4.3461898    0.0099237644               0   8.4457518e-08    0.0018877996       0.1559052
   0.0021159754       4.5384515     0.010913593               0   1.0856465e-07    0.0021473836      0.16375739
   0.0022666117       4.7169416     0.011897231               0   1.3537184e-07    0.0023671211      0.16670751
   0.0024265239       4.8783549     0.012848038               0   1.6620125e-07    0.0025481742      0.16483629
    0.002596283       5.0199132     0.013737754               0   2.0453803e-07    0.0027030869      0.15893168
   0.0027764954       5.1397063     0.014539284               0    2.566648e-07     0.002849487      0.15014229
   0.0029678048       5.2369927      0.01523014               0   3.3232675e-07     0.003002682      0.13963853
   0.0031708945       5.3123757     0.015795864               0   4.4508683e-07    0.0031701092      0.12842666
     0.00338649       5.3677811     0.016232526               0   6.1015086e-07    0.0033490996      0.11740196
   0.0036153613       5.4061988     0.016547379               0   8.3576007e-07    0.0035283539      0.10745507
   0.0038583258       5.4312187     0.016757074               0   1.1084219e-06     0.003692534     0.099406053
   0.0041162514       5.4464693     0.016883647               0   1.3863823e-06    0.0038281402      0.09372813
   0.0043900594        5.455136     0.016949819               0   1.6185498e-06    0.0039281108     0.090322708
   0.0046807278       5.4596967     0.016975293               0   1.7761737e-06    0.0039932619     0.088619225
   0.0049892948       5.4618904     0.016975302               0   1.8639117e-06    0.0040304188     0.087920975
   0.0053168625       5.4628308     0.016960479               0   1.9045733e-06    0.0040487556     0.087692374
   0.0056646009       5.4631665      0.01693729               0   1.9204296e-06    0.0040564737     0.087635518
   0.0060337521       5.4632362     0.016909275               0   1.9256167e-06    0.0040591777     0.087625612
   0.0064256347       5.4631979     0.016878063               0   1.9270048e-06    0.0040599179     0.087623759
   0.0068416484       5.4631158     0.016844413               0    1.927281e-06    0.0040600314     0.087621936
    0.007283279       5.4630131     0.016808512               0   1.9272987e-06    0.0040599877     0.087619616
   0.0077521041       5.4628976     0.016770248               0   1.9272741e-06    0.0040599153     0.087617092
   0.0082497982       5.4627708     0.016729542               0    1.927248e-06    0.0040598399     0.087614473
    0.008778139       5.4626331     0.016686211               0   1.9272249e-06     0.004059764     0.087611757
   0.0093390136       5.4624847     0.016640095               0   1.9272043e-06    0.0040596869     0.087608929
   0.0099344254       5.4623257      0.01659101               0   1.9271855e-06    0.0040596079     0.087605976
    0.010566501       5.4621561     0.016538762               0   1.9271682e-06    0.0040595266     0.087602887
    0.011237498       5.4619761     0.016483144               0   1.9271519e-06    0.0040594425     0.087599654
    0.011949813       5.4617848     0.016423934               0   1.9271365e-06     0.004059355     0.087596253
    0.012705991       5.4615801     0.016360893               0   1.9271215e-06    0.0040592623     0.087592618
    0.013508733       5.4613579     0.016293754               0   1.9271067e-06    0.0040591617     0.087588636
    0.014360904       5.4611138     0.016222222               0   1.9270918e-06      0.00405905     0.087584177
    0.015265551       5.4608438     0.016145984               0   1.9270766e-06    0.0040589243     0.087579123
    0.016225903       5.4605445     0.016064708               0   1.9270606e-06    0.0040587821     0.087573377
    0.017245391        5.460213     0.015978041               0   1.9270436e-06    0.0040586214     0.087566857
