#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   3.113662e-05   -0.0046601305  -1.6695014e-06               0       1047.0869    0.0042532801               0               0               0               0     0.032937365   8.1813588e-08               0   9.5888121e-21   5.6176465e-14   1.4276607e-09
  5.3394177e-05   -0.0080627401  -4.3841524e-06               0       1046.7094    0.0080076649               0               0               0               0     0.056258797   2.2261452e-07               0   5.6040786e-20    2.157373e-13   2.6739786e-09
  7.7022295e-05    -0.011670723  -8.7999836e-06               0       1046.3061     0.011655397               0               0               0               0     0.081007059   4.5571876e-07               0   2.2861736e-19   6.5565124e-13   5.8049014e-09
  0.00010210537    -0.015496801  -1.5231809e-05               0       1045.8754     0.015500991               0               0               0               0      0.10726877   7.9729782e-07               0   7.6847948e-19   1.7441155e-12   1.2098582e-08
  0.00012873299    -0.019554305   -2.402459e-05               0       1045.4159     0.019554465               0               0               0               0      0.13513574   1.2646147e-06               0    2.312623e-18    4.286099e-12   2.4185318e-08
  0.00015700027    -0.023857045  -3.5593793e-05               0       1044.9257     0.023854925               0               0               0               0      0.16470523   1.8785914e-06               0   6.4954636e-18   1.0010716e-11   4.6880346e-08
  0.00018700818    -0.028419129  -5.0419976e-05               0       1044.4028     0.028416833               0               0               0               0       0.1960803    2.663178e-06               0   1.7413512e-17   2.2574278e-11   8.8816263e-08
  0.00021886389    -0.033255207  -6.9055806e-05               0       1043.8452     0.033252943               0               0               0               0      0.22937013   3.6455518e-06               0   4.5140016e-17   4.9603514e-11   1.6529703e-07
  0.00025268119    -0.038380052  -9.2139211e-05               0       1043.2503      0.03837799               0               0               0               0      0.26469033   4.8565921e-06               0    1.140449e-16   1.0681606e-10    3.032117e-07
  0.00028858087    -0.043808231  -0.00012040265               0       1042.6154     0.043805838               0               0               0               0      0.30216335   6.3313613e-06               0   2.8225047e-16   2.2625379e-10    5.494298e-07
  0.00032669115     -0.04955384  -0.00015469566               0       1041.9372     0.049550152               0               0               0               0       0.3419188   8.1094917e-06               0   6.8662328e-16   4.7259531e-10   9.8505786e-07
  0.00036714817    -0.055629925  -0.00019600281               0       1041.2123     0.055625351               0               0               0               0      0.38409386   1.0235824e-05               0   1.6457606e-15   9.7522381e-10    1.749516e-06
  0.00041009642    -0.062048015  -0.00024545828               0       1040.4366     0.062042957               0               0               0               0      0.42883368   1.2760962e-05               0   3.8935148e-15   1.9908139e-09   3.0809949e-06
  0.00045568931    -0.068816745  -0.00030437868               0       1039.6052     0.068810949               0               0               0               0      0.47629177   1.5741713e-05               0   9.1039189e-15   4.0246677e-09   5.3841212e-06
  0.00050408968    -0.075941032  -0.00037429452               0       1038.7131     0.075933987               0               0               0               0      0.52663045   1.9241653e-05               0   2.1061623e-14   8.0644914e-09   9.3426413e-06
  0.00055547043     -0.08342019  -0.00045698995               0        1037.754     0.083411896               0               0               0               0      0.58002125    2.333162e-05               0   4.8252078e-14    1.602821e-08   1.6106318e-05
  0.00061001506    -0.091245273  -0.00055454497               0       1036.7211     0.091236097               0               0               0               0      0.63664532   2.8090142e-05               0    1.095536e-13   3.1617174e-08   2.7599738e-05
   0.0006679184     -0.09939649   -0.0006693933               0       1035.6064     0.099385771               0               0               0               0      0.69669393   3.3603481e-05               0   2.4666438e-13   6.1933554e-08   4.7030707e-05
  0.00072938728     -0.10783885  -0.00080439982               0       1034.4009      0.10782607               0               0               0               0      0.76036881   3.9965454e-05               0   5.5106822e-13   1.2053184e-07   7.9724336e-05
  0.00079464125      -0.1165164  -0.00096294698               0       1033.0946       0.1165018               0               0               0               0      0.82788262   4.7276893e-05               0   1.2222142e-12   2.3315021e-07    0.0001344868
  0.00086391338     -0.12534504   -0.0011490396               0       1031.6761      0.12532822               0               0               0               0      0.89945933    5.564406e-05               0   2.6923713e-12   4.4842926e-07   0.00022582751
   0.0009374511     -0.13420266   -0.0013674418               0        1030.133       0.1341825               0               0               0               0      0.97533459   6.5175929e-05               0   5.8932293e-12   8.5787525e-07   0.00037756748
   0.0010155171     -0.14291455   -0.0016238362               0        1028.452      0.14289028               0               0               0               0       1.0557562   7.5979835e-05               0   1.2822505e-11   1.6328913e-06   0.00062867671
   0.0010983902     -0.15123602     -0.00192506               0       1026.6194      0.15120693               0               0               0               0       1.1409842   8.8154415e-05               0   2.7742957e-11   3.0931934e-06    0.0010426792
   0.0011863663     -0.15883012   -0.0022796001               0        1024.622      0.15879863               0               0               0               0       1.2312919   0.00010177884               0   5.9709803e-11   5.8326949e-06    0.0017227358
   0.0012797599     -0.16523226   -0.0026981632               0       1022.4481      0.16522162               0               0               0               0       1.3269655   0.00011689762               0   1.2788123e-10   1.0950142e-05    0.0028357016
   0.0013789043     -0.16981348   -0.0031897806               0         1020.09      0.16984587               0               0               0               0       1.4283056   0.00013349921               0    2.726539e-10   2.0469705e-05    0.0046502425
   0.0014841538     -0.17169806   -0.0037706152               0       1017.5474      0.17159416               0               0               0               0       1.5356277   0.00015147537               0   5.7901805e-10   3.8103981e-05     0.007596726
   0.0015958843     -0.16965531   -0.0044607797               0       1014.8308       0.1691084               0               0               0               0       1.6492641   0.00017052453               0   1.2257692e-09   7.0629523e-05     0.012360347
   0.0017144948     -0.16200461   -0.0052810039               0       1011.9539      0.16163785               0               0               0               0       1.7695661   0.00019012268               0   2.5905479e-09   0.00013034684     0.020024213
    0.001840409      -0.1464922   -0.0062594348               0       1008.9246      0.14693184               0               0               0               0       1.8969047   0.00020962509               0   5.4800651e-09   0.00023943066     0.032288162
   0.0019740768     -0.12023494   -0.0074199097               0        1005.772       0.1201607               0               0               0               0       2.0316703   0.00022765994               0   1.1656319e-08   0.00043748902     0.051819453
   0.0021159754    -0.079590916   -0.0088018425               0       1002.5092     0.077878203               0               0               0               0       2.1742819   0.00024185987               0   2.5084125e-08   0.00079431498     0.082952638
   0.0022666117    -0.019209726    -0.010535496               0       998.88776     0.018778339               0               0               0               0       2.3251758   0.00024922254               0   5.4856301e-08    0.0014304067      0.13352374
   0.0024265239     0.067320441    -0.012674271               0       993.86179    -0.069612192               0               0               0               0       2.4847333   0.00024603457               0    1.229652e-07      0.00254787      0.21802583
    0.002596283      0.18054709    -0.015283537               0       984.12009     -0.18887708               0               0               0               0       2.6530607   0.00022378671               0   2.8833733e-07    0.0044642789       0.3594121
   0.0027764954      0.29902354    -0.018508884               0       962.01012     -0.30134056               0               0               0               0       2.8292888   0.00017675728               0   7.0294599e-07     0.007579452      0.58509738
   0.0029678048      0.36396482    -0.022059832               0       917.73228     -0.35215908               0               0               0               0       3.0103119   0.00010882344               0   1.6461254e-06     0.012098782      0.90687991
   0.0031708945      0.30769152    -0.025404997               0       848.55445     -0.29618509               0               0               0               0       3.1905494   3.6303049e-05               0   3.3539192e-06      0.01755706       1.2840949
     0.00338649      0.11372731    -0.028137616               0       765.50909     -0.11237274               0               0               0               0       3.3643402  -1.4243258e-05               0   5.6885433e-06     0.022761146       1.6187028
   0.0036153613     -0.17789642    -0.030373379               0       687.91354      0.17928451               0               0               0               0       3.5292971  -9.6450644e-06               0   8.0233105e-06      0.02641953        1.813256
   0.0038583258     -0.51461451    -0.032159957               0       631.79054      0.51858285               0               0               0               0        3.687619   7.6789692e-05               0   9.4791673e-06     0.027733029        1.826585
   0.0041162514     -0.85744499    -0.033479823               0       603.75645      0.85726855               0               0               0               0       3.8449612    0.0002575415               0      9.3204e-06     0.026396445       1.6660847
   0.0043900594      -1.1611743     -0.03431132               0       599.42532       1.1514276               0               0               0               0       4.0085015   0.00054050255               0    7.408956e-06     0.022429525       1.3561674
   0.0046807278      -1.3365709    -0.034214393               0       600.80142       1.3201339               0               0               0               0       4.1836539   0.00091434392               0   4.5794675e-06     0.016531146      0.95368598
   0.0049892948      -1.3068726    -0.033209144               0       583.28371       1.3020744               0               0               0               0       4.3687464    0.0013346303               0   2.1951533e-06     0.010447874      0.56929269
   0.0053168625      -1.1261366     -0.03204527               0       536.04552       1.1351007               0               0               0               0       4.5541292    0.0017404321               0   9.1066594e-07    0.0059012542      0.29739707
   0.0056646009     -0.92469576    -0.031540818               0       468.91423      0.93134651               0               0               0               0       4.7292718    0.0020956636               0   4.1083365e-07    0.0032552141      0.14606289
   0.0060337521     -0.76523494    -0.031750727               0       396.62713      0.76609353               0               0               0               0       4.8883225    0.0024026049               0   2.3601955e-07    0.0019053746     0.072493366
   0.0064256347     -0.64028513    -0.032272068               0       326.82493      0.64000651               0               0               0               0       5.0289874    0.0026743096               0   1.7367901e-07    0.0012357122     0.038161159
   0.0068416484     -0.53118241    -0.032823608               0       261.87004      0.53110784               0               0               0               0       5.1501933    0.0029158175               0   1.5617614e-07   0.00089735412     0.021863827
    0.007283279     -0.42852097     -0.03329351               0       202.92316      0.42846101               0               0               0               0       5.2514292    0.0031259937               0    1.638852e-07   0.00072420638     0.013753813
   0.0077521041     -0.33067884     -0.03363943               0       151.14115      0.33055091               0               0               0               0       5.3328812    0.0033019994               0   1.9354507e-07   0.00063904734      0.00946075
   0.0082497982     -0.24009332    -0.033860606               0       107.53116      0.23988896               0               0               0               0       5.3956056    0.0034415342               0   2.5055845e-07   0.00060461784    0.0070239728
