#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   3.113662e-05     -0.10538785  -9.5488619e-06               0       2060.4683     0.097141155               0               0               0               0     0.064789539   1.8954388e-06               0   9.6487297e-17   2.5590003e-10   4.0206615e-06
  5.3394177e-05      -0.1801423  -2.5714588e-05               0       2059.8766      0.17899587               0               0               0               0       0.1106821   5.0649844e-06               0   5.7932554e-16    8.268758e-10     4.35406e-06
  7.7022295e-05     -0.25948351  -5.2182675e-05               0       2059.2345      0.25920702               0               0               0               0      0.15938605   1.0275026e-05               0   2.1645252e-15   2.0485969e-09   6.2839034e-06
  0.00010210537     -0.34368958  -9.0828234e-05               0       2058.5304      0.34380449               0               0               0               0      0.21107219   1.7880709e-05               0   6.1352211e-15   4.3245647e-09   9.4955178e-06
  0.00012873299     -0.43305173  -0.00014361315               0       2057.7495      0.43308916               0               0               0               0      0.26592128   2.8267112e-05               0    1.471346e-14   8.2661305e-09    1.425281e-05
  0.00015700027     -0.52787627  -0.00021289852               0       2056.8733      0.52787298               0               0               0               0      0.32412446   4.1898564e-05               0     3.17635e-14   1.4814763e-08   2.1062748e-05
  0.00018700818     -0.62848361  -0.00030138431               0       2055.8785      0.62847891               0               0               0               0      0.38588364   5.9306271e-05               0   6.3987715e-14   2.5426157e-08   3.0686145e-05
  0.00021886389     -0.73520639  -0.00041213653               0       2054.7357      0.73520531               0               0               0               0      0.45141182   8.1093857e-05               0   1.2296216e-13   4.2354992e-08   4.4216161e-05
  0.00025268119     -0.84838813  -0.00054863012               0       2053.4086      0.84838815               0               0               0               0      0.52093341   0.00010794766               0   2.2862605e-13   6.9098257e-08   6.3205809e-05
  0.00028858087     -0.96838096  -0.00071481706               0       2051.8517      0.96838048               0               0               0               0      0.59468436   0.00014064759               0   4.1527667e-13   1.1108711e-07    8.985474e-05
  0.00032669115      -1.0955417  -0.00091517632               0       2050.0088       1.0955401               0               0               0               0      0.67291212   0.00018007873               0    7.418818e-13   1.7676783e-07   0.00012727677
  0.00036714817      -1.2302248    -0.001154762               0       2047.8105       1.2302226               0               0               0               0      0.75587549   0.00022724392               0   1.3098352e-12    2.792911e-07   0.00017988007
  0.00041009642       -1.372776   -0.0014392593               0       2045.1711       1.3727732               0               0               0               0      0.84384401   0.00028327748               0    2.293543e-12   4.3915076e-07   0.00025390474
