#             y             U_x             U_y             U_z             nut               k         epsilon
   3.113662e-05     0.038286409   3.5684475e-07               0    1.275572e-19   4.7424666e-13   8.6132909e-09
  5.3394177e-05     0.065393514   9.5274533e-07               0    7.103919e-19   1.6094388e-12   1.2330318e-08
  7.7022295e-05     0.094160801   1.9318904e-06               0   2.6200003e-18   4.2745306e-12   2.1900628e-08
  0.00010210537      0.12468931   3.3609175e-06               0   7.7043304e-18   9.8372364e-12   3.8661845e-08
  0.00012873299       0.1570861   5.3121007e-06               0   1.9871285e-17   2.0767586e-11   6.6291607e-08
  0.00015700027      0.19146465   7.8726242e-06               0   4.7287243e-17   4.1520142e-11   1.1092795e-07
  0.00018700818      0.22794511   1.1142261e-05               0   1.0681181e-16   8.0095915e-11   1.8236459e-07
  0.00021886389      0.26665475   1.5234398e-05               0   2.3295262e-16   1.5081707e-10   2.9607534e-07
  0.00025268119      0.30772828   2.0278065e-05               0   4.9590271e-16   2.7925353e-10    4.764312e-07
  0.00028858087      0.35130824    2.642017e-05               0   1.0377925e-15   5.1096223e-10   7.6176013e-07
  0.00032669115      0.39754535   3.3827713e-05               0   2.1454192e-15   9.2697455e-10   1.2122824e-06
  0.00036714817      0.44659892    4.269038e-05               0    4.395936e-15   1.6712171e-09   1.9225383e-06
  0.00041009642       0.4986372   5.3223464e-05               0   8.9482924e-15   2.9990135e-09   3.0408313e-06
  0.00045568931      0.55383766   6.5671019e-05               0   1.8125497e-14   5.3627864e-09   4.7996081e-06
  0.00050408968      0.61238736   8.0309547e-05               0   3.6576447e-14   9.5633195e-09   7.5628683e-06
  0.00055547043      0.67448315    9.745202e-05               0   7.3591197e-14   1.7016388e-08   1.1900022e-05
  0.00061001506       0.7403318   0.00011745232               0   1.4770834e-13   3.0222044e-08   1.8700728e-05
   0.0006679184      0.81015011    0.0001407101               0   2.9586942e-13   5.3589101e-08    2.935299e-05
  0.00072938728      0.88416476   0.00016767617               0    5.915752e-13   9.4880542e-08   4.6018518e-05
  0.00079464125      0.96261205   0.00019885828               0   1.1808196e-12   1.6774069e-07   7.2056756e-05
  0.00086391338       1.0457372   0.00023482739               0   2.3530282e-12   2.9609919e-07   0.00011267461
   0.0009374511       1.1337937   0.00027622444               0   4.6806699e-12   5.2181394e-07   0.00017591552
   0.0010155171       1.2270417   0.00032376714               0   9.2929874e-12   9.1786603e-07    0.0002741527
   0.0010983902       1.3257458   0.00037825705               0   1.8410201e-11   1.6109893e-06   0.00042631894
   0.0011863663       1.4301732   0.00044058673               0   3.6380101e-11   2.8201532e-06   0.00066118849
   0.0012797599       1.5405889   0.00051174581               0   7.1675406e-11    4.921294e-06    0.0010221147
   0.0013789043       1.6572519   0.00059282622               0   1.4070968e-10   8.5546593e-06    0.0015736868
   0.0014841538       1.7804079   0.00068502593               0   2.7505367e-10   1.4799503e-05    0.0024107307
   0.0015958843       1.9102814    0.0007896492               0   5.3492229e-10   2.5451271e-05    0.0036697817
   0.0017144948       2.0470649   0.00090810257               0   1.0340577e-09   4.3446155e-05    0.0055423288
    0.001840409       2.1909048    0.0010418848               0   1.9850423e-09   7.3478587e-05     0.008287299
   0.0019740768       2.3418839    0.0011925673               0   3.7808267e-09   0.00012282816     0.012236869
   0.0021159754        2.499998    0.0013617629               0   7.1395156e-09   0.00020230802     0.017784984
   0.0022666117       2.6651268    0.0015510792               0   1.3353361e-08   0.00032697941     0.025346602
   0.0024265239        2.836995    0.0017620541               0   2.4665855e-08   0.00051571954     0.035295401
    0.002596283        3.015125    0.0019960692               0   4.4605042e-08   0.00078788833     0.047936056
   0.0027764954        3.198783    0.0022542451               0   7.7666837e-08    0.0011550585     0.063456417
   0.0029678048       3.3869349    0.0025373305               0   1.2779226e-07    0.0016079321     0.081449734
   0.0031708945       3.5782316    0.0028455976               0   1.9529056e-07    0.0021029229      0.10004731
     0.00338649       3.7710478    0.0031787332               0   2.7230421e-07    0.0025579094      0.11567355
   0.0036153613       3.9635707    0.0035356778               0   3.4049503e-07    0.0028693606      0.12408809
   0.0038583258        4.153867    0.0039143095               0   3.7823602e-07    0.0029563334      0.12242053
   0.0041162514       4.3398344    0.0043108939               0   3.7528676e-07    0.0028061401      0.11091004
   0.0043900594       4.5190685    0.0047195122               0   3.3991851e-07    0.0024807022     0.092837559
   0.0046807278       4.6888105    0.0051318974               0   2.9125099e-07    0.0020800697     0.072752623
   0.0049892948       4.8460992    0.0055378698               0   2.4671654e-07    0.0016947886     0.054400177
   0.0053168625       4.9880891     0.005926172               0   2.1608156e-07    0.0013784142     0.039682889
   0.0056646009        5.112419    0.0062854506               0   2.0307917e-07    0.0011478469     0.028881988
   0.0060337521       5.2175373    0.0066053375               0   2.0965871e-07   0.00099742777     0.021387139
   0.0064256347       5.3029327    0.0068776165               0   2.3938732e-07   0.00091242285     0.016327607
   0.0068416484       5.3692347    0.0070973194               0   2.9973661e-07    0.0008767968     0.012917562
    0.007283279       5.4181563    0.0072634877               0    4.027241e-07   0.00087597724      0.01057833
   0.0077521041       5.4522669    0.0073793141               0   5.6094607e-07   0.00089698628    0.0089426106
   0.0082497982       5.4746241    0.0074513776               0    7.750821e-07   0.00092837462    0.0078072681
    0.008778139       5.4883356    0.0074886572               0   1.0187519e-06    0.0009608282    0.0070634332
   0.0093390136       5.4961657    0.0075002356               0   1.2428952e-06   0.00098811612    0.0066283387
   0.0099344254       5.5002936    0.0074937691               0   1.4066026e-06    0.0010075164    0.0064114068
    0.010566501       5.5022624    0.0074757473               0   1.5019536e-06    0.0010192846    0.0063225021
    0.011237498       5.5030685    0.0074503937               0   1.5470962e-06    0.0010253658    0.0062936976
    0.011949813       5.5033018    0.0074202584               0   1.5648306e-06    0.0010280213    0.0062868044
    0.012705991       5.5032759     0.007386878               0   1.5706709e-06    0.0010289815    0.0062857226
    0.013508733       5.5031364     0.007350741               0   1.5722708e-06    0.0010292496    0.0062855007
    0.014360904       5.5029441    0.0073121811               0   1.5726199e-06     0.001029285    0.0062851714
    0.015265551       5.5027222    0.0072712231               0    1.572668e-06    0.0010292555     0.006284706
    0.016225903       5.5024752    0.0072276931               0   1.5726596e-06    0.0010292092     0.006284159
    0.017245391       5.5022007    0.0071814678               0   1.5726435e-06    0.0010291562    0.0062835466
    0.018327656       5.5018951    0.0071323775               0   1.5726263e-06    0.0010290973    0.0062828649
    0.019476565       5.5015546    0.0070802357               0   1.5726084e-06    0.0010290318    0.0062821051
     0.02069622       5.5011758    0.0070248529               0   1.5725894e-06    0.0010289591     0.006281259
    0.021990978       5.5007555    0.0069660269               0    1.572569e-06    0.0010288785    0.0062803186
    0.023365464       5.5002908    0.0069035427               0   1.5725469e-06    0.0010287892    0.0062792771
    0.024824587        5.499779    0.0068371761               0   1.5725228e-06    0.0010286907    0.0062781277
    0.026373559       5.4992177    0.0067666841               0   1.5724967e-06    0.0010285826    0.0062768647
    0.028017912       5.4986047    0.0066918173               0   1.5724684e-06    0.0010284643    0.0062754829
     0.02976352       5.4979385    0.0066123009               0   1.5724377e-06    0.0010283355    0.0062739784
    0.031616619       5.4972178    0.0065278579               0   1.5724045e-06     0.001028196    0.0062723484
    0.033583826       5.4964422    0.0064381768               0   1.5723689e-06    0.0010280457    0.0062705916
    0.035672168       5.4956119    0.0063429511               0   1.5723308e-06    0.0010278845    0.0062687084
    0.037889106       5.4947276    0.0062418271               0   1.5722901e-06    0.0010277126    0.0062667008
    0.040242556       5.4937914    0.0061344661               0    1.572247e-06    0.0010275304    0.0062645733
    0.042740925       5.4928059     0.006020466               0   1.5722016e-06    0.0010273385    0.0062623322
    0.045393137       5.4917747    0.0058994512               0    1.572154e-06    0.0010271375    0.0062599857
    0.048208665       5.4907019    0.0057709629               0   1.5721044e-06    0.0010269283    0.0062575439
    0.051197566       5.4895926    0.0056345855               0   1.5720533e-06     0.001026712    0.0062550191
    0.054370516       5.4884527    0.0054897955               0   1.5720008e-06    0.0010264897    0.0062524248
    0.057738847       5.4872886    0.0053361312               0   1.5719472e-06    0.0010262628    0.0062497764
    0.061314592       5.4861071    0.0051729956               0   1.5718929e-06    0.0010260325    0.0062470901
     0.06511052       5.4849158    0.0049998731               0   1.5718383e-06    0.0010258005    0.0062443832
    0.069140193       5.4837221    0.0048160846               0   1.5717838e-06    0.0010255682    0.0062416738
    0.073418001       5.4825341     0.004621051               0   1.5717298e-06    0.0010253372      0.00623898
    0.077959226       5.4813596    0.0044140028               0   1.5716766e-06    0.0010251092    0.0062363202
    0.082780087       5.4802068    0.0041942853               0   1.5716246e-06    0.0010248856     0.006233713
    0.087897803       5.4790837    0.0039610314               0   1.5715742e-06    0.0010246681    0.0062311767
    0.093330656       5.4779985     0.003713497               0   1.5715256e-06    0.0010244583    0.0062287298
