#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   0.0027764954      -2.0018622   -0.0064573456               0       1049.3753       2.0018942               0               0               0               0       3.5404756    0.0032382526               0   7.4117092e-08    0.0011095783     0.060598848
   0.0029678048      -2.0297112   -0.0070939445               0       994.48145       2.0297573               0               0               0               0       3.7361751    0.0036253373               0   1.1013927e-07    0.0014284278     0.071961676
   0.0031708945      -2.0360607   -0.0077282065               0       932.68935       2.0361048               0               0               0               0       3.9320132    0.0040397901               0   1.5045591e-07    0.0017208508      0.08120242
     0.00338649      -2.0172757   -0.0083391258               0       864.35708       2.0172988               0               0               0               0       4.1258015    0.0044784541               0   1.8759674e-07    0.0019312873     0.086144738
   0.0036153613      -1.9697437   -0.0089005914               0       790.07349       1.9697339               0               0               0               0       4.3151091    0.0049365377               0   2.1357562e-07    0.0020194054      0.08538008
   0.0038583258      -1.8900981   -0.0093824418               0       710.58646       1.8900736               0               0               0               0        4.497289    0.0054073146               0   2.2428778e-07    0.0019788363     0.079075346
   0.0041162514      -1.7760279   -0.0097532123               0       626.89477       1.7760234               0               0               0               0       4.6695159    0.0058819069               0   2.2200357e-07      0.00183933     0.068885754
   0.0043900594      -1.6275012   -0.0099842686               0       540.47396       1.6275267               0               0               0               0       4.8288932    0.0063493666               0   2.1360063e-07    0.0016506918      0.05714884
   0.0046807278      -1.4477908    -0.010054797               0       453.44507       1.4478268               0               0               0               0       4.9726684    0.0067972237               0   2.0698975e-07    0.0014610036     0.045904696
   0.0049892948      -1.2438679   -0.0099568065               0       368.52354       1.2439016               0               0               0               0       5.0985343    0.0072125072               0   2.0900522e-07    0.0013029011     0.036347456
   0.0053168625      -1.0260718   -0.0096989235               0       288.72948       1.0260993               0               0               0               0       5.2049476    0.0075831208               0   2.2570557e-07    0.0011914562     0.028844135
   0.0056646009      -0.8070295   -0.0093076453               0       216.95442      0.80703758               0               0               0               0        5.291386    0.0078993536               0   2.6407787e-07    0.0011285116     0.023225019
   0.0060337521     -0.59994932    -0.008826163               0       155.50931      0.59993258               0               0               0               0       5.3584756     0.008155263               0   3.3396267e-07    0.0011080267     0.019098291
   0.0064256347     -0.41662162   -0.0083097166               0       105.75227      0.41660945               0               0               0               0       5.4079489    0.0083496102               0   4.4860232e-07    0.0011200575     0.016068068
   0.0068416484     -0.26542793   -0.0078155609               0        67.87775      0.26541772               0               0               0               0       5.4424182    0.0084860644               0   6.1985779e-07     0.001152974     0.013844647
    0.007283279     -0.14985795    -0.007386079               0       40.934314      0.14984059               0               0               0               0       5.4649953    0.0085723484               0   8.4494619e-07    0.0011950639     0.012259465
   0.0077521041    -0.068223402   -0.0070477001               0       23.095716     0.068226713               0               0               0               0       5.4788376    0.0086186633               0   1.0933291e-06    0.0012363211     0.011211822
   0.0082497982    -0.014939102   -0.0068037133               0       12.123919     0.014915255               0               0               0               0       5.4867453    0.0086355324               0   1.3153316e-06     0.001270077     0.010601034
    0.008778139     0.017228485   -0.0066354529               0       5.8577073    -0.017239241               0               0               0               0       5.4909196    0.0086321188               0   1.4737296e-06     0.001293665     0.010299544
   0.0093390136     0.035157924   -0.0065259816               0       2.5417332    -0.035158308               0               0               0               0       5.4929185    0.0086156126               0   1.5645142e-06    0.0013078006     0.010177769
   0.0099344254     0.044311301   -0.0064580047               0      0.92698362    -0.044345609               0               0               0               0       5.4937479    0.0085907917               0   1.6071043e-06    0.0013150399     0.010139152
    0.010566501     0.048532845   -0.0064127889               0      0.21070734    -0.048487131               0               0               0               0       5.4940025    0.0085608121               0   1.6237655e-06    0.0013181799     0.010130286
    0.011237498     0.050288222   -0.0063780015               0    -0.078393617    -0.050266707               0               0               0               0       5.4939987    0.0085274166               0   1.6292416e-06    0.0013193097     0.010129056
    0.011949813     0.050965874   -0.0063488757               0     -0.18639029     -0.05101635               0               0               0               0       5.4938842    0.0084911444               0    1.630738e-06    0.0013196248     0.010128835
    0.012705991     0.051198324   -0.0063204418               0     -0.22406973    -0.051192827               0               0               0               0       5.4937211    0.0084524132               0   1.6310617e-06    0.0013196683     0.010128409
    0.013508733      0.05126186   -0.0062911247               0     -0.23777422    -0.051247614               0               0               0               0       5.4935333    0.0084112665               0   1.6311043e-06    0.0013196373      0.01012779
    0.014360904     0.051285625   -0.0062609557               0     -0.24637589    -0.051290867               0               0               0               0       5.4933266    0.0083675225               0   1.6310948e-06    0.0013195882     0.010127069
    0.015265551      0.05130556   -0.0062282567               0      -0.2558383    -0.051305541               0               0               0               0       5.4930994     0.008321078               0   1.6310785e-06    0.0013195326     0.010126271
    0.016225903     0.051330809    -0.006193801               0     -0.26722616    -0.051331896               0               0               0               0       5.4928482    0.0082717518               0   1.6310618e-06    0.0013194715     0.010125389
    0.017245391     0.051363488   -0.0061570633               0     -0.28017804    -0.051363689               0               0               0               0       5.4925688     0.008219357               0   1.6310447e-06    0.0013194039      0.01012441
    0.018327656     0.051400285   -0.0061179647               0     -0.29400061    -0.051398761               0               0               0               0       5.4922575    0.0081636999               0   1.6310269e-06    0.0013193289     0.010123319
    0.019476565     0.051437786   -0.0060763788               0     -0.30808255    -0.051436821               0               0               0               0       5.4919108     0.008104573               0    1.631008e-06    0.0013192453     0.010122101
     0.02069622     0.051475768   -0.0060321285               0     -0.32201364    -0.051475669               0               0               0               0       5.4915256    0.0080417574               0   1.6309878e-06    0.0013191525     0.010120744
    0.021990978     0.051513751   -0.0059850476               0      -0.3354797    -0.051515016               0               0               0               0       5.4910989    0.0079750237               0   1.6309661e-06    0.0013190495     0.010119237
    0.023365464     0.051551734   -0.0059349512               0     -0.34821957    -0.051554089               0               0               0               0       5.4906278    0.0079041256               0   1.6309425e-06    0.0013189357      0.01011757
    0.024824587     0.051589716   -0.0058816471               0     -0.36002072    -0.051592849               0               0               0               0       5.4901097    0.0078288064               0   1.6309171e-06    0.0013188103     0.010115732
    0.026373559      0.05162841   -0.0058249245               0     -0.37067557    -0.051630665               0               0               0               0       5.4895423    0.0077487877               0   1.6308896e-06    0.0013186727     0.010113715
    0.028017912     0.051667102   -0.0057645612               0     -0.37997229    -0.051667601               0               0               0               0       5.4889235    0.0076637829               0   1.6308598e-06    0.0013185225      0.01011151
     0.02976352     0.051703054   -0.0057003211               0     -0.38770344    -0.051702965               0               0               0               0       5.4882518    0.0075734769               0   1.6308278e-06    0.0013183591     0.010109113
    0.031616619     0.051737441   -0.0056319493               0     -0.39367435    -0.051737003               0               0               0               0        5.487526    0.0074775504               0   1.6307933e-06    0.0013181823     0.010106518
    0.033583826     0.051769953   -0.0055591779               0     -0.39773276    -0.051769004               0               0               0               0       5.4867456    0.0073756461               0   1.6307564e-06    0.0013179919     0.010103723
    0.035672168     0.051799341   -0.0054817165               0     -0.39975529    -0.051799328               0               0               0               0       5.4859109    0.0072674092               0    1.630717e-06    0.0013177881     0.010100731
    0.037889105     0.051827164   -0.0053992582               0      -0.3995974      -0.0518273               0               0               0               0       5.4850228    0.0071524336               0   1.6306753e-06     0.001317571     0.010097544
    0.040242556     0.051853667   -0.0053114697               0     -0.39717516    -0.051853359               0               0               0               0       5.4840833    0.0070303257               0   1.6306312e-06    0.0013173411      0.01009417
    0.042740925     0.051877754   -0.0052180051               0     -0.39251954     -0.05187741               0               0               0               0       5.4830949    0.0069006234               0   1.6305849e-06    0.0013170991     0.010090617
    0.045393137      0.05189941   -0.0051184842               0     -0.38567998     -0.05190001               0               0               0               0       5.4820611    0.0067628881               0   1.6305365e-06    0.0013168459     0.010086901
    0.048208665     0.051920199   -0.0050125132               0      -0.3767225    -0.051920938               0               0               0               0       5.4809862    0.0066165923               0   1.6304864e-06    0.0013165826     0.010083036
    0.051197566      0.05194012   -0.0048996519               0     -0.36576902     -0.05194068               0               0               0               0       5.4798751    0.0064612485               0   1.6304347e-06    0.0013163104     0.010079041
    0.054370516     0.051958879    -0.004779449               0      -0.3529749    -0.051959409               0               0               0               0       5.4787336    0.0062962544               0   1.6303817e-06    0.0013160309     0.010074938
    0.057738847     0.051977807   -0.0046514047               0     -0.33853137    -0.051977502               0               0               0               0       5.4775682     0.006121066               0   1.6303277e-06    0.0013157455     0.010070752
    0.061314592     0.051996873   -0.0045149984               0     -0.32265744    -0.051995442               0               0               0               0       5.4763855    0.0059349954               0   1.6302731e-06    0.0013154562     0.010066507
     0.06511052     0.052014765    -0.004369659               0     -0.30557944    -0.052013325               0               0               0               0        5.475193    0.0057374333               0   1.6302182e-06    0.0013151648     0.010062231
    0.069140193     0.052031109   -0.0042147926               0     -0.28754032    -0.052031867               0               0               0               0       5.4739982    0.0055275955               0   1.6301633e-06    0.0013148731     0.010057952
    0.073418001     0.052049635   -0.0040497482               0     -0.26878279    -0.052050833               0               0               0               0        5.472809     0.005304797               0    1.630109e-06    0.0013145831     0.010053699
    0.077959226     0.052070424   -0.0038738406               0     -0.24953287    -0.052071153               0               0               0               0       5.4716333    0.0050681466               0   1.6300554e-06    0.0013142969       0.0100495
    0.082780087     0.052091924   -0.0036863372               0      -0.2299881    -0.052092146               0               0               0               0        5.470479    0.0048168706               0   1.6300031e-06    0.0013140163     0.010045385
    0.087897803      0.05211514   -0.0034864532               0     -0.21032779    -0.052114843               0               0               0               0       5.4693542    0.0045499613               0   1.6299522e-06    0.0013137433     0.010041383
    0.093330656     0.052139211   -0.0032733657               0     -0.19069569     -0.05213816               0               0               0               0       5.4682672    0.0042665419               0   1.6299033e-06    0.0013134801     0.010037522
