#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
  0.00021277004      0.14117456      0.12190263               0    -0.048218428     -0.14143138               0               0               0               0        5.403757     0.007360491               0   2.3618899e-06     0.015581015       1.1587717
   0.0002749715      0.14145539      0.12191981               0     -0.04833371     -0.14155591               0               0               0               0       5.4037658    0.0073680752               0   2.3615811e-06     0.015567688       1.1568696
  0.00033782165      0.14171822      0.12179324               0     -0.04845056     -0.14168134               0               0               0               0       5.4037747    0.0073757349               0   2.3612695e-06     0.015554244       1.1549524
  0.00040132727      0.14182209      0.12153743               0    -0.048569173     -0.14180782               0               0               0               0       5.4037837     0.007383462               0   2.3609548e-06     0.015540683         1.15302
  0.00046549519      0.14200409      0.12116661               0    -0.048688077     -0.14193542               0               0               0               0       5.4037928    0.0073912493               0   2.3606372e-06     0.015527004       1.1510722
  0.00053033231      0.14219817      0.12069696               0    -0.048805902     -0.14206427               0               0               0               0        5.403802    0.0073990903               0   2.3603166e-06     0.015513206       1.1491091
  0.00059584562      0.14225066      0.12014638               0    -0.048925534     -0.14219444               0               0               0               0       5.4038114    0.0074069793               0    2.359993e-06     0.015499287       1.1471305
  0.00066204216      0.14232148      0.11953353               0    -0.049048377     -0.14232602               0               0               0               0       5.4038208    0.0074149118               0   2.3596663e-06     0.015485248       1.1451364
  0.00072892907      0.14249717      0.11887767               0    -0.049172255     -0.14245909               0               0               0               0       5.4038303    0.0074228842               0   2.3593365e-06     0.015471087       1.1431268
  0.00079651354      0.14265561      0.11819689               0    -0.049297378      -0.1425937               0               0               0               0       5.4038399    0.0074308942               0   2.3590036e-06     0.015456803       1.1411014
  0.00086480285      0.14270444      0.11750749               0    -0.049425433     -0.14272989               0               0               0               0       5.4038497    0.0074389408               0   2.3586676e-06     0.015442396       1.1390603
  0.00093380434      0.14276206      0.11682421               0    -0.049553488      -0.1428677               0               0               0               0       5.4038595    0.0074470237               0   2.3583284e-06     0.015427866       1.1370035
   0.0010035254      0.14298163      0.11615978               0    -0.049681546     -0.14300715               0               0               0               0       5.4038695    0.0074551437               0    2.357986e-06      0.01541321       1.1349308
   0.0010739737       0.1431585      0.11552373               0    -0.049811485     -0.14314826               0               0               0               0       5.4038796    0.0074633024               0   2.3576404e-06     0.015398429       1.1328421
   0.0011451566      0.14328683      0.11492279               0    -0.049944503     -0.14329103               0               0               0               0       5.4038898    0.0074715021               0   2.3572916e-06     0.015383521       1.1307374
   0.0012170819      0.14345035      0.11436203               0    -0.050079532     -0.14343547               0               0               0               0       5.4039001    0.0074797455               0   2.3569396e-06     0.015368486       1.1286166
   0.0012897573      0.14351121      0.11384394               0    -0.050214097     -0.14358156               0               0               0               0       5.4039105    0.0074880356               0   2.3565842e-06     0.015353323       1.1264797
   0.0013631906      0.14367003      0.11336868               0    -0.050351585      -0.1437293               0               0               0               0        5.403921    0.0074963758               0   2.3562255e-06     0.015338031       1.1243266
   0.0014373898      0.14392242      0.11293475               0    -0.050490911     -0.14387867               0               0               0               0       5.4039317    0.0075047692               0   2.3558635e-06     0.015322608       1.1221572
   0.0015123628      0.14409567      0.11253914               0    -0.050630237     -0.14402964               0               0               0               0       5.4039425    0.0075132192               0   2.3554981e-06     0.015307056       1.1199715
   0.0015881177      0.14424998       0.1121774               0    -0.050772288     -0.14418222               0               0               0               0       5.4039534    0.0075217288               0   2.3551293e-06     0.015291372       1.1177694
   0.0016646626       0.1443621      0.11184419               0    -0.050915044     -0.14433638               0               0               0               0       5.4039645    0.0075303006               0    2.354757e-06     0.015275556       1.1155508
   0.0017420058      0.14453432      0.11153392               0    -0.051059343     -0.14449209               0               0               0               0       5.4039756     0.007538937               0   2.3543813e-06     0.015259607       1.1133157
   0.0018201557      0.14471461      0.11124094               0    -0.051205567     -0.14464935               0               0               0               0       5.4039869      0.00754764               0   2.3540022e-06     0.015243524        1.111064
   0.0018991205      0.14477286      0.11095944               0    -0.051353458     -0.14480815               0               0               0               0       5.4039984    0.0075564113               0   2.3536195e-06     0.015227306       1.1087957
   0.0019789089      0.14486717      0.11068381               0    -0.051504268     -0.14496847               0               0               0               0       5.4040099    0.0075652519               0   2.3532332e-06     0.015210953       1.1065107
   0.0020595294      0.14504491      0.11040911               0    -0.051655159     -0.14513032               0               0               0               0       5.4040216    0.0075741626               0   2.3528435e-06     0.015194463       1.1042089
   0.0021409906      0.14522712      0.11013067               0    -0.051807519     -0.14529368               0               0               0               0       5.4040334    0.0075831438               0   2.3524501e-06     0.015177837       1.1018903
   0.0022233015      0.14544244      0.10984472               0    -0.051962213     -0.14545855               0               0               0               0       5.4040454    0.0075921955               0    2.352053e-06     0.015161072       1.0995548
   0.0023064707      0.14563892      0.10954816               0    -0.052119199     -0.14562494               0               0               0               0       5.4040575    0.0076013174               0   2.3516524e-06     0.015144169       1.0972024
   0.0023905073       0.1458148      0.10923825               0    -0.052278358     -0.14579286               0               0               0               0       5.4040697    0.0076105091               0    2.351248e-06     0.015127126       1.0948331
   0.0024754204      0.14604465       0.1089134               0    -0.052439357     -0.14596231               0               0               0               0       5.4040821    0.0076197696               0   2.3508399e-06     0.015109943       1.0924467
   0.0025612189      0.14618409      0.10857284               0    -0.052602401      -0.1461333               0               0               0               0       5.4040947    0.0076290982               0   2.3504281e-06     0.015092619       1.0900432
   0.0026479123      0.14628076      0.10821625               0    -0.052766896     -0.14630584               0               0               0               0       5.4041073    0.0076384939               0   2.3500125e-06     0.015075153       1.0876226
   0.0027355098      0.14642417      0.10784407               0    -0.052932537     -0.14647995               0               0               0               0       5.4041202    0.0076479556               0   2.3495931e-06     0.015057544       1.0851849
   0.0028240209      0.14666822      0.10745724               0    -0.053100477     -0.14665564               0               0               0               0       5.4041331    0.0076574824               0   2.3491699e-06     0.015039791       1.0827299
    0.002913455      0.14690103      0.10705742               0      -0.0532704     -0.14683293               0               0               0               0       5.4041462    0.0076670733               0   2.3487428e-06     0.015021895       1.0802576
   0.0030038219      0.14689961       0.1066468               0    -0.053439827     -0.14701184               0               0               0               0       5.4041595    0.0076767275               0   2.3483118e-06     0.015003852       1.0777681
   0.0030951311      0.14712886      0.10622748               0    -0.053613609     -0.14719237               0               0               0               0       5.4041729    0.0076864445               0   2.3478769e-06     0.014985665       1.0752612
   0.0031873927      0.14752628      0.10580213               0    -0.053791976     -0.14737453               0               0               0               0       5.4041865    0.0076962238               0    2.347438e-06      0.01496733        1.072737
   0.0032806164      0.14760648        0.105374               0    -0.053969168     -0.14755835               0               0               0               0       5.4042003    0.0077060652               0   2.3469952e-06     0.014948848       1.0701952
   0.0033748124      0.14766518      0.10494616               0    -0.054146706     -0.14774382               0               0               0               0       5.4042142    0.0077159689               0   2.3465483e-06     0.014930218       1.0676361
   0.0034699907       0.1478849      0.10452148               0    -0.054326796     -0.14793096               0               0               0               0       5.4042283    0.0077259352               0   2.3460974e-06     0.014911439       1.0650594
   0.0035661616      0.14806641      0.10410315               0     -0.05450946     -0.14811977               0               0               0               0       5.4042425    0.0077359648               0   2.3456424e-06      0.01489251       1.0624652
