#             y             U_x             U_y             U_z               k             nut           omega
   3.113662e-05      0.14307071   5.1951226e-07               0   2.4362773e-05    3.354707e-11       4021240.6
  5.3394177e-05      0.24436757   1.3887576e-06               0   0.00011674604   3.3522966e-10       863158.94
  7.7022295e-05      0.35187595   2.8175269e-06               0   0.00038356468   1.9918274e-09       332203.96
  0.00010210537      0.46595123   4.9000162e-06               0   0.00099006677   8.4683805e-09        167490.4
  0.00012873299      0.58691749    7.742859e-06               0     0.002172169   2.8505474e-08       98111.067
  0.00015700027      0.71499237    1.146917e-05               0    0.0042436869   8.0655937e-08       63302.692
  0.00018700818      0.85014973    1.621388e-05               0    0.0075891659   1.9894723e-07       43799.441
  0.00021886389      0.99191687   2.2116889e-05               0     0.012623133    4.374817e-07       32015.941
  0.00025268119        1.139156   2.9311616e-05               0     0.019698289   8.6998345e-07       24485.153
  0.00028858087        1.289955   3.7910096e-05               0     0.028971344   1.5807484e-06         19440.2
  0.00032669115       1.4417721   4.7991342e-05               0     0.040285004   2.6482214e-06       15907.587
  0.00036714817       1.5918589   5.9601612e-05               0     0.053151035   4.1288731e-06       13324.033
  0.00041009642       1.7377865   7.2768165e-05               0     0.066868211   6.0501546e-06       11355.797
  0.00045568931       1.8778205   8.7515756e-05               0     0.080711953   8.4146328e-06       9803.1596
  0.00050408968       2.0110539   0.00010388655               0     0.094092349    1.119369e-05       8544.8017
  0.00055547043       2.1373663   0.00012196109               0      0.10662738   1.4319475e-05       7503.8669
  0.00061001506       2.2571491   0.00014185971               0      0.11813181   1.7765058e-05       6628.5394
   0.0006679184       2.3708617    0.0001637141               0       0.1285436   2.1594054e-05       5882.7174
  0.00072938728       2.4788391   0.00018764832               0      0.13785597   2.5868022e-05       5241.1251
  0.00079464125       2.5813941    0.0002137994               0      0.14609984   3.0608013e-05       4685.5189
  0.00086391338        2.678886    0.0002423309               0      0.15333845   3.5825101e-05        4202.053
   0.0009374511       2.7717065   0.00027342874               0      0.15965339   4.1526294e-05       3779.7859
   0.0010155171       2.8602567    0.0003073027               0      0.16513319    4.771665e-05       3409.8121
   0.0010983902       2.9449312   0.00034418887               0      0.16986552   5.4398922e-05       3084.7401
   0.0011863663        3.026108   0.00038435261               0      0.17393262   6.1573049e-05        2798.358
   0.0012797599        3.104143   0.00042809197               0      0.17740897   6.9236332e-05        2545.406
   0.0013789043       3.1793674   0.00047574183               0      0.18036035   7.7383162e-05       2321.4109
   0.0014841538       3.2520872   0.00052767867               0      0.18284373   8.6004093e-05       2122.5587
   0.0015958843       3.3225853   0.00058432337               0       0.1849077   9.5083465e-05       1945.5894
   0.0017144948       3.3911248   0.00064613094               0      0.18659304   0.00010459423       1787.7052
    0.001840409       3.4579561   0.00071355914               0      0.18793309   0.00011448761       1646.4866
   0.0019740768       3.5233169   0.00078707022               0       0.1889542   0.00012472761       1519.8337
   0.0021159754       3.5874173   0.00086716097               0      0.18967632   0.00013532498       1405.9452
   0.0022666117       3.6504326   0.00095439206               0      0.19011387   0.00014628891       1303.2976
   0.0024265239       3.7125149    0.0010494279               0      0.19027717   0.00015759463       1210.5972
    0.002596283        3.773807    0.0011530806               0       0.1901734   0.00016918693       1126.7304
   0.0027764954       3.8344552    0.0012663569               0      0.18980635   0.00018094923       1050.7198
   0.0029678048       3.8946174    0.0013904723               0      0.18917581   0.00019274578       981.68912
   0.0031708945       3.9544514    0.0015267986               0      0.18827736   0.00020449784       918.85543
     0.00338649       4.0141014    0.0016767571               0      0.18710221   0.00021614817        861.5299
   0.0036153613       4.0736979     0.001841801               0      0.18563752    0.0002276187       809.10705
   0.0038583258        4.133362     0.002023492               0      0.18386681   0.00023881331       761.04965
   0.0041162514       4.1932084    0.0022235551               0      0.18176995   0.00024962073       716.87587
   0.0043900594       4.2533467    0.0024439091               0      0.17932307   0.00025991688       676.14857
   0.0046807278       4.3138814    0.0026866849               0      0.17649839   0.00026956643       638.46573
   0.0049892948       4.3749113    0.0029542355               0      0.17326392   0.00027842225        603.4517
   0.0053168625       4.4365288    0.0032491433               0      0.16958314   0.00028632262       570.74855
   0.0056646009       4.4988199    0.0035742244               0      0.16541456   0.00029308699        540.0069
   0.0060337521       4.5618627    0.0039325348               0      0.16071098   0.00029851122       510.87554
   0.0064256347       4.6257275    0.0043273731               0       0.1554186   0.00030236645       482.98966
   0.0068416484       4.6904733    0.0047622622               0      0.14947586   0.00030441136       455.95762
    0.007283279       4.7561376    0.0052408578               0      0.14281309   0.00030443739       429.34878
   0.0077521041       4.8227079    0.0057666583               0       0.1353552   0.00030238345       402.68977
   0.0082497982       4.8900523    0.0063422207               0      0.12703717   0.00029858224       375.53058
    0.008778139        4.957773    0.0069672823               0       0.1178795   0.00029420408       347.94125
   0.0093390136       5.0249916    0.0076355482               0      0.10809672   0.00029154264       320.78018
   0.0099344254       5.0902453    0.0083315787               0     0.098074654   0.00029333507       294.71258
    0.010566501        5.151779     0.009030847               0     0.088232775   0.00030088335       269.56995
    0.011237498       5.2083392    0.0097117925               0     0.078900098   0.00031070969       244.90069
    0.011949813       5.2597392     0.010366547               0     0.070245991   0.00031671844       220.21539
    0.012705991       5.3061896     0.010992445               0     0.062373072    0.0003200707       195.03253
    0.013508733       5.3473091     0.011577152               0     0.055461066   0.00032842121       169.37046
    0.014360904       5.3823203     0.012096489               0     0.049724205   0.00034739301       144.02382
    0.015265551       5.4108196     0.012529579               0     0.045269419   0.00038032045       120.22305
