#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
   0.0031708945       -2.860719    -0.030727484               0       387.70895        2.860773               0               0               0               0       4.5027565    0.0056787182               0      0.16946683    0.0001355679       1157.9253
     0.00338649      -2.9652578    -0.034191425               0       367.12656       2.9652515               0               0               0               0        4.584016    0.0063081712               0      0.16233866   0.00013712102       1083.4056
   0.0036153613      -3.0612903    -0.037883171               0       347.14879       3.0613122               0               0               0               0       4.6656692    0.0069996207               0       0.1542246   0.00013773892       1010.0615
   0.0038583258      -3.1406033    -0.041706353               0       327.07759       3.1409223               0               0               0               0        4.747534    0.0077555382               0      0.14507128    0.0001374923       936.53888
   0.0041162514      -3.1881614     -0.04544104               0        305.7893       3.1886407               0               0               0               0       4.8291835    0.0085755457               0      0.13489599   0.00013674067       862.37248
   0.0043900594      -3.1790352    -0.048707768               0         281.798       3.1788294               0               0               0               0       4.9097445     0.009452922               0      0.12391329   0.00013633959       789.34414
   0.0046807278      -3.0845767    -0.051053083               0        253.9928       3.0822894               0               0               0               0       4.9877439     0.010370112               0      0.11254747   0.00013752216       719.52112
   0.0049892948      -2.8932352    -0.052082014               0       222.83093       2.8920309               0               0               0               0       5.0612877      0.01129747               0      0.10128093   0.00014129234       652.60545
   0.0053168625      -2.6395128    -0.052038914               0       190.90266       2.6432467               0               0               0               0       5.1287117      0.01220475               0      0.09054122   0.00014734478       587.26621
   0.0056646009      -2.3810919    -0.051370709               0       161.22652       2.3826973               0               0               0               0         5.18939     0.013076102               0     0.080614622   0.00015283815       522.50469
   0.0060337521      -2.1222371    -0.049972719               0       134.43534       2.1191209               0               0               0               0       5.2435173     0.013906204               0       0.0716644   0.00015695223       457.49049
   0.0064256347      -1.8282297    -0.047355802               0       109.25876       1.8272837               0               0               0               0        5.290936     0.014681181               0     0.063886263   0.00016351407       392.44689
   0.0068416484       -1.500233    -0.043460919               0       85.411915       1.5010629               0               0               0               0       5.3309934     0.015372623               0     0.057499441   0.00017598324       329.36673
    0.007283279      -1.1712633    -0.038900763               0        64.05139       1.1715492               0               0               0               0       5.3633962     0.015956995               0     0.052594093    0.0001963823       271.08611
   0.0077521041     -0.87169734    -0.034247468               0       46.268524      0.87164493               0               0               0               0       5.3885802     0.016427494               0      0.04906661    0.0002270484       219.66896
   0.0082497982     -0.61838018    -0.029903782               0        32.37667      0.61799799               0               0               0               0       5.4074923     0.016788451               0     0.046671137   0.00027247645       175.12048
    0.008778139     -0.41852461    -0.026198626               0       22.147563      0.41860099               0               0               0               0       5.4212976     0.017051993               0     0.045126971   0.00033831997       137.03479
   0.0093390136     -0.27389126    -0.023372654               0       15.087435      0.27422924               0               0               0               0        5.431237     0.017236731               0     0.044190888   0.00042359956       106.91547
   0.0099344254     -0.17624568    -0.021406015               0       10.470057      0.17630203               0               0               0               0       5.4384771      0.01736346               0     0.043657869   0.00052060024       85.430964
    0.010566501     -0.11075618    -0.020068765               0       7.4841012       0.1107154               0               0               0               0       5.4439085     0.017449174               0     0.043366853   0.00062394185       70.487047
    0.011237498    -0.065170284    -0.019109907               0       5.4956934     0.065180757               0               0               0               0       5.4481046     0.017504849               0     0.043215183   0.00073176975       59.697327
    0.011949813     -0.03214266    -0.018383244               0       4.1190572     0.032155796               0               0               0               0       5.4514207     0.017537134               0     0.043144036   0.00084262581       51.635145
    0.012705991   -0.0073895288    -0.017815921               0       3.1336455     0.007395605               0               0               0               0       5.4540861     0.017550314               0     0.043118346   0.00095505092       45.447715
    0.013508733     0.011708425    -0.017357841               0       2.4082976    -0.011703742               0               0               0               0       5.4562539     0.017547217               0     0.043116328    0.0010675586        40.59933
    0.014360904     0.026811259     -0.01697649               0       1.8615218    -0.026807103               0               0               0               0       5.4580305     0.017529717               0     0.043124016    0.0011786239       36.739347
    0.015265551     0.039018788    -0.016649973               0       1.4407606     -0.03901431               0               0               0               0        5.459491      0.01749905               0     0.043132235    0.0012866923       33.630046
    0.016225903     0.049077078    -0.016361948               0       1.1110455    -0.049071874               0               0               0               0         5.46069     0.017455996               0     0.043134828    0.0013902083       31.105245
