#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
  2.9991242e-05      0.13157625     0.097021121               0    -0.043814815     -0.13148721               0               0               0               0       5.4034839    0.0072037275               0     0.046706131    0.0019957601       23.402677
  9.0286504e-05      0.13169875     0.095850496               0    -0.043916741     -0.13158739               0               0               0               0        5.403492    0.0072095959               0     0.046705024    0.0019957531       23.402206
  0.00015121058      0.13167786     0.094783213               0     -0.04401887      -0.1316871               0               0               0               0          5.4035    0.0072154008               0     0.046703917    0.0019957461       23.401733
  0.00021277004       0.1317717     0.093770047               0    -0.044124372     -0.13178736               0               0               0               0       5.4035081    0.0072212024               0     0.046702798     0.001995739       23.401256
   0.0002749715      0.13198023     0.092804997               0    -0.044231044      -0.1318882               0               0               0               0       5.4035163     0.007227003               0     0.046701667    0.0019957318       23.400774
  0.00033782165      0.13210353     0.091886125               0    -0.044338385     -0.13198962               0               0               0               0       5.4035246     0.007232805               0     0.046700525    0.0019957245       23.400287
  0.00040132727       0.1321108     0.091012039               0    -0.044446023     -0.13209166               0               0               0               0        5.403533    0.0072386106               0     0.046699371    0.0019957172       23.399794
  0.00046549519      0.13210385     0.090182324               0    -0.044553498     -0.13219434               0               0               0               0       5.4035415    0.0072444221               0     0.046698205    0.0019957098       23.399297
  0.00053033231      0.13214943     0.089395886               0    -0.044662723     -0.13229769               0               0               0               0         5.40355    0.0072502419               0     0.046697026    0.0019957023       23.398794
  0.00059584562      0.13234051      0.08865107               0    -0.044775323     -0.13240173               0               0               0               0       5.4035587    0.0072560722               0     0.046695836    0.0019956947       23.398286
  0.00066204216      0.13247883      0.08794655               0    -0.044888971     -0.13250649               0               0               0               0       5.4035674    0.0072619154               0     0.046694633    0.0019956871       23.397773
  0.00072892907      0.13262465      0.08728109               0    -0.045001581     -0.13261198               0               0               0               0       5.4035763    0.0072677737               0     0.046693418    0.0019956793       23.397255
  0.00079651354      0.13288497      0.08665386               0    -0.045116233     -0.13271823               0               0               0               0       5.4035853    0.0072736495               0      0.04669219    0.0019956715       23.396731
  0.00086480285      0.13294502     0.086063979               0    -0.045231258     -0.13282527               0               0               0               0       5.4035944    0.0072795451               0     0.046690949    0.0019956636       23.396202
  0.00093380434      0.13289685     0.085509966               0    -0.045349636     -0.13293312               0               0               0               0       5.4036035    0.0072854627               0     0.046689696    0.0019956557       23.395667
   0.0010035254       0.1328986     0.084990418               0    -0.045470424     -0.13304179               0               0               0               0       5.4036128    0.0072914047               0     0.046688429    0.0019956476       23.395127
   0.0010739737      0.13302453     0.084504147               0    -0.045591167     -0.13315132               0               0               0               0       5.4036222    0.0072973732               0     0.046687149    0.0019956395       23.394581
   0.0011451566      0.13333677     0.084050251               0    -0.045712636     -0.13326173               0               0               0               0       5.4036316    0.0073033705               0     0.046685856    0.0019956313        23.39403
   0.0012170819      0.13349413      0.08362782               0    -0.045834679     -0.13337304               0               0               0               0       5.4036412    0.0073093989               0      0.04668455     0.001995623       23.393472
   0.0012897573       0.1334339     0.083235414               0    -0.045959801     -0.13348528               0               0               0               0       5.4036509    0.0073154606               0      0.04668323    0.0019956146       23.392909
   0.0013631906      0.13355207     0.082871953               0    -0.046087055     -0.13359845               0               0               0               0       5.4036607    0.0073215578               0     0.046681896    0.0019956061        23.39234
   0.0014373898      0.13384963     0.082536436               0     -0.04621511     -0.13371259               0               0               0               0       5.4036706    0.0073276926               0     0.046680549    0.0019955975       23.391765
   0.0015123628      0.13396354     0.082227762               0    -0.046343165     -0.13382772               0               0               0               0       5.4036807    0.0073338674               0     0.046679188    0.0019955889       23.391185
   0.0015881177      0.13389413     0.081945124               0    -0.046472181     -0.13394386               0               0               0               0       5.4036908    0.0073400841               0     0.046677812    0.0019955801       23.390598
   0.0016646626      0.13392442     0.081687268               0    -0.046604458     -0.13406103               0               0               0               0       5.4037011    0.0073463451               0     0.046676422    0.0019955713       23.390005
   0.0017420058       0.1340213     0.081452803               0    -0.046739611     -0.13417924               0               0               0               0       5.4037114    0.0073526523               0     0.046675018    0.0019955623       23.389406
   0.0018201557      0.13422685     0.081240969               0    -0.046875721     -0.13429852               0               0               0               0       5.4037219    0.0073590079               0     0.046673599    0.0019955533       23.388801
   0.0018991205      0.13449625     0.081051132               0    -0.047012125      -0.1344189               0               0               0               0       5.4037325     0.007365414               0     0.046672166    0.0019955442       23.388189
   0.0019789089      0.13456723     0.080882072               0    -0.047149613     -0.13454039               0               0               0               0       5.4037433    0.0073718726               0     0.046670717     0.001995535       23.387572
   0.0020595294      0.13461872     0.080732519               0    -0.047289901     -0.13466301               0               0               0               0       5.4037541    0.0073783857               0     0.046669254    0.0019955257       23.386947
   0.0021409906      0.13483102      0.08060186               0    -0.047431281     -0.13478677               0               0               0               0       5.4037651    0.0073849553               0     0.046667776    0.0019955163       23.386317
   0.0022233015       0.1350049     0.080489421               0    -0.047574704      -0.1349117               0               0               0               0       5.4037762    0.0073915835               0     0.046666282    0.0019955068       23.385679
   0.0023064707      0.13501007     0.080394187               0    -0.047719457     -0.13503782               0               0               0               0       5.4037874    0.0073982722               0     0.046664772    0.0019954972       23.385036
   0.0023905073      0.13514534     0.080315234               0    -0.047865137     -0.13516514               0               0               0               0       5.4037988    0.0074050234               0     0.046663247    0.0019954875       23.384385
   0.0024754204      0.13534117     0.080251631               0    -0.048014438     -0.13529368               0               0               0               0       5.4038103     0.007411839               0     0.046661706    0.0019954777       23.383728
   0.0025612189      0.13537254     0.080202621               0     -0.04816474     -0.13542346               0               0               0               0       5.4038219    0.0074187208               0      0.04666015    0.0019954678       23.383064
   0.0026479123      0.13552887     0.080167352               0    -0.048316432      -0.1355545               0               0               0               0       5.4038336    0.0074256708               0     0.046658577    0.0019954578       23.382393
   0.0027355098      0.13583362     0.080145056               0    -0.048470711     -0.13568681               0               0               0               0       5.4038455    0.0074326907               0     0.046656988    0.0019954477       23.381715
   0.0028240209      0.13597932     0.080135237               0    -0.048624109     -0.13582041               0               0               0               0       5.4038575    0.0074397825               0     0.046655382    0.0019954374        23.38103
    0.002913455      0.13596636     0.080136918               0    -0.048779774     -0.13595531               0               0               0               0       5.4038697    0.0074469478               0      0.04665376    0.0019954271       23.380338
   0.0030038219      0.13596674     0.080149266               0    -0.048938857     -0.13609154               0               0               0               0        5.403882    0.0074541886               0      0.04665212    0.0019954167       23.379638
   0.0030951311      0.13611389     0.080171775               0    -0.049100553      -0.1362291               0               0               0               0       5.4038944    0.0074615065               0     0.046650464    0.0019954062       23.378932
   0.0031873927        0.136373     0.080203716               0    -0.049265376     -0.13636801               0               0               0               0       5.4039069    0.0074689033               0     0.046648791    0.0019953955       23.378218
   0.0032806164      0.13654057     0.080244396               0    -0.049428671     -0.13650829               0               0               0               0       5.4039197    0.0074763805               0     0.046647101    0.0019953848       23.377497
   0.0033748124       0.1367146     0.080293048               0    -0.049593611     -0.13664995               0               0               0               0       5.4039325      0.00748394               0     0.046645393    0.0019953739       23.376768
   0.0034699907      0.13683426     0.080349191               0    -0.049762588     -0.13679301               0               0               0               0       5.4039456    0.0074915834               0     0.046643667    0.0019953629       23.376032
   0.0035661616      0.13680557     0.080412364               0    -0.049932511     -0.13693747               0               0               0               0       5.4039587    0.0074993122               0     0.046641924    0.0019953518       23.375288
   0.0036633356      0.13697052     0.080481726               0    -0.050104781     -0.13708336               0               0               0               0        5.403972    0.0075071281               0     0.046640162    0.0019953406       23.374537
   0.0037615229      0.13732994     0.080556682               0    -0.050279775     -0.13723067               0               0               0               0       5.4039855    0.0075150326               0     0.046638382    0.0019953293       23.373777
   0.0038607342       0.1375257     0.080636822               0    -0.050455636     -0.13737943               0               0               0               0       5.4039991    0.0075230272               0     0.046636584    0.0019953178        23.37301
   0.0039609802      0.13755768     0.080721646               0    -0.050634416     -0.13752965               0               0               0               0       5.4040129    0.0075311135               0     0.046634767    0.0019953063       23.372235
   0.0040622717      0.13759224      0.08081063               0    -0.050815996     -0.13768133               0               0               0               0       5.4040268    0.0075392929               0     0.046632932    0.0019952946       23.371452
   0.0041646195      0.13773208     0.080903245               0    -0.050998953     -0.13783449               0               0               0               0       5.4040409     0.007547567               0     0.046631077    0.0019952828       23.370661
   0.0042680347      0.13797547     0.080998841               0    -0.051184706     -0.13798915               0               0               0               0       5.4040552    0.0075559371               0     0.046629203    0.0019952709       23.369862
   0.0043725284      0.13821752     0.081097008               0    -0.051370756      -0.1381453               0               0               0               0       5.4040696    0.0075644046               0      0.04662731    0.0019952588       23.369054
   0.0044781119       0.1384227     0.081197482               0    -0.051559647     -0.13830296               0               0               0               0       5.4040842    0.0075729709               0     0.046625397    0.0019952467       23.368237
   0.0045847965       0.1384932     0.081299742               0    -0.051750669     -0.13846214               0               0               0               0        5.404099    0.0075816374               0     0.046623464    0.0019952344       23.367413
   0.0046925938      0.13854488     0.081403311               0    -0.051942776     -0.13862285               0               0               0               0       5.4041139    0.0075904054               0     0.046621512    0.0019952219        23.36658
