#             y             U_x             U_y             U_z               k             nut           omega
    0.031616619       5.5136602     0.010675138               0      0.03242354   0.00087695225       37.559521
    0.033583826       5.5217736     0.010691829               0     0.031576121    0.0010326238       30.971214
    0.035672168       5.5276815     0.010661405               0     0.031082413    0.0011871544       26.389378
    0.037889106       5.5320895     0.010594546               0     0.030810219    0.0013254793       23.354441
    0.040242556       5.5354403     0.010497921               0     0.030671983      0.00144496       21.286787
    0.042740925       5.5379998     0.010375285               0     0.030615987     0.001545528       19.842462
    0.045393137       5.5399352     0.010228579               0     0.030610097    0.0016280437       18.819974
    0.048208665        5.541357     0.010058782               0     0.030633275    0.0016940007       18.093283
    0.051197566       5.5423426    0.0098662666               0     0.030671264    0.0017452916       17.578962
    0.054370516       5.5429496    0.0096510329               0     0.030714138    0.0017839808       17.219305
    0.057738847       5.5432244    0.0094128791               0     0.030755213    0.0018121842       16.972652
    0.061314592       5.5432074    0.0091513792               0     0.030790417     0.001831992       16.807668
     0.06511052        5.542936    0.0088660538               0     0.030817757      0.00184535       16.700481
    0.069140193       5.5424468    0.0085564446               0     0.030836918    0.0018539981       16.632762
    0.073418001        5.541777    0.0082220074               0     0.030848849    0.0018594292       16.590532
    0.077959226        5.540964    0.0078621867               0     0.030855324    0.0018628725       16.563317
    0.082780087       5.5400447    0.0074763891               0     0.030858493    0.0018653036       16.543421
    0.087897803       5.5390545    0.0070639321               0      0.03086049    0.0018674764       16.525245
    0.093330656       5.5380264    0.0066240133               0     0.030863131    0.0018699573       16.504742
