#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   0.0033748124               0            0.05      -28.668566    -0.003601715               0       18856.076       4.9835128               0               0               0               0               0               0               0               0   1.9334463e-06      0.56079087
   0.0034699907               0            0.05      -27.483776   -0.0033614987               0       18593.593       4.7801565               0               0               0               0               0               0               0               0   1.8489936e-06      0.53629561
   0.0035661616               0            0.05      -26.367412   -0.0031382851               0       18339.232       4.5884066               0               0               0               0               0               0               0               0   1.7692033e-06      0.51315264
   0.0036633356               0            0.05      -25.314582   -0.0029334597               0       18092.561       4.4076073               0               0               0               0               0               0               0               0   1.6937521e-06      0.49126823
   0.0037615229               0            0.05       -24.32025   -0.0027473569               0       17853.182       4.2367039               0               0               0               0               0               0               0               0   1.6223431e-06      0.47055623
   0.0038607342               0            0.05      -23.380004   -0.0025760665               0       17620.726       4.0749299               0               0               0               0               0               0               0               0    1.554702e-06      0.45093712
   0.0039609802               0            0.05      -22.489877   -0.0024177495               0       17394.851       3.9216478               0               0               0               0               0               0               0               0   1.4905759e-06      0.43233752
   0.0040622717               0            0.05      -21.646283   -0.0022709515               0        17175.24        3.776273               0               0               0               0               0               0               0               0    1.429732e-06      0.41468991
   0.0041646195               0            0.05      -20.846144   -0.0021348136               0       16961.598       3.6383084               0               0               0               0               0               0               0               0   1.3719571e-06      0.39793245
   0.0042680347               0            0.05       -20.08653   -0.0020089473               0       16753.645       3.5072427               0               0               0               0               0               0               0               0   1.3170563e-06      0.38200862
   0.0043725284               0            0.05      -19.364658   -0.0018921117               0       16551.123       3.3825927               0               0               0               0               0               0               0               0   1.2648515e-06      0.36686677
   0.0044781119               0            0.05       -18.67807   -0.0017828195               0        16353.79       3.2639721               0               0               0               0               0               0               0               0   1.2151793e-06      0.35245948
   0.0045847965               0            0.05      -18.024717   -0.0016810951               0       16161.418       3.1510621               0               0               0               0               0               0               0               0   1.1678886e-06      0.33874293
   0.0046925938               0            0.05       -17.40243   -0.0015867304               0       15973.791       3.0434501               0               0               0               0               0               0               0               0   1.1228386e-06      0.32567631
   0.0048015152               0            0.05      -16.809155    -0.001498647               0       15790.709       2.9408173               0               0               0               0               0               0               0               0   1.0798979e-06      0.31322145
   0.0049115726               0            0.05      -16.243269    -0.001416585               0       15611.981         2.84287               0               0               0               0               0               0               0               0   1.0389431e-06      0.30134262
   0.0050227778               0            0.05      -15.703067   -0.0013401854               0        15437.43       2.7493033               0               0               0               0               0               0               0               0   9.9985944e-07      0.29000652
   0.0051351427               0            0.05      -15.186896   -0.0012689127               0       15266.888       2.6598506               0               0               0               0               0               0               0               0   9.6254049e-07      0.27918226
   0.0052486795               0            0.05      -14.693378   -0.0012022873               0       15100.197       2.5742609               0               0               0               0               0               0               0               0   9.2688771e-07      0.26884127
   0.0053634003               0            0.05      -14.221181   -0.0011397238               0       14937.208       2.4923156               0               0               0               0               0               0               0               0   8.9281002e-07      0.25895713
   0.0054793176               0            0.05      -13.769138   -0.0010804527               0       14777.781       2.4138303               0               0               0               0               0               0               0               0   8.6022305e-07      0.24950536
   0.0055964437               0            0.05      -13.336295   -0.0010245598               0       14621.782       2.3386817               0               0               0               0               0               0               0               0   8.2904817e-07      0.24046317
   0.0057147914               0            0.05      -12.921639  -0.00097244949               0       14469.082       2.2666635               0               0               0               0               0               0               0               0   7.9921168e-07      0.23180918
   0.0058343733               0            0.05      -12.524066  -0.00092376744               0       14319.561       2.1975802               0               0               0               0               0               0               0               0   7.7064415e-07      0.22352324
   0.0059552024               0            0.05      -12.142587  -0.00087808825               0       14173.104       2.1312622               0               0               0               0               0               0               0               0   7.4327999e-07      0.21558634
   0.0060772915               0            0.05      -11.776369  -0.00083512601               0       14029.603       2.0675638               0               0               0               0               0               0               0               0   7.1705734e-07      0.20798053
    0.006200654               0            0.05      -11.424643  -0.00079460573               0       13888.957       2.0063469               0               0               0               0               0               0               0               0   6.9191804e-07      0.20068895
   0.0063253029               0            0.05      -11.086666  -0.00075630996               0       13751.066       1.9474969               0               0               0               0               0               0               0               0   6.6780762e-07      0.19369578
   0.0064512519               0            0.05      -10.761717  -0.00072012505               0       13615.839       1.8909001               0               0               0               0               0               0               0               0   6.4467514e-07      0.18698627
   0.0065785143               0            0.05      -10.449213   -0.0006860072               0       13483.187       1.8364509               0               0               0               0               0               0               0               0   6.2247306e-07      0.18054662
    0.006707104               0            0.05      -10.148514  -0.00065377354               0       13353.025       1.7840347               0               0               0               0               0               0               0               0   6.0115686e-07      0.17436391
   0.0068370347               0            0.05      -9.8590343  -0.00062324591               0       13225.273       1.7335658               0               0               0               0               0               0               0               0   5.8068474e-07      0.16842603
   0.0069683205               0            0.05      -9.5803225  -0.00059446352               0       13099.853       1.6849508               0               0               0               0               0               0               0               0   5.6101721e-07      0.16272151
   0.0071009754               0            0.05      -9.3117522  -0.00056731292               0       12976.692        1.638091               0               0               0               0               0               0               0               0   5.4211684e-07      0.15723951
   0.0072350138               0            0.05      -9.0528635  -0.00054157481               0        12855.72       1.5929041               0               0               0               0               0               0               0               0   5.2394803e-07       0.1519697
   0.0073704501               0            0.05      -8.8032861  -0.00051712316               0       12736.869       1.5493205               0               0               0               0               0               0               0               0     5.06477e-07      0.14690227
   0.0075072989               0            0.05      -8.5625131  -0.00049394525               0       12620.076       1.5072732               0               0               0               0               0               0               0               0    4.896717e-07      0.14202794
