#          distance                 U_x                 U_y                 U_z                   p   wallShearStress_x   wallShearStress_y   wallShearStress_z
    0.0122917149841       1.56347613736    0.00023969830845   1.63716274116e-08    0.00117979184379                   0                   0                   0
    0.0197619112058       1.53925262727   0.000358623020459  -2.82953568272e-07    0.00118557432004                   0                   0                   0
    0.0266619137534       1.50805751175   0.000430225743569  -3.60542162698e-07     0.0011606673657                   0                   0                   0
    0.0330352450211        1.4726242888    0.00047107965648  -4.37312359587e-07    0.00113535331413                   0                   0                   0
    0.0389221053762       1.43454313445   0.000485486744341  -5.00283734988e-07     0.0011120311557                   0                   0                   0
    0.0443596267266       1.39469119638   0.000478364070215  -5.38413058108e-07     0.0010908668757                   0                   0                   0
    0.0493821067333       1.35351507131   0.000456995990706   -5.3147786217e-07    0.00107161989498                   0                   0                   0
    0.0540212251463       1.31118887339    0.00042784965377  -5.08501743705e-07    0.00105428118259                   0                   0                   0
    0.0583062436274       1.26770818023   0.000393676137241  -4.85997717574e-07    0.00103893126291                   0                   0                   0
    0.0622641903209       1.22294520231   0.000356464839268  -4.56844377989e-07     0.0010255353476                   0                   0                   0
     0.065920030336       1.17667733722    0.00031825341629  -4.22541172205e-07    0.00101399513355                   0                   0                   0
    0.0692968232165       1.12860408863   0.000280539869167  -3.86166534845e-07     0.0010041939567                   0                   0                   0
    0.0724158683909       1.07835781594   0.000244276606035  -3.50006252874e-07   0.000995998368039                   0                   0                   0
    0.0752968395208       1.02551038001   0.000210072730298  -3.14476289121e-07   0.000989256499965                   0                   0                   0
    0.0779579085939      0.969584635214   0.000178378021924  -2.79825951613e-07   0.000983809331497                   0                   0                   0
    0.0804158605457      0.910083117129   0.000149455705747  -2.46890658517e-07   0.000979500927448                   0                   0                   0
    0.0826861991319      0.846552789337   0.000123414328862  -2.15921533117e-07   0.000976180549638                   0                   0                   0
      0.08478324472      0.778711811625   0.000100269513822  -1.87024342971e-07   0.000973705326027                   0                   0                   0
    0.0867202246158      0.706654091455   7.99722449676e-05  -1.60214670476e-07   0.000971943362864                   0                   0                   0
    0.0885093564966      0.631087227553   6.24320877064e-05   -1.3541484422e-07   0.000970776236775                   0                   0                   0
    0.0901619254745      0.553445984008   4.75320885056e-05  -1.12556283398e-07   0.000970100371117                   0                   0                   0
    0.0916883552789      0.475683592252   3.51261970729e-05  -9.17094994481e-08   0.000969826878102                   0                   0                   0
    0.0930982740048      0.399753627407   2.50286011545e-05  -7.30464682712e-08   0.000969879915832                   0                   0                   0
    0.0944005748429      0.327106880323   1.70163075025e-05  -5.66659887664e-08   0.000970194400737                   0                   0                   0
    0.0956034721743      0.258517334239   1.08488762983e-05  -4.24998373015e-08   0.000970714130622                   0                   0                   0
    0.0967145533836      0.194223359226   6.29232328946e-06  -3.03263902342e-08   0.000971390858043                   0                   0                   0
    0.0977408267165      0.134163856479   3.14194901064e-06  -1.97604559403e-08   0.000972184098942                   0                   0                   0
    0.0986887654857     0.0781531779584    1.2032134088e-06  -1.09930435182e-08   0.000973060138433                   0                   0                   0
    0.0995643489011     0.0364434283155    2.7807554814e-07  -3.60584214406e-09    0.00109881476738  -0.000166677991834    -1.543010897e-09  -2.67152089572e-11
