#      distance             U_x             U_y             U_z               p             nut         nuTilda
  5.5511169e-17      0.99944835   3.5360551e-22               0    0.0045458267     1.46079e-06   1.9908574e-06
   0.0021021021      0.99943195   3.5360551e-22               0    0.0045620242   1.4607831e-06   1.9908522e-06
   0.0042042042      0.99941555   3.5360551e-22               0    0.0045782217   1.4607763e-06    1.990847e-06
   0.0063063063      0.99939915   3.5360551e-22               0    0.0045944192   1.4607694e-06   1.9908418e-06
   0.0084084084      0.99938275   3.5360551e-22               0    0.0046106167   1.4607625e-06   1.9908366e-06
    0.010510511      0.99936635   3.5360551e-22               0    0.0046268142   1.4607556e-06   1.9908314e-06
    0.012612613      0.99934995   3.5360551e-22               0    0.0046430117   1.4607488e-06   1.9908262e-06
    0.014714715      0.99933355   3.5360551e-22               0    0.0046592092   1.4607419e-06   1.9908209e-06
    0.016816817      0.99931715   3.5360551e-22               0    0.0046754067    1.460735e-06   1.9908157e-06
    0.018918919      0.99930075   3.5360551e-22               0    0.0046916043   1.4607281e-06   1.9908105e-06
    0.021021021      0.99928436   3.5360551e-22               0    0.0047078018   1.4607213e-06   1.9908053e-06
    0.023123123      0.99925781   5.7294158e-22               0    0.0047339707   1.4607061e-06   1.9907938e-06
    0.025225225      0.99923094   5.7294158e-22               0    0.0047604658   1.4606907e-06   1.9907821e-06
    0.027327327      0.99920407   5.7294158e-22               0    0.0047869608   1.4606752e-06   1.9907704e-06
    0.029429429       0.9991772   5.7294158e-22               0    0.0048134558   1.4606598e-06   1.9907587e-06
    0.031531532      0.99915033   5.7294158e-22               0    0.0048399509   1.4606443e-06    1.990747e-06
    0.033633634      0.99912345   5.7294158e-22               0    0.0048664459   1.4606289e-06   1.9907354e-06
    0.035735736      0.99909658   5.7294158e-22               0    0.0048929409   1.4606135e-06   1.9907237e-06
    0.037837838      0.99906971   5.7294158e-22               0     0.004919436    1.460598e-06    1.990712e-06
     0.03993994      0.99904284   5.7294158e-22               0     0.004945931   1.4605826e-06   1.9907003e-06
    0.042042042      0.99901596   5.7294158e-22               0     0.004972426   1.4605671e-06   1.9906886e-06
    0.044144144      0.99898909   5.7294158e-22               0    0.0049989211   1.4605517e-06   1.9906769e-06
    0.046246246      0.99896222   5.7294158e-22               0    0.0050254161   1.4605363e-06   1.9906652e-06
    0.048348348      0.99892245   9.9568312e-22               0    0.0050637073   1.4605077e-06   1.9906435e-06
     0.05045045      0.99887634   9.9568312e-22               0    0.0051077901   1.4604727e-06    1.990617e-06
    0.052552553      0.99883024   9.9568312e-22               0    0.0051518729   1.4604376e-06   1.9905905e-06
    0.054654655      0.99878413   9.9568312e-22               0    0.0051959557   1.4604026e-06   1.9905639e-06
    0.056756757      0.99873802   9.9568312e-22               0    0.0052400385   1.4603676e-06   1.9905374e-06
    0.058858859      0.99869192   9.9568312e-22               0    0.0052841214   1.4603326e-06   1.9905108e-06
    0.060960961      0.99864581   9.9568312e-22               0    0.0053282042   1.4602975e-06   1.9904843e-06
    0.063063063      0.99859971   9.9568312e-22               0     0.005372287   1.4602625e-06   1.9904577e-06
    0.065165165       0.9985536   9.9568312e-22               0    0.0054163698   1.4602275e-06   1.9904312e-06
    0.067267267      0.99848284   1.4969429e-21               0     0.005487577   1.4601513e-06   1.9903735e-06
    0.069369369      0.99840789   1.4969429e-21               0    0.0055633886   1.4600681e-06   1.9903104e-06
    0.071471471      0.99833294   1.4969429e-21               0    0.0056392003    1.459985e-06   1.9902474e-06
    0.073573574      0.99825799   1.4969429e-21               0     0.005715012   1.4599018e-06   1.9901843e-06
    0.075675676      0.99818304   1.4969429e-21               0    0.0057908236   1.4598187e-06   1.9901213e-06
    0.077777778      0.99810809   1.4969429e-21               0    0.0058666353   1.4597355e-06   1.9900583e-06
     0.07987988      0.99798618   3.4450418e-21               0     0.005975471    1.459575e-06   1.9899366e-06
    0.081981982      0.99782346   3.4450418e-21               0    0.0061130014   1.4593473e-06   1.9897641e-06
    0.084084084      0.99766075   3.4450418e-21               0    0.0062505318   1.4591196e-06   1.9895916e-06
