#      distance             U_x             U_y             U_z               p             nut         nuTilda
    0.001215373      0.63476607   4.5373246e-05  -5.6268211e-21   0.00019505694   1.3741199e-05   1.3745954e-05
   0.0020572852      0.68245351   5.8990423e-05   7.6626906e-22   0.00019614231   2.4753235e-05   2.4755911e-05
   0.0029273097      0.71703275   9.0620592e-05  -2.9168354e-21    0.0001971896   3.5218577e-05   3.5220558e-05
   0.0038263852      0.74479225   0.00012691724    1.142678e-20   0.00019820372   4.3900228e-05   4.3901676e-05
   0.0047554818      0.76824744   0.00016736939   1.9419105e-20   0.00019927161   5.1132752e-05   5.1133854e-05
   0.0057156019      0.78886381   0.00021222872   1.3910218e-20   0.00020039428   5.7211277e-05   5.7212161e-05
   0.0067077814      0.80752786   0.00026180291   6.8564278e-21   0.00020154483   6.2296606e-05   6.2297351e-05
   0.0077330908      0.82478377   0.00031628602   5.9426219e-21   0.00020270457   6.6468948e-05     6.64696e-05
   0.0087926364      0.84097557   0.00037576843   1.8660117e-20   0.00020386244   6.9768153e-05   6.9768744e-05
   0.0098875613      0.85632693   0.00044171529  -1.4211587e-19    0.0002050062    7.221358e-05   7.2214131e-05
    0.011019047      0.87098537   0.00051204131  -3.2645988e-19   0.00020612021   7.3813076e-05   7.3813603e-05
    0.012188314       0.8850471   0.00058527514  -1.6442039e-19   0.00020719094   7.4567276e-05   7.4567792e-05
    0.013396624      0.89857069    0.0006660755   1.3921301e-20    0.0002082055   7.4471698e-05   7.4472215e-05
    0.014645281      0.91158482   0.00075331406   6.4191473e-21   0.00020915017   7.3517996e-05   7.3518527e-05
    0.015935632      0.92409262   0.00084418163  -5.0136374e-21   0.00021001111   7.1695477e-05   7.1696035e-05
    0.017269069      0.93607336   0.00093933293  -3.0367736e-21   0.00021077051   6.8992359e-05   6.8992964e-05
    0.018647031      0.94748222    0.0010379852               0   0.00021140886   6.5396952e-05   6.5397626e-05
    0.020071004      0.95824871    0.0011389157   1.2527757e-21   0.00021190843   6.0899294e-05   6.0900074e-05
    0.021542526      0.96827387    0.0012404331   1.2527758e-21   0.00021225322   5.5493065e-05   5.5494011e-05
    0.023063183      0.97742628    0.0013402265  -2.4356894e-21   0.00021243077   4.9177757e-05   4.9178974e-05
    0.024634616      0.98553749    0.0014352551    7.861091e-21   0.00021243246   4.1960561e-05   4.1962269e-05
    0.026258521      0.99239945    0.0015215801   2.0492704e-20   0.00021223949   3.3854792e-05   3.3857542e-05
     0.02793665      0.99776788    0.0015914588   1.0082333e-20   0.00021180132   2.4856628e-05   2.4862571e-05
    0.029670814       1.0013761    0.0016435741  -1.1359013e-22   0.00021102029   1.5147507e-05   1.5177807e-05
    0.031462883       1.0031544    0.0016682253   2.4719327e-22   0.00020988544   6.7687303e-06   6.9246961e-06
    0.033314791       1.0036574    0.0016725079  -1.1459132e-20   0.00020856076     2.47054e-06   2.8528949e-06
    0.035228536       1.0037135    0.0016729712  -1.1706326e-20   0.00020718498    1.498225e-06   2.0195515e-06
    0.037206184       1.0037141    0.0016701456  -2.6637849e-21   0.00020577086   1.4294244e-06   1.9671157e-06
    0.039249867       1.0037123    0.0016681532  -4.2061081e-20   0.00020430114   1.4325646e-06   1.9694978e-06
     0.04136179       1.0037109    0.0016658897  -7.9334444e-20   0.00020277124   1.4385437e-06   1.9740207e-06
    0.043544233       1.0037088    0.0016635606  -3.9937148e-20    0.0002011811   1.4439192e-06   1.9780871e-06
     0.04579955       1.0037056    0.0016612185               0   0.00019952901   1.4487325e-06   1.9817294e-06
    0.048130175       1.0037027    0.0016589287   -3.548121e-20   0.00019781441   1.4531183e-06   1.9850501e-06
    0.050538621          1.0037    0.0016566937  -6.5642283e-20   0.00019604579    1.457205e-06   1.9881448e-06
    0.053027488       1.0037009    0.0016543531  -3.0161071e-20   0.00019423206   1.4610635e-06   1.9911114e-06
    0.055599461       1.0036937    0.0016521419  -6.0707075e-20   0.00019236836   1.4646086e-06   1.9938201e-06
    0.058257315       1.0036842    0.0016494306  -1.7528677e-19   0.00019043694   1.4678176e-06   1.9961844e-06
    0.061003917       1.0036889    0.0016461248  -1.3575907e-19   0.00018843196   1.4707261e-06   1.9982982e-06
    0.063842231        1.003694    0.0016422805   2.6133029e-20   0.00018636472   1.4732897e-06   2.0002014e-06
     0.06677532       1.0036974    0.0016378138   1.1308592e-19   0.00018424365   1.4756466e-06   2.0020475e-06
    0.069806347       1.0037023    0.0016330067   1.0096518e-19   0.00018207833   1.4779857e-06   2.0038868e-06
    0.072938584        1.003707    0.0016278321   5.8117635e-20    0.0001798819   1.4802852e-06    2.005643e-06
    0.076175409       1.0037122    0.0016222962   2.2925988e-20   0.00017766695   1.4826015e-06   2.0073966e-06
    0.079520315       1.0037195    0.0016163999               0   0.00017544955   1.4849296e-06   2.0091503e-06
    0.082976911       1.0037277    0.0016102458               0   0.00017324738   1.4873927e-06   2.0110147e-06
    0.086548926       1.0037298    0.0016039611  -5.5055141e-21   0.00017107269   1.4904009e-06   2.0133108e-06
    0.090240215       1.0037265    0.0015975649  -5.5055167e-21   0.00016893054    1.493929e-06   2.0160005e-06
     0.09405476       1.0037228    0.0015910148               0   0.00016682341   1.4974527e-06   2.0186798e-06
