# y+ ()         
# Time          	patch           	min             	max             	average         
93              	bottom	6.83581702e+01	1.16324769e+02	8.34174168e+01
94              	bottom	7.20756473e+01	1.16324878e+02	8.31851607e+01
95              	bottom	6.83583170e+01	1.16324769e+02	8.34234006e+01
96              	bottom	7.20480077e+01	1.16324878e+02	8.31749204e+01
97              	bottom	6.83584704e+01	1.16324769e+02	8.34356945e+01
98              	bottom	7.19558062e+01	1.16324879e+02	8.31651114e+01
99              	bottom	6.83586642e+01	1.16324769e+02	8.34414633e+01
100             	bottom	7.19011175e+01	1.16324879e+02	8.31620013e+01
101             	bottom	6.83588658e+01	1.16324768e+02	8.34432523e+01
102             	bottom	7.18991149e+01	1.16324879e+02	8.31610818e+01
103             	bottom	6.83590269e+01	1.16324768e+02	8.34441165e+01
104             	bottom	7.18964904e+01	1.16324879e+02	8.31605359e+01
105             	bottom	6.83591297e+01	1.16324768e+02	8.34447222e+01
106             	bottom	7.18948454e+01	1.16324879e+02	8.31600219e+01
107             	bottom	6.83591823e+01	1.16324769e+02	8.34452491e+01
108             	bottom	7.18932848e+01	1.16324879e+02	8.31595943e+01
109             	bottom	6.83591953e+01	1.16324768e+02	8.34456719e+01
110             	bottom	7.18916692e+01	1.16324879e+02	8.31590425e+01
111             	bottom	6.83591855e+01	1.16324768e+02	8.34462865e+01
112             	bottom	7.18898553e+01	1.16324879e+02	8.31585439e+01
113             	bottom	6.83591728e+01	1.16324768e+02	8.34469233e+01
114             	bottom	7.18876258e+01	1.16324879e+02	8.31579108e+01
115             	bottom	6.83591724e+01	1.16324768e+02	8.34477052e+01
116             	bottom	7.18846186e+01	1.16324880e+02	8.31570716e+01
117             	bottom	6.83591916e+01	1.16324768e+02	8.34487996e+01
118             	bottom	7.18801201e+01	1.16324880e+02	8.31558227e+01
119             	bottom	6.83592312e+01	1.16324768e+02	8.34505437e+01
120             	bottom	7.18725007e+01	1.16324880e+02	8.31536298e+01
121             	bottom	6.83592928e+01	1.16324768e+02	8.34538111e+01
122             	bottom	7.18575246e+01	1.16324880e+02	8.31488403e+01
123             	bottom	6.83593914e+01	1.16324768e+02	8.34609554e+01
124             	bottom	7.18234470e+01	1.16324880e+02	8.31370521e+01
125             	bottom	6.83595742e+01	1.16324767e+02	8.34736226e+01
126             	bottom	7.17090679e+01	1.16324880e+02	8.31287212e+01
127             	bottom	6.83598389e+01	1.16324767e+02	8.34774238e+01
128             	bottom	7.16892995e+01	1.16324880e+02	8.31269747e+01
129             	bottom	6.83600951e+01	1.16324767e+02	8.34786448e+01
130             	bottom	7.16858136e+01	1.16324880e+02	8.31264011e+01
131             	bottom	6.83602659e+01	1.16324767e+02	8.34791620e+01
132             	bottom	7.16842722e+01	1.16324880e+02	8.31260572e+01
133             	bottom	6.83603495e+01	1.16324767e+02	8.34794822e+01
134             	bottom	7.16832735e+01	1.16324880e+02	8.31257926e+01
135             	bottom	6.83603705e+01	1.16324767e+02	8.34797319e+01
136             	bottom	7.16824842e+01	1.16324881e+02	8.31255686e+01
137             	bottom	6.83603490e+01	1.16324767e+02	8.34799436e+01
138             	bottom	7.16818138e+01	1.16324881e+02	8.31253726e+01
139             	bottom	6.83603076e+01	1.16324767e+02	8.34801335e+01
140             	bottom	7.16812178e+01	1.16324881e+02	8.31251924e+01
141             	bottom	6.83602691e+01	1.16324767e+02	8.34803114e+01
142             	bottom	7.16806652e+01	1.16324880e+02	8.31250229e+01
143             	bottom	6.83602475e+01	1.16324767e+02	8.34804787e+01
144             	bottom	7.16801332e+01	1.16324880e+02	8.31248620e+01
145             	bottom	6.83602451e+01	1.16324767e+02	8.34806415e+01
146             	bottom	7.16796034e+01	1.16324880e+02	8.31247023e+01
147             	bottom	6.83602560e+01	1.16324766e+02	8.34808057e+01
148             	bottom	7.16790591e+01	1.16324880e+02	8.31245411e+01
149             	bottom	6.83602734e+01	1.16324766e+02	8.34809717e+01
150             	bottom	7.16784823e+01	1.16324880e+02	8.31243771e+01
151             	bottom	6.83602921e+01	1.16324766e+02	8.34811463e+01
152             	bottom	7.16778518e+01	1.16324880e+02	8.31242020e+01
153             	bottom	6.83603105e+01	1.16324766e+02	8.34813378e+01
154             	bottom	7.16771395e+01	1.16324880e+02	8.31240102e+01
155             	bottom	6.83603278e+01	1.16324766e+02	8.34815511e+01
156             	bottom	7.16763061e+01	1.16324880e+02	8.31237946e+01
157             	bottom	6.83603462e+01	1.16324766e+02	8.34818875e+01
158             	bottom	7.16752924e+01	1.16324880e+02	8.31235377e+01
159             	bottom	6.83603667e+01	1.16324766e+02	8.34822170e+01
160             	bottom	7.16740011e+01	1.16324880e+02	8.31232198e+01
161             	bottom	6.83603901e+01	1.16324766e+02	8.34826226e+01
162             	bottom	7.16722680e+01	1.16324880e+02	8.31227964e+01
163             	bottom	6.83604177e+01	1.16324766e+02	8.34831828e+01
164             	bottom	7.16697866e+01	1.16324880e+02	8.31221813e+01
165             	bottom	6.83604522e+01	1.16324766e+02	8.34840327e+01
166             	bottom	7.16659363e+01	1.16324880e+02	8.31212551e+01
167             	bottom	6.83604972e+01	1.16324766e+02	8.34854633e+01
168             	bottom	7.16592930e+01	1.16324880e+02	8.31194521e+01
169             	bottom	6.83605605e+01	1.16324766e+02	8.34882333e+01
170             	bottom	7.16461942e+01	1.16324880e+02	8.31154342e+01
171             	bottom	6.83606754e+01	1.16324766e+02	8.34944113e+01
172             	bottom	7.16162175e+01	1.16324881e+02	8.31046617e+01
173             	bottom	6.83609200e+01	1.16324765e+02	8.35070196e+01
174             	bottom	7.15272432e+01	1.16324881e+02	8.30951280e+01
175             	bottom	6.83613004e+01	1.16324765e+02	8.35121713e+01
176             	bottom	7.14760078e+01	1.16324881e+02	8.30924553e+01
177             	bottom	6.83616743e+01	1.16324765e+02	8.35136041e+01
178             	bottom	7.14730821e+01	1.16324881e+02	8.30919047e+01
179             	bottom	6.83619126e+01	1.16324765e+02	8.35140931e+01
180             	bottom	7.14713687e+01	1.16324881e+02	8.30916610e+01
181             	bottom	6.83620152e+01	1.16324765e+02	8.35143061e+01
182             	bottom	7.14706736e+01	1.16324881e+02	8.30915192e+01
183             	bottom	6.83620312e+01	1.16324765e+02	8.35144325e+01
184             	bottom	7.14702198e+01	1.16324881e+02	8.30914217e+01
185             	bottom	6.83619992e+01	1.16324765e+02	8.35145169e+01
186             	bottom	7.14699108e+01	1.16324881e+02	8.30913530e+01
187             	bottom	6.83619522e+01	1.16324765e+02	8.35145783e+01
188             	bottom	7.14696938e+01	1.16324881e+02	8.30913002e+01
189             	bottom	6.83619160e+01	1.16324765e+02	8.35146263e+01
