-0.046805 0.00072915
-0.040820 0.00177177
-0.035594 0.00299800
-0.031029 0.00396953
-0.027043 0.00475489
-0.023561 0.00542966
-0.020521 0.00602007
-0.017866 0.00652786
-0.015547 0.00695815
-0.013522 0.00732280
-0.011753 0.00763372
-0.010208 0.00789968
-0.008859 0.00812719
-0.007681 0.00832183
-0.006653 0.00848858
-0.005754 0.00863173
-0.004969 0.00875484
-0.004284 0.00886085
-0.003686 0.00895226
-0.003163 0.00903119
-0.002706 0.00909941
-0.002308 0.00915845
-0.001960 0.00920960
-0.001656 0.00925396
-0.001390 0.00929244
-0.001158 0.00932587
-0.000956 0.00935491
-0.000779 0.00938017
-0.000624 0.00940215
-0.000489 0.00942128
-0.000372 0.00943793
-0.000269 0.00945244
-0.000179 0.00946507
-0.000100 0.00947607
-0.000032 0.00948569
0.000030 0.00949441
0.000090 0.00950280
0.000151 0.00951123
0.000213 0.00951979
0.000275 0.00952843
0.000338 0.00953715
0.000401 0.00954594
0.000465 0.00955481
0.000530 0.00956375
0.000596 0.00957278
0.000662 0.00958189
0.000729 0.00959108
0.000797 0.00960035
0.000865 0.00960970
0.000934 0.00961913
0.001004 0.00962864
0.001074 0.00963824
0.001145 0.00964792
0.001217 0.00965768
0.001290 0.00966753
0.001363 0.00967746
0.001437 0.00968748
0.001512 0.00969758
0.001588 0.00970777
0.001665 0.00971804
0.001742 0.00972840
0.001820 0.00973885
0.001899 0.00974939
0.001979 0.00976001
0.002060 0.00977073
0.002141 0.00978153
0.002223 0.00979242
0.002306 0.00980340
0.002391 0.00981448
0.002475 0.00982564
0.002561 0.00983689
0.002648 0.00984824
0.002736 0.00985968
0.002824 0.00987121
0.002913 0.00988283
0.003004 0.00989455
0.003095 0.00990636
0.003187 0.00991827
0.003281 0.00993026
0.003375 0.00994236
0.003470 0.00995455
0.003566 0.00996683
0.003663 0.00997921
0.003762 0.00999168
0.003861 0.01000426
0.003961 0.01001692
0.004062 0.01002969
0.004165 0.01004255
0.004268 0.01005550
0.004373 0.01006856
0.004478 0.01008171
0.004585 0.01009495
0.004693 0.01010830
0.004802 0.01012174
0.004912 0.01013528
0.005023 0.01014892
0.005135 0.01016265
0.005249 0.01017648
0.005363 0.01019041
0.005479 0.01020444
0.005596 0.01021856
0.005715 0.01023278
0.005834 0.01024710
0.005955 0.01026151
0.006077 0.01027602
0.006201 0.01029063
0.006325 0.01030534
0.006451 0.01032014
0.006579 0.01033503
0.006707 0.01035002
0.006837 0.01036511
0.006968 0.01038029
0.007101 0.01039557
0.007235 0.01041094
0.007370 0.01042640
0.007507 0.01044195
0.007646 0.01045760
0.007785 0.01047334
0.007926 0.01048917
0.008069 0.01050509
0.008213 0.01052110
0.008359 0.01053720
0.008506 0.01055339
0.008655 0.01056966
0.008805 0.01058602
0.008957 0.01060247
0.009110 0.01061900
0.009265 0.01063562
0.009422 0.01065232
0.009580 0.01066910
0.009740 0.01068596
0.009901 0.01070290
0.010065 0.01071992
0.010230 0.01073702
0.010396 0.01075419
0.010565 0.01077143
0.010735 0.01078875
0.010907 0.01080614
0.011081 0.01082360
0.011256 0.01084113
0.011433 0.01085872
0.011613 0.01087637
0.011794 0.01089409
0.011977 0.01091186
0.012162 0.01092970
0.012348 0.01094759
0.012537 0.01096553
0.012728 0.01098352
0.012921 0.01100156
0.013115 0.01101964
0.013312 0.01103777
0.013511 0.01105594
0.013712 0.01107416
0.013915 0.01109241
0.014120 0.01111071
0.014327 0.01112902
0.014537 0.01114736
0.014748 0.01116572
0.014962 0.01118410
0.015178 0.01120248
0.015396 0.01122088
0.015617 0.01123932
0.015840 0.01125777
0.016065 0.01127621
0.016292 0.01129465
0.016522 0.01131306
0.016755 0.01133147
0.016989 0.01134985
0.017226 0.01136822
0.017466 0.01138657
0.017708 0.01140489
0.017953 0.01142319
0.018200 0.01144144
0.018450 0.01145966
0.018702 0.01147783
0.018957 0.01149596
0.019215 0.01151402
0.019475 0.01153203
0.019738 0.01154997
0.020004 0.01156784
0.020273 0.01158563
0.020544 0.01160333
0.020819 0.01162095
0.021096 0.01163846
0.021376 0.01165588
0.021659 0.01167318
0.021944 0.01169037
0.022233 0.01170744
0.022525 0.01172437
0.022820 0.01174117
0.023118 0.01175783
0.023419 0.01177434
0.023723 0.01179069
0.024031 0.01180687
0.024341 0.01182288
0.024655 0.01183871
0.024972 0.01185435
0.025293 0.01186980
0.025616 0.01188504
0.025944 0.01190007
0.026274 0.01191488
0.026608 0.01192946
0.026946 0.01194381
0.027287 0.01195790
0.027631 0.01197174
0.027979 0.01198532
0.028331 0.01199863
0.028686 0.01201165
0.029046 0.01202438
0.029409 0.01203682
0.029775 0.01204894
0.030146 0.01206074
0.030520 0.01207222
0.030898 0.01208335
0.031281 0.01209414
0.031667 0.01210456
0.032057 0.01211463
0.032451 0.01212431
0.032850 0.01213361
0.033252 0.01214250
0.033659 0.01215099
0.034070 0.01215906
0.034485 0.01216670
0.034905 0.01217390
0.035329 0.01218065
0.035757 0.01218694
0.036190 0.01219276
0.036628 0.01219811
0.037070 0.01220296
0.037516 0.01220731
0.037968 0.01221115
0.038424 0.01221447
0.038884 0.01221725
0.039350 0.01221949
0.039820 0.01222119
0.040295 0.01222232
0.040776 0.01222288
0.041261 0.01222286
0.041751 0.01222225
0.042246 0.01222103
0.042747 0.01221921
0.043253 0.01221676
0.043764 0.01221369
0.044280 0.01220998
0.044802 0.01220563
0.045329 0.01220062
0.045862 0.01219494
0.046400 0.01218860
0.046944 0.01218157
0.047494 0.01217386
0.048049 0.01216545
0.048610 0.01215634
0.049177 0.01214652
0.049750 0.01213598
0.050329 0.01212472
0.050914 0.01211274
0.051505 0.01210002
0.052102 0.01208656
0.052705 0.01207236
0.053315 0.01205740
0.053931 0.01204169
0.054553 0.01202522
0.055182 0.01200799
0.055817 0.01199000
0.056460 0.01197124
0.057108 0.01195171
0.057764 0.01193141
0.058426 0.01191034
0.059096 0.01188848
0.059772 0.01186586
0.060455 0.01184245
0.061146 0.01181828
0.061843 0.01179333
0.062548 0.01176760
0.063261 0.01174111
0.063980 0.01171385
0.064708 0.01168582
0.065442 0.01165702
0.066185 0.01162746
