#             y             U_x             U_y             U_z              kl              kt             nut           omega
   3.113662e-05     0.067388325   1.7247271e-06   1.8104486e-24      0.10061778   0.00016885947   2.3339267e-24       3237316.5
  5.3394177e-05      0.11511958    4.541021e-06  -1.9745695e-23      0.10105458    9.585834e-06   6.7479323e-24       222225.83
  7.7022295e-05      0.16577672   9.2006504e-06  -3.1912219e-24      0.10151885    1.941461e-06   1.7381699e-23       53821.418
  0.00010210537       0.2195378   1.6013018e-05     2.83088e-23      0.10201237   8.3214137e-07   6.4212517e-23       21804.836
  0.00012873299      0.27659131   2.5316816e-05   2.6773934e-24      0.10253712   6.8613948e-07   4.4778641e-22        11265.32
  0.00015700027      0.33713666   3.7525139e-05  -4.0514319e-23      0.10309523   9.2691158e-07   4.3668915e-21       6667.0184
  0.00018700818       0.4013846   5.3113438e-05  -7.0431811e-24      0.10368906   1.5598885e-06   4.2520778e-20       4298.4856
  0.00021886389      0.46955764    7.262172e-05   1.3803956e-23      0.10432122    2.755622e-06   3.6508961e-19       2938.8086
  0.00025268119      0.54189039   9.6663428e-05  -3.6672254e-24      0.10499465   4.8030566e-06   2.7043015e-18       2096.6095
  0.00028858087      0.61862979   0.00012593557   3.0898219e-24      0.10571264   8.1228056e-06   1.7449179e-17       1544.8028
  0.00032669115      0.70003522   0.00016122911  -6.4613586e-24      0.10647901   1.3303965e-05   9.9751867e-17        1167.333
  0.00036714817      0.78637837   0.00020343999  -6.8294208e-24      0.10729816   2.1157196e-05   5.1379943e-16       900.16958
  0.00041009642      0.87794288   0.00025358107  -2.5156717e-23      0.10817527   3.2785082e-05   2.4198118e-15       705.79311
  0.00045568931      0.97502362   0.00031279461  -3.0841103e-23      0.10911652   4.9673771e-05       1.055e-14       561.12412
  0.00050408968       1.0779255   0.00038236542   1.0359573e-22      0.11012935   7.3811779e-05   4.3018622e-14       451.38544
  0.00055547043       1.1869615   0.00046373402   9.7109308e-23      0.11122285   0.00010784369   1.6545266e-13       366.79271
  0.00061001506       1.3024504   0.00055850972  -1.1280635e-22      0.11240828   0.00015526896   6.0443731e-13          300.68
   0.0006679184       1.4247126   0.00066848248  -1.1123366e-22      0.11369965   0.00022069906   2.1096811e-12       248.39315
  0.00072938728       1.5540656   0.00079563229   -5.869396e-23      0.11511464   0.00031019062   7.0691829e-12       206.61275
  0.00079464125        1.690817   0.00094213542  -2.3017834e-23      0.11667575   0.00043167797   2.2832185e-11       172.92681
  0.00086391338       1.8352561    0.0011103638   1.0767585e-22      0.11841174   0.00059553647   7.1315284e-11       145.55375
   0.0009374511       1.9876422    0.0013028752    2.240013e-23       0.1203597   0.00081531998   2.1598905e-10       123.15839
   0.0010155171       2.1481897     0.001522388   5.2672281e-23      0.12256764    0.0011087321   6.3556508e-10       104.72719
