#             y             U_x             U_y             U_z              kl              kt             nut           omega
   3.113662e-05     0.056019885   5.6536204e-07   1.5433509e-23      0.10186148     0.000168868   1.9526375e-24       3237316.4
  5.3394177e-05     0.095695566   1.4903539e-06   5.1634175e-24      0.10318014   9.6072599e-06   5.7980009e-24       222225.71
  7.7022295e-05      0.13780361   3.0219083e-06  -4.9262187e-24      0.10458469   1.9810935e-06   1.6266172e-23       53821.318
  0.00010210537      0.18249231   5.2622539e-06  -3.1684807e-24      0.10608104   9.0604368e-07   7.4035905e-23       21804.714
  0.00012873299      0.22991885   8.3232936e-06  -2.1984668e-23      0.10767559   8.3695912e-07   6.4084276e-22       11265.169
  0.00015700027      0.28024974    1.234165e-05   -4.389646e-23      0.10937525   1.2376415e-06   7.0230141e-21       6666.8319
  0.00018700818      0.33366137   1.7474763e-05   -6.965565e-24      0.11118758   2.1772464e-06   7.1990645e-20       4298.2611
  0.00021886389      0.39034047   2.3901633e-05   3.8829788e-23       0.1131208   3.9211155e-06   6.3225728e-19       2938.5452
  0.00025268119      0.45048468   3.1825831e-05    4.519903e-23      0.11518397   6.8926795e-06   4.7324682e-18        2096.306
  0.00028858087      0.51430297    4.147894e-05   1.6867802e-23      0.11738707   1.1702615e-05   3.0696356e-17       1544.4576
  0.00032669115      0.58201623   5.3124161e-05  -1.8719942e-23      0.11974123   1.9205116e-05    1.760217e-16       1166.9441
  0.00036714817      0.65385764   6.7060214e-05  -2.0893945e-24      0.12225892   3.0576539e-05    9.087428e-16       899.73446
  0.00041009642      0.73007314   8.3625618e-05   1.7309903e-23      0.12495424   4.7419558e-05   4.2896388e-15       705.30907
  0.00045568931      0.81092177   0.00010320338  -2.3201835e-24      0.12784329    7.189979e-05   1.8752924e-14       560.58803
  0.00050408968      0.89667587   0.00012622598  -2.0119763e-23      0.13094466   0.00010692474   7.6733136e-14        450.7938
  0.00055547043      0.98762119   0.00015318078  -1.7073487e-23      0.13428004   0.00015637857    2.964675e-13       366.14161
  0.00061001506       1.0840568    0.0001846156    6.619319e-24      0.13787504    0.0002254309   1.0895334e-12       299.96506
   0.0006679184       1.1862946   0.00022114442   4.2321136e-23      0.14176024    0.0003209451   3.8323415e-12       247.60948
  0.00072938728       1.2946589   0.00026345282   5.8104682e-23      0.14597257   0.00045202104   1.2970039e-11       205.75484
