#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
  -0.0013901097      0.13548382      0.11772313   5.1945375e-19    -0.046080039     -0.13562921  -3.3767441e-20   9.3857009e-19   8.5342227e-19  -1.7737611e-35       5.4034743    0.0072189834   1.5585849e-22     0.097635273     0.041164832   0.00015982348       20.518675
   -0.001158218      0.13597115      0.11728835  -4.6363358e-19    -0.046513906     -0.13611974   7.7888197e-21   9.7849248e-19   8.5353274e-19  -2.6182116e-35        5.403506    0.0072464332   1.6711733e-22     0.097624912     0.041138803   0.00015977105        20.50457
   -0.000955701      0.13639466      0.11690738  -8.7433213e-20    -0.046894056     -0.13654599   2.5981856e-20  -1.1499314e-19   -1.360586e-19  -5.1466556e-36       5.4035337    0.0072703218  -1.8213719e-23      0.09761587     0.041116104   0.00015972532       20.492268
 -0.00077883757      0.13676292      0.11657373   3.5465293e-19    -0.047226988      -0.1369166   1.2647977e-20   8.2743517e-19   6.6997811e-19  -1.2257992e-35        5.403558    0.0072911201   5.7449405e-23     0.097607979     0.041096306   0.00015968544       20.481539
 -0.00062437811      0.13708332      0.11628164  -7.9550997e-19    -0.047518457     -0.13723902   1.8725995e-20    1.207769e-18   1.0095053e-18  -2.9571307e-36       5.4035793    0.0073092346    1.156923e-22     0.097601092     0.041079035   0.00015965063       20.472178
 -0.00048948463      0.13736219      0.11602603  -1.0205567e-18    -0.047773543     -0.13751964   2.0875332e-20  -1.5843009e-18  -1.3655485e-18   6.8288693e-36        5.403598    0.0073250168  -9.7846175e-23      0.09759508     0.041063966   0.00015962027       20.464011
 -0.00037167862      0.13760503      0.11580244   5.1901864e-19    -0.047996725     -0.13776398  -1.0941055e-20  -2.6842229e-18  -2.2799238e-18  -2.0414183e-35       5.4036143    0.0073387712  -1.7350401e-22     0.097589832     0.041050817   0.00015959377       20.456884
 -0.00026879555      0.13781655      0.11560693   3.7128292e-19    -0.048191945     -0.13797681  -2.4625544e-20  -4.7370523e-19  -3.6077299e-19  -5.5069319e-35       5.4036285    0.0073507613   -3.094416e-23      0.09758525     0.041039342   0.00015957064       20.450665
 -0.00017894507      0.13800077      0.11543591  -8.3913511e-19    -0.048362673     -0.13816225    5.757258e-21  -1.8490315e-18   -1.498209e-18  -3.5238616e-35        5.403641    0.0073612158  -5.7907087e-23      0.09758125     0.041029328   0.00015955045       20.445236
  -0.0001004763      0.13816105      0.11528606   4.8654607e-19    -0.048511952     -0.13832387   1.5065524e-20  -4.5900702e-18  -3.8360853e-18  -2.7751259e-36       5.4036519    0.0073703332   -1.602913e-22     0.097577758     0.041020586   0.00015953283       20.440498
