#             y             U_x             U_y             U_z              kl              kt             nut           omega
   0.0099344254       4.9176591    0.0056036403  -1.0247733e-24     0.062482089      0.13126096    0.0004372698       20.675297
    0.010566501       4.9686049    0.0060488929   4.7640428e-23     0.064017476      0.12511632   0.00042877966       19.301238
    0.011237498       5.0204388    0.0065260679  -2.4409499e-23      0.06558242      0.11854502   0.00041703392       17.979319
    0.011949813       5.0730468    0.0070360943  -6.7968893e-23     0.067107081      0.11152581   0.00040243403       16.702696
    0.012705991        5.126168    0.0075786291  -1.5896387e-22     0.068541255      0.10405126   0.00038544725       15.465636
    0.013508733       5.1793522    0.0081511622  -3.2239974e-22     0.069853757     0.096135551   0.00036662415        14.26404
    0.014360904       5.2319149    0.0087478094  -1.5334678e-23     0.071028312      0.08782295   0.00034661042       13.096082
    0.015265551       5.2829057    0.0093579408   3.9331384e-22     0.072058567     0.079195767   0.00032611837       11.962904
    0.016225903       5.3311213    0.0099650835   1.2344697e-22     0.072944099      0.07037948   0.00030583404        10.86924
    0.017245391        5.375198      0.01054689  -1.6801764e-22     0.073688055     0.061542141   0.00028626462       9.8237836
    0.018327656       5.4138024     0.011077014  -1.3362445e-22     0.074296195     0.052886213   0.00026757778       8.8391122
    0.019476565       5.4458867     0.011529078   -5.468615e-23     0.074776767     0.044634247   0.00024951072       7.9311139
     0.02069622       5.4709224     0.011881759   3.5126654e-23     0.075140673     0.037014086   0.00023142839       7.1180961
    0.021990978       5.4890213     0.012123331   2.6235177e-23     0.075401625     0.030250509   0.00021261255       6.4197084
    0.023365464        5.500908     0.012253621   6.0364498e-23     0.075576117     0.024562049   0.00019282028        5.855024
    0.024824587        5.507775      0.01228369   4.7465145e-24     0.075682982     0.020139544   0.00017351034       5.4374768
    0.026373559       5.5110505     0.012235033  -5.6099095e-23     0.075742014     0.017069727   0.00015625027       5.1651453
    0.028017912       5.5121256     0.012133807   5.2493981e-23     0.075771379      0.01523315    0.0001409882       5.0133112
     0.02976352        5.512087     0.012001087   2.2365035e-23     0.075784864     0.014306961   0.00012868689       4.9415344
    0.031616619       5.5115727     0.011850108  -1.0743123e-22     0.075790874     0.013914011   0.00012145694       4.9117994
    0.033583826       5.5108681     0.011687368  -9.1303219e-23     0.075793564     0.013772596   0.00011871976       4.8999833
    0.035672168        5.510077     0.011514149  -6.5569631e-24      0.07579469     0.013729369   0.00011796007       4.8947541
    0.037889105       5.5092248     0.011330072   1.0746889e-22     0.075794952     0.013718067   0.00011780398        4.891823
    0.040242556       5.5083171     0.011134582   1.2558859e-22     0.075794651     0.013715553   0.00011781534       4.8897597
    0.042740925       5.5073568     0.010927009  -6.0452659e-23     0.075793936     0.013714888   0.00011787661       4.8880942
    0.045393137       5.5063471     0.010706628  -2.0444654e-22     0.075792897     0.013714381   0.00011796177       4.8866514
    0.048208665       5.5052925      0.01047267   3.1482202e-23     0.075791598     0.013713722   0.00011806661       4.8853517
    0.051197566       5.5041978     0.010224321   1.7620772e-22     0.075790086     0.013712901   0.00011819075       4.8841522
    0.054370516       5.5030691    0.0099607219   1.3171746e-23     0.075788401      0.01371195   0.00011833357       4.8830271
    0.057738847       5.5019128    0.0096809543  -5.9911834e-23     0.075786577     0.013710898   0.00011849359       4.8819604
    0.061314592       5.5007361    0.0093840532   3.7843742e-23     0.075784645     0.013709771   0.00011866864       4.8809417
     0.06511052       5.4995468    0.0090689799   1.0660274e-22     0.075782632      0.01370859   0.00011885598       4.8799644
    0.069140193       5.4983528    0.0087346515  -1.7513561e-22     0.075780564     0.013707376   0.00011905259       4.8790245
    0.073418001       5.4971623    0.0083798876  -2.4425572e-23     0.075778466     0.013706144   0.00011925523       4.8781202
    0.077959226       5.4959835    0.0080034684   1.3460561e-22     0.075776359     0.013704912    0.0001194606        4.877251
    0.082780087       5.4948249    0.0076040651  -5.5706071e-23     0.075774266     0.013703694   0.00011966541       4.8764176
    0.087897803       5.4936946    0.0071802694  -1.1253255e-22     0.075772206     0.013702502    0.0001198666       4.8756213
    0.093330656       5.4926009    0.0067306463  -2.6795975e-23     0.075770199     0.013701349   0.00012006124       4.8748643
