#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0010983902     -0.38540638    0.0020020676   1.7508116e-21       917.00231       0.3863825   4.7655467e-19  -3.5837581e-14     -1.4739e-17   2.4665746e-35       3.3000564   0.00045728302   1.0874458e-23     0.063926102       0.2147353   5.7506557e-05       190.86203
   0.0011863663     -0.34700745    0.0025147439  -7.2502954e-21       813.20748       0.3476919   6.2140874e-19   3.8890009e-14   1.6646623e-17   2.9059264e-35       3.3754438   0.00048949389   9.2321569e-23     0.064825621      0.21800888   6.6523897e-05       176.40459
   0.0012797599     -0.30831484     0.003110833  -7.7585019e-21         725.311      0.30853211  -6.3456224e-19   4.3094672e-14   1.7772355e-17   4.4171535e-37       3.4466596   0.00052006275   1.1589426e-22      0.06617452      0.22059386   7.6153055e-05       163.39031
   0.0013789043     -0.26990652    0.0037930587   2.3361337e-21       650.31151      0.26920745  -1.4223625e-18   -3.244301e-15   -1.057291e-18  -4.2842666e-36        3.514298   0.00054859326  -5.1747151e-23     0.067971142      0.22263368   8.6405833e-05       151.63096
   0.0014841538     -0.23399781    0.0045359817   6.9933379e-21       586.09057      0.23338152  -1.6713995e-19  -2.5950877e-14  -8.5871675e-18   7.4646353e-36       3.5788618   0.00057477043  -1.6604976e-22     0.070203341       0.2242416   9.7266471e-05       140.97241
   0.0015958843     -0.20770165    0.0052632396   4.9446874e-21        531.5495      0.20958191   7.8508944e-19  -3.8227317e-15  -5.0557056e-19    1.801588e-35       3.6408214   0.00059898012  -5.9718426e-23     0.072845181      0.22550547    0.0001085694       131.28596
   0.0017144948     -0.20317145    0.0058860159   1.6989135e-21       486.36987      0.20650367   1.2516133e-20   1.0632744e-14   3.6532854e-18   1.8684641e-35       3.7007294   0.00062300133   8.6875925e-24     0.075853284      0.22648796   0.00011973999       122.46129
    0.001840409     -0.22615362    0.0063638469   4.5579685e-22       449.74444        0.226876  -4.4364092e-19   1.0219147e-14    5.509661e-18   1.5879463e-35       3.7592672   0.00064975007  -7.6800925e-23     0.079163139       0.2272267   0.00013016496       114.40157
   0.0019740768     -0.26804263    0.0067222315   1.2878156e-21       419.62311      0.26616415   2.4384821e-19   1.0230697e-14   5.7100313e-18   1.3028118e-35       3.8170685   0.00068251276  -9.8782459e-23     0.082686056       0.2277371   0.00013994202       107.02073
   0.0021159754     -0.31678052     0.007043674   1.2019764e-21         393.761      0.31506839   6.3709391e-19   1.2439049e-15  -5.6755842e-19  -2.2367577e-35       3.8745451   0.00072398135     7.38596e-24     0.086307425      0.22801504   0.00014946942       100.24173
   0.0022666117     -0.36668468    0.0074002808  -3.8676392e-21       370.72802      0.36578503   2.8561206e-19  -6.3409231e-15  -5.7882233e-18   -2.568413e-35       3.9319301   0.00077570249   8.1247415e-23     0.089886993      0.22804288   0.00015893082       93.995873
   0.0024265239     -0.41609937    0.0078101252   -5.075821e-21       349.70685      0.41546056  -3.3713223e-19  -6.0718578e-15  -6.4759487e-18  -6.1618203e-36       3.9893639   0.00083866601   8.4757474e-23     0.093261934      0.22779634   0.00016846753       88.222801
    0.002596283     -0.46409521    0.0082701261   4.7355402e-22       330.10315      0.46347372  -5.1767885e-19   1.7952654e-15   4.1595935e-18   2.5268981e-37       4.0469164   0.00091381748  -4.3079984e-23     0.096253643      0.22724768   0.00017824671        82.86967
