#             y             U_x             U_y             U_z              kl              kt             nut           omega
   3.113662e-05     0.053851222   2.0903407e-07   1.2273227e-23      0.10273338    0.0001688942   1.9137027e-24       3237316.4
  5.3394177e-05     0.091972381   5.5215535e-07   7.1344791e-24      0.10467851    9.675019e-06   6.1714653e-24       222225.67
  7.7022295e-05      0.13242769   1.1220855e-06   -5.427173e-24      0.10675341    2.114332e-06   2.2681602e-23       53821.287
  0.00010210537      0.17535916   1.9586331e-06  -9.4770485e-24      0.10896731   1.1801236e-06   1.8118198e-22       21804.676
  0.00012873299       0.2209173   3.1058758e-06  -3.7523334e-24      0.11133019   1.4528444e-06   2.4664182e-21       11265.122
  0.00015700027      0.26926159   4.6178296e-06  -4.4982407e-25      0.11385287   2.5865124e-06   3.3291842e-20       6666.7746
  0.00018700818        0.320561   6.5571704e-06  -3.4257008e-24       0.1165471   4.9364177e-06   3.7240011e-19       4298.1923
  0.00021886389      0.37499452   8.9957237e-06  -3.4899176e-24       0.1194257   9.1978412e-06   3.3991119e-18       2938.4646
  0.00025268119      0.43275165   1.2015791e-05   7.1253942e-24      0.12250272   1.6412875e-05   2.5915339e-17       2096.2131
  0.00028858087      0.49403301   1.5711672e-05    1.455195e-23      0.12579359   2.8067248e-05   1.6972783e-16        1544.352
  0.00032669115       0.5590509   2.0191261e-05    3.315504e-24      0.12931538   4.6236412e-05   9.7885094e-16        1166.825
  0.00036714817      0.62802985   2.5577735e-05  -1.4668367e-23      0.13308708   7.3782213e-05   5.0735783e-15        899.6009
  0.00041009642       0.7012072   3.2011373e-05  -3.0257831e-23      0.13712999    0.0001146135   2.4028757e-14       705.15988
  0.00045568931      0.77883368   3.9651456e-05  -1.5373681e-23      0.14146813   0.00017403117   1.0538991e-13       560.42173
  0.00050408968      0.86117393   4.8678237e-05   3.5994573e-23      0.14612889   0.00025918646   4.3280618e-13       450.60847
  0.00055547043      0.94850702   5.9294753e-05   3.4884384e-23      0.15114379   0.00037969291   1.6794783e-12       365.93478
