#      distance             U_x             U_y             U_z               p           omega               k             nut
  5.5511169e-17       0.9996425   2.0251666e-22               0    0.0040422608       33.267827    1.123225e-08   3.3724479e-10
   0.0021021021      0.99963294   2.0251666e-22               0    0.0040519459       32.976559   1.1124788e-08   3.3697497e-10
   0.0042042042      0.99962337   2.0251666e-22               0     0.004061631       32.685291   1.1017326e-08   3.3670515e-10
   0.0063063063      0.99961381   2.0251666e-22               0    0.0040713161       32.394022   1.0909864e-08   3.3643533e-10
   0.0084084084      0.99960425   2.0251666e-22               0    0.0040810012       32.102754   1.0802401e-08   3.3616552e-10
    0.010510511      0.99959469   2.0251666e-22               0    0.0040906863       31.811486   1.0694939e-08    3.358957e-10
    0.012612613      0.99958513   2.0251666e-22               0    0.0041003715       31.520218   1.0587477e-08   3.3562588e-10
    0.014714715      0.99957557   2.0251666e-22               0    0.0041100566       31.228949   1.0480015e-08   3.3535606e-10
    0.016816817      0.99956601   2.0251666e-22               0    0.0041197417       30.937681   1.0372553e-08   3.3508624e-10
    0.018918919      0.99955645   2.0251666e-22               0    0.0041294268       30.646413    1.026509e-08   3.3481642e-10
    0.021021021      0.99954689   2.0251666e-22               0    0.0041391119       30.355144   1.0157628e-08    3.345466e-10
    0.023123123      0.99953323   2.9324045e-22               0    0.0041528269       30.163612   1.0087772e-08   3.3434782e-10
    0.025225225      0.99951944   2.9324045e-22               0    0.0041666737        29.97534   1.0019145e-08   3.3415136e-10
    0.027327327      0.99950564   2.9324045e-22               0    0.0041805205       29.787069   9.9505179e-09    3.339549e-10
    0.029429429      0.99949185   2.9324045e-22               0    0.0041943673       29.598797    9.881891e-09   3.3375844e-10
    0.031531532      0.99947805   2.9324045e-22               0    0.0042082141       29.410525   9.8132642e-09   3.3356198e-10
    0.033633634      0.99946426   2.9324045e-22               0    0.0042220609       29.222254   9.7446373e-09   3.3336552e-10
    0.035735736      0.99945047   2.9324045e-22               0    0.0042359078       29.033982   9.6760104e-09   3.3316906e-10
    0.037837838      0.99943667   2.9324045e-22               0    0.0042497546       28.845711   9.6073835e-09    3.329726e-10
     0.03993994      0.99942288   2.9324045e-22               0    0.0042636014       28.657439   9.5387566e-09   3.3277614e-10
    0.042042042      0.99940908   2.9324045e-22               0    0.0042774482       28.469168   9.4701297e-09   3.3257968e-10
    0.044144144      0.99939529   2.9324045e-22               0     0.004291295       28.280896   9.4015028e-09   3.3238322e-10
    0.046246246       0.9993815   2.9324045e-22               0    0.0043051418       28.092625   9.3328759e-09   3.3218676e-10
    0.048348348      0.99936367    4.188642e-22               0    0.0043229003         27.9318   9.2745306e-09   3.3201385e-10
     0.05045045      0.99934386    4.188642e-22               0    0.0043425793       27.784452   9.2212334e-09   3.3185249e-10
    0.052552553      0.99932406    4.188642e-22               0    0.0043622584       27.637103   9.1679362e-09   3.3169113e-10
    0.054654655      0.99930425    4.188642e-22               0    0.0043819374       27.489755    9.114639e-09   3.3152976e-10
    0.056756757      0.99928445    4.188642e-22               0    0.0044016165       27.342406   9.0613418e-09    3.313684e-10
    0.058858859      0.99926464    4.188642e-22               0    0.0044212955       27.195058   9.0080446e-09   3.3120704e-10
    0.060960961      0.99924484    4.188642e-22               0    0.0044409745       27.047709   8.9547474e-09   3.3104568e-10
    0.063063063      0.99922503    4.188642e-22               0    0.0044606536       26.900361   8.9014502e-09   3.3088432e-10
    0.065165165      0.99920523    4.188642e-22               0    0.0044803326       26.753012    8.848153e-09   3.3072296e-10
    0.067267267        0.999179    5.433445e-22               0    0.0045069913       26.620384   8.8008946e-09    3.305951e-10
    0.069369369      0.99915168    5.433445e-22               0    0.0045348348       26.490254   8.7546614e-09   3.3047293e-10
    0.071471471      0.99912436    5.433445e-22               0    0.0045626783       26.360124   8.7084281e-09   3.3035075e-10
    0.073573574      0.99909704    5.433445e-22               0    0.0045905218       26.229994   8.6621948e-09   3.3022858e-10
    0.075675676      0.99906973    5.433445e-22               0    0.0046183653       26.099865   8.6159616e-09    3.301064e-10
    0.077777778      0.99904241    5.433445e-22               0    0.0046462087       25.969735   8.5697283e-09   3.2998423e-10
     0.07987988       0.9990061   8.6684722e-22               0    0.0046807515       25.846836   8.5248337e-09   3.2981624e-10
    0.081981982      0.99896197   8.6684722e-22               0    0.0047211152       25.730219   8.4811023e-09   3.2960845e-10
