0.001215373	0.62966134
0.0020572852	0.68699716
0.0029273097	0.7230368
0.0038263852	0.75019321
0.0047554818	0.77243433
0.0057156019	0.79159565
0.0067077814	0.80869455
0.0077330908	0.82435932
0.0087926364	0.8390186
0.0098875613	0.85301657
0.011019047	0.86666064
0.012188314	0.88020031
0.013396624	0.89381801
0.014645281	0.9076402
0.015935632	0.92171161
0.017269069	0.93591401
0.018647031	0.94987056
0.020071004	0.96302136
0.021542526	0.97503552
0.023063183	0.98587117
0.024634616	0.99493515
0.026258521	1.0008296
0.02793665	1.0032306
0.029670814	1.0037158
0.031462883	1.0037503
0.033314791	1.003748
0.035228536	1.0037463
0.037206184	1.0037451
0.039249867	1.0037434
0.04136179	1.0037407
0.043544233	1.0037379
0.04579955	1.0037349
0.048130175	1.0037323
0.050538621	1.0037342
0.053027488	1.0037449
0.055599461	1.0037576
0.058257315	1.0037659
0.061003917	1.0037713
0.063842231	1.0037757
0.06677532	1.0037791
0.069806347	1.0037823
0.072938584	1.0037851
0.076175409	1.0037855
0.079520315	1.0037827
0.082976911	1.0037779
0.086548926	1.0037724
0.090240215	1.0037662
0.09405476	1.0037607
