# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell	min(epsilon)	min(nuTilda)
0                   	0.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	1.500000000000e-04	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	7.500000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0	2.000000000000e-05	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	7.517061362130e-03	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972	3.082658036406e-05	(7.960000000000e+00 9.016425328551e-02 1.000000000000e-01)	2991	6.412643977393e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973	5.250362646343e-09	(4.400000000000e-01 9.671553434398e-02 1.000000000000e-01)	176
2                   	7.015311176521e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	1.129370723292e-05	(7.960000000000e+00 9.169030822923e-02 1.000000000000e-01)	2992	3.833021917252e+00	(4.000000000000e-02 7.530531087350e-02 1.000000000000e-01)	14	7.711340131867e-10	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29
3                   	5.591718127463e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	5.571130165462e-06	(7.960000000000e+00 9.774165485274e-02 1.000000000000e-01)	2997	5.698044392735e+00	(1.400000000000e+00 2.679914685521e-02 1.000000000000e-01)	513	8.417060989736e-11	(4.000000000000e-02 9.956494065743e-02 1.000000000000e-01)	29
4                   	5.136240137377e-03	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971	6.977766835577e-07	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	5.527466158906e+00	(1.400000000000e+00 2.679914685521e-02 1.000000000000e-01)	513	1.024895963876e-11	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
5                   	5.100946259579e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	7.315534267153e-08	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	5.397056230628e+00	(1.320000000000e+00 2.679914685521e-02 1.000000000000e-01)	483	1.074507320275e-12	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
6                   	5.109422310314e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	7.945044188248e-09	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	5.301223671401e+00	(1.400000000000e+00 2.679914685521e-02 1.000000000000e-01)	513	1.166969879222e-13	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
7                   	5.107436719912e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	9.684463567869e-10	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	5.243979120210e+00	(1.480000000000e+00 2.679914685521e-02 1.000000000000e-01)	543	1.422456189337e-14	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
8                   	5.108235662402e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	1.916997831906e-10	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999	5.221700614525e+00	(1.480000000000e+00 2.679914685521e-02 1.000000000000e-01)	543	2.815690731685e-15	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
9                   	5.113581897805e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	9.002624427295e-11	(2.920000000000e+00 9.956494065743e-02 1.000000000000e-01)	1109	5.226179793535e+00	(1.480000000000e+00 2.679914685521e-02 1.000000000000e-01)	543	1.322307502851e-15	(2.920000000000e+00 9.956494065743e-02 1.000000000000e-01)	1109
10                  	5.119654575909e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	7.641142483051e-11	(2.760000000000e+00 9.956494065743e-02 1.000000000000e-01)	1049	5.239463682785e+00	(1.720000000000e+00 1.997892471644e-02 1.000000000000e-01)	632	1.122332728338e-15	(2.760000000000e+00 9.956494065743e-02 1.000000000000e-01)	1049
11                  	5.124160724199e-03	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970	7.480249390354e-11	(2.680000000000e+00 9.956494065743e-02 1.000000000000e-01)	1019	5.205112085751e+00	(1.720000000000e+00 1.997892471644e-02 1.000000000000e-01)	632	1.098700714657e-15	(2.680000000000e+00 9.956494065743e-02 1.000000000000e-01)	1019
