#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
   0.0030951311               0            0.05      -32.726727    -0.040694725               0       20174.685       35.668463               0               0               0               0               0               0               0   2.2356421e-15   9.6508151e-11        11601891
   0.0031873927               0            0.05      -31.277497    -0.037787697               0       19884.983       34.091641               0               0               0               0               0               0               0   2.1510311e-15   9.4413729e-11        11601891
   0.0032806164               0            0.05       -29.91719     -0.03512348               0       19605.093       32.611964               0               0               0               0               0               0               0   2.0733279e-15    9.240535e-11        11601891
   0.0033748124               0            0.05      -28.638885    -0.032716767               0       19334.466        31.22136               0               0               0               0               0               0               0   2.0018648e-15   9.0477631e-11        11601891
   0.0034699907               0            0.05      -27.436106    -0.030511971               0        19072.59       29.912321               0               0               0               0               0               0               0    1.936002e-15   8.8625616e-11        11601891
   0.0035661616               0            0.05      -26.302752    -0.028488816               0       18818.994       28.678984               0               0               0               0               0               0               0   1.8752397e-15   8.6844778e-11        11601891
   0.0036633356               0            0.05      -25.233594     -0.02664316               0       18573.247       27.515105               0               0               0               0               0               0               0   1.8190923e-15   8.5130957e-11        11601891
   0.0037615229               0            0.05      -24.223129    -0.024972766               0       18334.943       26.415279               0               0               0               0               0               0               0   1.7671443e-15   8.3480311e-11        11601891
   0.0038607342               0            0.05      -23.266688    -0.023427867               0       18103.722       25.373705               0               0               0               0               0               0               0   1.7190564e-15   8.1889401e-11        11601891
   0.0039609802               0            0.05      -22.360415    -0.022008267               0       17879.241        24.38718               0               0               0               0               0               0               0   1.6744754e-15   8.0354983e-11        11601891
   0.0040622717               0            0.05      -21.500577     -0.02068069               0       17661.189       23.450572               0               0               0               0               0               0               0   1.6331135e-15   7.8874125e-11        11601891
   0.0041646195               0            0.05      -20.684977    -0.019418569               0       17449.271       22.562609               0               0               0               0               0               0               0   1.5946509e-15   7.7444053e-11        11601891
   0.0042680347               0            0.05      -19.910961    -0.018286413               0         17243.2       21.719427               0               0               0               0               0               0               0   1.5588161e-15   7.6062112e-11        11601891
   0.0043725284               0            0.05      -19.174766    -0.017237933               0       17042.712       20.917507               0               0               0               0               0               0               0   1.5253435e-15   7.4725878e-11        11601891
   0.0044781119               0            0.05      -18.473978    -0.016231218               0       16847.571       20.154229               0               0               0               0               0               0               0   1.4939821e-15   7.3433167e-11        11601891
   0.0045847965               0            0.05      -17.807945    -0.015252764               0       16657.546       19.428581               0               0               0               0               0               0               0   1.4644979e-15   7.2181858e-11        11601891
   0.0046925938               0            0.05      -17.174879    -0.014355611               0       16472.403       18.739143               0               0               0               0               0               0               0   1.4366505e-15   7.0969851e-11        11601891
