#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0020595294               0            0.05      -61.132436    -0.076182721   2.5120581e-19       24252.113       23.437474  -3.3979626e-18  -3.1550539e-14  -3.0490743e-17   4.4205447e-36               0               0               0             0.1             0.1               0        11601891
   0.0021409906               0            0.05      -57.596323    -0.069076699  -3.3393188e-18       23777.634       22.097277  -1.6262495e-17   3.1260786e-14   2.9052923e-17  -2.1092355e-35               0               0               0             0.1             0.1               0        11601891
   0.0022233015               0            0.05      -54.356769    -0.062764602   1.7174372e-18       23325.514       20.868494  -7.1338548e-17   3.0981423e-14   2.7717984e-17  -9.4756057e-35               0               0               0             0.1             0.1               0        11601891
   0.0023064707               0            0.05       -51.38211    -0.057180731   2.9572314e-18       22893.987       19.739637    -1.72827e-17   -8.674816e-18  -9.6537944e-21    4.992679e-37               0               0               0             0.1             0.1               0        11601891
   0.0023905073               0            0.05      -48.643063    -0.052249283  -1.4162608e-18       22481.476       18.699036   3.1388181e-17  -3.0486417e-14  -2.5357191e-17  -4.2566856e-35               0               0               0             0.1             0.1               0        11601891
   0.0024754204               0            0.05      -46.114148    -0.047849242  -1.9150846e-19       22086.578       17.737334   2.1840237e-18   3.0270808e-14   2.4311731e-17   3.0242327e-36               0               0               0             0.1             0.1               0        11601891
   0.0025612189               0            0.05      -43.774112    -0.043909788   2.5347027e-19       21708.032       16.846868  -1.9026137e-17  -3.0051082e-14  -2.3320805e-17    2.632067e-35               0               0               0             0.1             0.1               0        11601891
   0.0026479123               0            0.05      -41.604213    -0.040387268  -7.2190532e-20       21344.699       16.020499  -4.2439022e-17   2.9853193e-14   2.2405174e-17  -5.9381034e-35               0               0               0             0.1             0.1               0        11601891
   0.0027355098               0            0.05      -39.587414    -0.037228865    4.781762e-20       20995.553       15.251795   2.7400956e-17  -2.9684153e-14  -2.1564826e-17  -3.8724197e-35               0               0               0             0.1             0.1               0        11601891
   0.0028240209               0            0.05      -37.709265    -0.034362629  -2.2701282e-18       20659.667       14.535276   1.6484701e-17   2.9513436e-14   2.0765646e-17   2.3900949e-35               0               0               0             0.1             0.1               0        11601891
    0.002913455               0            0.05      -35.958018    -0.031753537   1.1258585e-18       20336.195       13.867021   2.1749282e-18   2.9351337e-14    2.001493e-17   3.0476418e-36               0               0               0             0.1             0.1               0        11601891
   0.0030038219               0            0.05      -34.322826    -0.029394128   1.9946826e-18       20024.356       13.242666  -1.3236757e-17  -2.6942473e-18  -2.3073581e-21   1.5657709e-37               0               0               0             0.1             0.1               0        11601891
   0.0030951311               0            0.05      -32.793322    -0.027257663   1.8062067e-18       19723.438       12.658309   1.0071734e-17  -2.9058422e-14  -1.8648938e-17  -1.4977337e-35               0               0               0             0.1             0.1               0        11601891
   0.0031873927               0            0.05      -31.360118     -0.02532118    1.829408e-20       19432.788       12.110418   7.5440124e-18  -5.7860144e-14  -3.6057713e-17  -2.2464259e-35               0               0               0             0.1             0.1               0        11601891
   0.0032806164               0            0.05      -30.014828    -0.023561114  -8.5566782e-20       19151.813       11.595801  -1.3792052e-17  -2.8817038e-14  -1.7448986e-17   2.0728436e-35               0               0               0             0.1             0.1               0        11601891
   0.0033748124               0            0.05      -28.750111    -0.021953278   6.8599923e-19       18879.968       11.111698   4.2890759e-17  -5.7399546e-14  -3.3782943e-17  -1.3028368e-34               0               0               0             0.1             0.1               0        11601891
   0.0034699907               0            0.05      -27.559583    -0.020477063  -2.4144369e-18       18616.755       10.655753   1.8071764e-17  -5.7179151e-14  -3.2726842e-17   -5.497873e-35               0               0               0             0.1             0.1               0        11601891
   0.0035661616               0            0.05      -26.437786    -0.019114399  -8.1769599e-19       18361.708       10.225921  -1.9634332e-17   2.8491267e-14   1.5866609e-17  -3.0585627e-35               0               0               0             0.1             0.1               0        11601891
   0.0036633356               0            0.05      -25.379892    -0.017860323   -6.825543e-19       18114.397       9.8204855   3.0714708e-17  -2.8408163e-14  -1.5401729e-17  -4.8264069e-35               0               0               0             0.1             0.1               0        11601891
   0.0037615229               0            0.05      -24.381089    -0.016712385  -9.8963029e-20       17874.415         9.43749  -1.7227966e-17   5.6644287e-14   2.9908101e-17  -5.4577985e-35               0               0               0             0.1             0.1               0        11601891
   0.0038607342               0            0.05      -23.436842    -0.015655569   1.4502303e-18       17641.393       9.0751951   8.2574541e-18  -2.8244323e-14  -1.4529873e-17  -1.3118067e-35               0               0               0             0.1             0.1               0        11601891
   0.0039609802               0            0.05      -22.543219    -0.014680385  -1.3484421e-18       17414.983       8.7321941  -4.0568592e-20   1.5296719e-18   9.9613869e-22   9.1498642e-38               0               0               0             0.1             0.1               0        11601891
   0.0040622717               0            0.05      -21.696633    -0.013782354  -1.2279788e-18       17194.864       8.4070698  -2.7415728e-17   2.8108026e-14   1.3743277e-17  -4.4638986e-35               0               0               0             0.1             0.1               0        11601891
   0.0041646195               0            0.05      -20.893654    -0.012955618   6.1988334e-19       16980.737       8.0985207   -1.520458e-17   5.6088906e-14   2.6750144e-17    -5.02221e-35               0               0               0             0.1             0.1               0        11601891
   0.0042680347               0            0.05      -20.131116    -0.012191263   8.4997533e-20       16772.324       7.8053061  -9.3862202e-18   1.3524941e-18   8.1906098e-22  -5.7104962e-39               0               0               0             0.1             0.1               0        11601891
   0.0043725284               0            0.05      -19.406302    -0.011476264  -1.5318741e-20       16569.367       7.5264545  -2.3435601e-17   5.5877653e-14   2.5381818e-17  -7.9032914e-35               0               0               0             0.1             0.1               0        11601891
   0.0044781119               0            0.05      -18.717009    -0.010807017   7.7340021e-20       16371.625       7.2612677   8.8221765e-18  -2.5823963e-20  -1.4910502e-23   1.0670646e-40               0               0               0             0.1             0.1               0        11601891
   0.0045847965               0            0.05      -18.061296    -0.010183733  -5.1464522e-19       16178.866       7.0088889  -2.2291082e-17   5.5704705e-14   2.4131984e-17  -7.6748657e-35               0               0               0             0.1             0.1               0        11601891
   0.0046925938               0            0.05      -17.437068   -0.0096052005   2.0422644e-18       15990.871       6.7685471  -2.3364253e-17   2.7812403e-14   1.1771881e-17  -4.0243996e-35               0               0               0             0.1             0.1               0        11601891
   0.0048015152               0            0.05      -16.842213   -0.0090701611   3.3687974e-20       15807.435       6.5393895   2.9559992e-17  -5.5567001e-14  -2.2987559e-17  -1.0391043e-34               0               0               0             0.1             0.1               0        11601891
   0.0049115726               0            0.05      -16.274791   -0.0085719845  -5.6699145e-20       15628.368       6.3206442   1.6682344e-18   2.7755259e-14   1.1225177e-17   2.9628528e-36               0               0               0             0.1             0.1               0        11601891
   0.0050227778               0            0.05      -15.733008   -0.0081082153   1.8390657e-18        15453.49       6.1117351   3.6324742e-17  -5.5464711e-14  -2.1936221e-17  -1.3001797e-34               0               0               0             0.1             0.1               0        11601891
   0.0051351427               0            0.05       -15.21528   -0.0076745482  -4.9314063e-19       15282.634       5.9119647   2.5992957e-17  -8.3129894e-14  -3.2158027e-17  -1.4136042e-34               0               0               0             0.1             0.1               0        11601891
   0.0052486795               0            0.05      -14.720209   -0.0072675716  -1.7668266e-18       15115.643       5.7209311   2.1048021e-17   -2.769148e-14   -1.048039e-17  -3.8341233e-35               0               0               0             0.1             0.1               0        11601891
   0.0053634003               0            0.05      -14.246588   -0.0068851571  -1.2570926e-18       14952.369       5.5380749   1.3853558e-18   2.7682467e-14   1.0253355e-17   2.7929766e-36               0               0               0             0.1             0.1               0        11601891
   0.0054793176               0            0.05      -13.793305   -0.0065227864   4.2305119e-19       14792.669       5.3630659  -2.6190409e-17   5.5341366e-14    2.006414e-17  -9.8031135e-35               0               0               0             0.1             0.1               0        11601891
   0.0055964437               0            0.05      -13.359312   -0.0061829513   4.4633235e-19       14636.407       5.1955553  -7.0641429e-18  -8.0908416e-19  -3.7445999e-22   2.7031364e-38               0               0               0             0.1             0.1               0        11601891
   0.0057147914               0            0.05      -12.943576   -0.0058652175  -3.7519846e-19       14483.456       5.0350477  -1.2368012e-17   2.7658702e-14   9.6152278e-18  -2.3641567e-35               0               0               0             0.1             0.1               0        11601891
   0.0058343733               0            0.05      -12.545061   -0.0055684558   3.6689079e-19       14333.691       4.8811932  -1.2104273e-17   2.7657457e-14   9.4183144e-18  -2.3313866e-35               0               0               0             0.1             0.1               0        11601891
   0.0059552024               0            0.05      -12.162803   -0.0052884504   3.6243833e-19       14186.998       4.7335195  -6.8210144e-18   6.8471802e-19   2.9771897e-22  -2.0403854e-38               0               0               0             0.1             0.1               0        11601891
   0.0060772915               0            0.05      -11.795889   -0.0050277486   3.4317271e-19       14043.268       4.5918823  -6.6241066e-18   2.8149197e-20   1.1998001e-23  -8.1893244e-40               0               0               0             0.1             0.1               0        11601891
    0.006200654               0            0.05      -11.443459   -0.0047848005  -3.2921335e-19       13902.398       4.4556399   5.1075297e-18  -2.7674824e-14  -8.8696269e-18  -1.0168077e-35               0               0               0             0.1             0.1               0        11601891
   0.0063253029               0            0.05      -11.104698   -0.0045562888  -3.4960485e-19       13764.291       4.3247092  -1.7817361e-17    2.768689e-14     8.69928e-18  -3.5798218e-35               0               0               0             0.1             0.1               0        11601891
   0.0064512519               0            0.05      -10.778914   -0.0043393052  -2.8495141e-19       13628.855       4.1986053  -6.2896606e-18   5.9461032e-19   2.3937437e-22   1.5719122e-38               0               0               0             0.1             0.1               0        11601891
   0.0065785143               0            0.05       -10.46552   -0.0041335363  -3.0508102e-19       13496.002       4.0773925  -2.1856873e-17   5.5430309e-14   1.6746526e-17  -8.9769422e-35               0               0               0             0.1             0.1               0        11601891
    0.006707104               0            0.05      -10.164004    -0.003939653   3.4480764e-20       13365.648       3.9605869  -1.6651748e-17   2.7732595e-14   8.2177836e-18  -3.4548594e-35               0               0               0             0.1             0.1               0        11601891
   0.0068370347               0            0.05      -9.8738747   -0.0037548566  -2.8109088e-19        13237.71       3.8481966  -1.5048431e-17   5.5508335e-14   1.6136153e-17  -6.3132633e-35               0               0               0             0.1             0.1               0        11601891
   0.0069683205               0            0.05      -9.5946137   -0.0035811028   5.6902352e-19       13112.111       3.7398852  -9.0244831e-18   5.5555118e-14   1.5845547e-17  -3.8175964e-35               0               0               0             0.1             0.1               0        11601891
   0.0071009754               0            0.05       -9.325655   -0.0034158609   5.5664415e-19       12988.775       3.6355289   1.1422974e-17  -1.0240905e-20  -3.7511046e-24   6.1127501e-40               0               0               0             0.1             0.1               0        11601891
   0.0072350138               0            0.05        -9.06642   -0.0032591597  -2.6526704e-19        12867.63       3.5349299  -1.4773243e-19   1.4197258e-18   5.1035724e-22   4.1538607e-38               0               0               0             0.1             0.1               0        11601891
   0.0073704501               0            0.05      -8.8164309   -0.0031137971   2.5058075e-21        12748.61        3.437951  -4.3772491e-18   2.7862305e-14   7.5137399e-18  -9.5665247e-36               0               0               0             0.1             0.1               0        11601891
   0.0075072989               0            0.05      -8.5752239   -0.0029754711    2.673309e-19       12631.651        3.344207   5.4396447e-18  -9.1282407e-21  -3.1673595e-24   2.8457109e-40               0               0               0             0.1             0.1               0        11601891
   0.0076455748               0            0.05      -8.3423688   -0.0028419899   2.4649479e-19       12516.693       3.2538116  -1.0709846e-17  -4.1038564e-19  -1.3980584e-22   1.2125803e-38               0               0               0             0.1             0.1               0        11601891
   0.0077852928               0            0.05      -8.1175432   -0.0027152678  -2.3271195e-19       12403.678       3.1665048   2.0089067e-17  -2.7965816e-14  -7.1393906e-18   -4.531589e-35               0               0               0             0.1             0.1               0        11601891
    0.007926468               0            0.05        -7.90044   -0.0025930124  -2.5346285e-19       12292.549       3.0822739      6.3821e-18   2.8003477e-14   7.0216835e-18    1.453897e-35               0               0               0             0.1             0.1               0        11601891
   0.0080691154               0            0.05      -7.6907464   -0.0024786963   1.2031925e-20       12183.252       3.0009974   1.0204411e-17   3.7459022e-19    1.207289e-22  -5.8603432e-40               0               0               0             0.1             0.1               0        11601891
   0.0082132505               0            0.05      -7.4881487   -0.0023690941   -2.519659e-21       12075.735       2.9224274  -3.9195502e-18   2.8086351e-14   6.7971286e-18  -9.1162813e-36               0               0               0             0.1             0.1               0        11601891
   0.0083588888               0            0.05      -7.2923538   -0.0022668131  -4.1656803e-19       11969.948       2.8466448   9.9777762e-18  -7.2941483e-21  -2.2673709e-24  -4.1667054e-40               0               0               0             0.1             0.1               0        11601891
    0.008506046               0            0.05      -7.1030974    -0.002170824  -2.2363485e-19       11865.842       2.7732144  -1.6368101e-17   8.4531095e-14   1.9756156e-17  -1.1658247e-34               0               0               0             0.1             0.1               0        11601891
